mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total % Area,Inclusion % Area,Neurite % Area,Inclusion per mm^2
IM 339,"c(996, 783, 1101, 328, 831)",0.3,left,AId,"c(""AId1"", ""AId6a"", ""AId5"", ""AId2/3"", ""AId6b"")",WT,mPFF,M,pSyn,0.009499341,0,0.009499341,0
IM 342,"c(996, 1101, 328, 783, 831)",0.3,left,AId,"c(""AId1"", ""AId5"", ""AId2/3"", ""AId6a"", ""AId6b"")",WT,mPFF,F,pSyn,0.005320883,0,0.005320883,0
IM 332,"c(355, 120, 163, 314, 344)",0.3,left,AIp,"c(""AIp6b"", ""AIp1"", ""AIp2/3"", ""AIp6a"", ""AIp5"")",WT,mPFF,M,pSyn,0.001180854,0,0.001180854,0
IM 335,"c(344, 314, 120, 355, 163)",0.3,left,AIp,"c(""AIp5"", ""AIp6a"", ""AIp1"", ""AIp6b"", ""AIp2/3"")",WT,mPFF,F,pSyn,0.001519832,0,0.001519832,0
IM 339,"c(344, 163, 355, 314, 120)",0.3,left,AIp,"c(""AIp5"", ""AIp2/3"", ""AIp6b"", ""AIp6a"", ""AIp1"")",WT,mPFF,M,pSyn,0.007206923,0,0.007206923,0
IM 342,"c(314, 355, 120, 163, 344)",0.3,left,AIp,"c(""AIp6a"", ""AIp6b"", ""AIp1"", ""AIp2/3"", ""AIp5"")",WT,mPFF,F,pSyn,0.000951393,0,0.000951393,0
IM 332,"c(704, 694, 800, 675)",0.3,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,M,pSyn,0.001537223,0,0.001537223,0
IM 335,"c(704, 800, 675, 694)",0.3,left,AIv,"c(""AIv1"", ""AIv5"", ""AIv6a"", ""AIv2/3"")",WT,mPFF,F,pSyn,0.005221754,0,0.005221754,0
IM 339,"c(694, 704, 675, 800)",0.3,left,AIv,"c(""AIv2/3"", ""AIv1"", ""AIv6a"", ""AIv5"")",WT,mPFF,M,pSyn,0.001008193,0,0.001008193,0
IM 342,"c(694, 675, 704, 800)",0.3,left,AIv,"c(""AIv2/3"", ""AIv6a"", ""AIv1"", ""AIv5"")",WT,mPFF,F,pSyn,0.002231695,0,0.002231695,0
IM 332,466,0.3,left,alv,alv,WT,mPFF,M,pSyn,0,0,0,0
IM 335,466,0.3,left,alv,alv,WT,mPFF,F,pSyn,0,0,0,0
IM 339,466,0.3,left,alv,alv,WT,mPFF,M,pSyn,0.00054187,0,0.00054187,0
IM 342,466,0.3,left,alv,alv,WT,mPFF,F,pSyn,0,0,0,0
IM 332,884,0.3,left,amc,amc,WT,mPFF,M,pSyn,0,0,0,0
IM 335,884,0.3,left,amc,amc,WT,mPFF,F,pSyn,0.029930524,0,0.029930524,0
IM 339,884,0.3,left,amc,amc,WT,mPFF,M,pSyn,0.062125147,0,0.062125147,0
IM 342,884,0.3,left,amc,amc,WT,mPFF,F,pSyn,0.049155041,0,0.049155041,0
IM 332,159,0.3,left,AON,AON,WT,mPFF,M,pSyn,9.08E-06,0,9.08E-06,0
IM 335,159,0.3,left,AON,AON,WT,mPFF,F,pSyn,0.000233191,0,0.000233191,0
IM 339,159,0.3,left,AON,AON,WT,mPFF,M,pSyn,0.000266523,0,0.000266523,0
IM 342,159,0.3,left,AON,AON,WT,mPFF,F,pSyn,6.56E-05,0,6.56E-05,0
IM 332,215,0.3,left,APN,APN,WT,mPFF,M,pSyn,0,0,0,0
IM 335,215,0.3,left,APN,APN,WT,mPFF,F,pSyn,0,0,0,0
IM 339,215,0.3,left,APN,APN,WT,mPFF,M,pSyn,0,0,0,0
IM 342,215,0.3,left,APN,APN,WT,mPFF,F,pSyn,1.76E-05,0,1.76E-05,0
IM 332,484682508,0.3,left,APr,APr,WT,mPFF,M,pSyn,0,0,0,0
IM 335,484682508,0.3,left,APr,APr,WT,mPFF,F,pSyn,0,0,0,0
IM 339,484682508,0.3,left,APr,APr,WT,mPFF,M,pSyn,0,0,0,0
IM 342,484682508,0.3,left,APr,APr,WT,mPFF,F,pSyn,0,0,0,0
IM 332,484682524,0.3,left,ar,ar,WT,mPFF,M,pSyn,0.001669172,0,0.001669172,0
IM 335,484682524,0.3,left,ar,ar,WT,mPFF,F,pSyn,0.00090255,0,0.00090255,0
IM 339,484682524,0.3,left,ar,ar,WT,mPFF,M,pSyn,0.004621363,0,0.004621363,0
IM 342,484682524,0.3,left,ar,ar,WT,mPFF,F,pSyn,0.004845223,0,0.004845223,0
IM 332,223,0.3,left,ARH,ARH,WT,mPFF,M,pSyn,0,0,0,0
IM 335,223,0.3,left,ARH,ARH,WT,mPFF,F,pSyn,0.00015304,0,0.00015304,0
IM 339,223,0.3,left,ARH,ARH,WT,mPFF,M,pSyn,0,0,0,0
IM 342,223,0.3,left,ARH,ARH,WT,mPFF,F,pSyn,0,0,0,0
IM 332,231,0.3,left,AT,AT,WT,mPFF,M,pSyn,0,0,0,0
IM 335,231,0.3,left,AT,AT,WT,mPFF,F,pSyn,0,0,0,0
IM 339,231,0.3,left,AT,AT,WT,mPFF,M,pSyn,0,0,0,0
IM 342,231,0.3,left,AT,AT,WT,mPFF,F,pSyn,0,0,0,0
IM 332,"c(243, 678, 252, 527, 156, 600)",0.3,left,AUDd,"c(""AUDd6b"", ""AUDd4"", ""AUDd5"", ""AUDd1"", ""AUDd6a"", ""AUDd2/3"")",WT,mPFF,M,pSyn,0.000226569,0,0.000226569,0
IM 335,"c(678, 527, 252, 600, 156, 243)",0.3,left,AUDd,"c(""AUDd4"", ""AUDd1"", ""AUDd5"", ""AUDd2/3"", ""AUDd6a"", ""AUDd6b"")",WT,mPFF,F,pSyn,0.000344136,0,0.000344136,0
IM 339,"c(527, 678, 243, 156, 600, 252)",0.3,left,AUDd,"c(""AUDd1"", ""AUDd4"", ""AUDd6b"", ""AUDd6a"", ""AUDd2/3"", ""AUDd5"")",WT,mPFF,M,pSyn,0.00210895,0,0.00210895,0
IM 342,"c(600, 527, 678, 243, 252, 156)",0.3,left,AUDd,"c(""AUDd2/3"", ""AUDd1"", ""AUDd4"", ""AUDd6b"", ""AUDd5"", ""AUDd6a"")",WT,mPFF,F,pSyn,0.000496913,0,0.000496913,0
IM 332,"c(954, 735, 816, 847, 251, 1005)",0.3,left,AUDp,"c(""AUDp6a"", ""AUDp1"", ""AUDp4"", ""AUDp5"", ""AUDp2/3"", ""AUDp6b"")",WT,mPFF,M,pSyn,0.000550093,0,0.000550093,0
IM 335,"c(847, 954, 1005, 251, 735, 816)",0.3,left,AUDp,"c(""AUDp5"", ""AUDp6a"", ""AUDp6b"", ""AUDp2/3"", ""AUDp1"", ""AUDp4"")",WT,mPFF,F,pSyn,3.52E-05,0,3.52E-05,0
IM 339,"c(816, 1005, 251, 954, 735, 847)",0.3,left,AUDp,"c(""AUDp4"", ""AUDp6b"", ""AUDp2/3"", ""AUDp6a"", ""AUDp1"", ""AUDp5"")",WT,mPFF,M,pSyn,0.000339202,0,0.000339202,0
IM 342,"c(847, 954, 1005, 735, 816, 251)",0.3,left,AUDp,"c(""AUDp5"", ""AUDp6a"", ""AUDp6b"", ""AUDp1"", ""AUDp4"", ""AUDp2/3"")",WT,mPFF,F,pSyn,0.000806577,0,0.000806577,0
IM 332,"c(696, 759, 791, 643, 249, 456)",0.3,left,AUDpo,"c(""AUDpo1"", ""AUDpo4"", ""AUDpo5"", ""AUDpo2/3"", ""AUDpo6a"", ""AUDpo6b"")",WT,mPFF,M,pSyn,0.000195146,0,0.000195146,0
IM 335,"c(456, 643, 791, 249, 759, 696)",0.3,left,AUDpo,"c(""AUDpo6b"", ""AUDpo2/3"", ""AUDpo5"", ""AUDpo6a"", ""AUDpo4"", ""AUDpo1"")",WT,mPFF,F,pSyn,8.97E-05,0,8.97E-05,0
IM 339,"c(456, 249, 791, 643, 696, 759)",0.3,left,AUDpo,"c(""AUDpo6b"", ""AUDpo6a"", ""AUDpo5"", ""AUDpo2/3"", ""AUDpo1"", ""AUDpo4"")",WT,mPFF,M,pSyn,0.00011446,0,0.00011446,0
IM 342,"c(643, 759, 249, 791, 456, 696)",0.3,left,AUDpo,"c(""AUDpo2/3"", ""AUDpo4"", ""AUDpo6a"", ""AUDpo5"", ""AUDpo6b"", ""AUDpo1"")",WT,mPFF,F,pSyn,0,0,0,0
IM 332,"c(990, 1023, 959, 755, 520, 598)",0.3,left,AUDv,"c(""AUDv4"", ""AUDv5"", ""AUDv1"", ""AUDv2/3"", ""AUDv6a"", ""AUDv6b"")",WT,mPFF,M,pSyn,0.000926971,0,0.000926971,0
IM 335,"c(755, 990, 959, 1023, 598, 520)",0.3,left,AUDv,"c(""AUDv2/3"", ""AUDv4"", ""AUDv1"", ""AUDv5"", ""AUDv6b"", ""AUDv6a"")",WT,mPFF,F,pSyn,0.000401226,0,0.000401226,0
IM 339,"c(990, 959, 755, 598, 520, 1023)",0.3,left,AUDv,"c(""AUDv4"", ""AUDv1"", ""AUDv2/3"", ""AUDv6b"", ""AUDv6a"", ""AUDv5"")",WT,mPFF,M,pSyn,0.001111024,0,0.001111024,0
IM 342,"c(1023, 990, 755, 959, 520, 598)",0.3,left,AUDv,"c(""AUDv5"", ""AUDv4"", ""AUDv2/3"", ""AUDv1"", ""AUDv6a"", ""AUDv6b"")",WT,mPFF,F,pSyn,0.000621563,0,0.000621563,0
IM 342,272,0.3,left,AVPV,AVPV,WT,mPFF,F,pSyn,0,0,0,0
IM 342,292,0.3,left,BA,BA,WT,mPFF,F,pSyn,0,0,0,0
IM 332,482,0.3,left,bic,bic,WT,mPFF,M,pSyn,0,0,0,0
IM 335,482,0.3,left,bic,bic,WT,mPFF,F,pSyn,0,0,0,0
IM 339,482,0.3,left,bic,bic,WT,mPFF,M,pSyn,0,0,0,0
IM 342,482,0.3,left,bic,bic,WT,mPFF,F,pSyn,0,0,0,0
IM 332,"c(451, 303, 311)",0.3,left,BLA,"c(""BLAv"", ""BLAa"", ""BLAp"")",WT,mPFF,M,pSyn,0.020866278,0,0.020866278,0
IM 335,"c(451, 303, 311)",0.3,left,BLA,"c(""BLAv"", ""BLAa"", ""BLAp"")",WT,mPFF,F,pSyn,0.014676309,0,0.014676309,0
IM 339,"c(303, 451, 311)",0.3,left,BLA,"c(""BLAa"", ""BLAv"", ""BLAp"")",WT,mPFF,M,pSyn,0.023938914,0,0.023938914,0
IM 342,"c(303, 451, 311)",0.3,left,BLA,"c(""BLAa"", ""BLAv"", ""BLAp"")",WT,mPFF,F,pSyn,0.038634953,0,0.038634953,0
IM 332,"c(334, 327)",0.3,left,BMA,"c(""BMAp"", ""BMAa"")",WT,mPFF,M,pSyn,6.96E-05,0,6.96E-05,0
IM 335,"c(334, 327)",0.3,left,BMA,"c(""BMAp"", ""BMAa"")",WT,mPFF,F,pSyn,0.001598796,0,0.001598796,0
IM 339,"c(327, 334)",0.3,left,BMA,"c(""BMAa"", ""BMAp"")",WT,mPFF,M,pSyn,0.001123153,0,0.001123153,0
IM 342,"c(334, 327)",0.3,left,BMA,"c(""BMAp"", ""BMAa"")",WT,mPFF,F,pSyn,0.000658871,0,0.000658871,0
IM 332,916,0.3,left,bsc,bsc,WT,mPFF,M,pSyn,0,0,0,0
IM 335,916,0.3,left,bsc,bsc,WT,mPFF,F,pSyn,0,0,0,0
IM 339,916,0.3,left,bsc,bsc,WT,mPFF,M,pSyn,0,0,0,0
IM 342,916,0.3,left,bsc,bsc,WT,mPFF,F,pSyn,0,0,0,0
IM 332,382,0.3,left,CA1,CA1,WT,mPFF,M,pSyn,4.82E-06,0,4.82E-06,0
IM 335,382,0.3,left,CA1,CA1,WT,mPFF,F,pSyn,2.24E-05,0,2.24E-05,0
IM 339,382,0.3,left,CA1,CA1,WT,mPFF,M,pSyn,3.98E-05,0,3.98E-05,0
IM 342,382,0.3,left,CA1,CA1,WT,mPFF,F,pSyn,0.000247267,0,0.000247267,0
IM 332,423,0.3,left,CA2,CA2,WT,mPFF,M,pSyn,0,0,0,0
IM 335,423,0.3,left,CA2,CA2,WT,mPFF,F,pSyn,0,0,0,0
IM 339,423,0.3,left,CA2,CA2,WT,mPFF,M,pSyn,0,0,0,0
IM 342,423,0.3,left,CA2,CA2,WT,mPFF,F,pSyn,0,0,0,0
IM 332,463,0.3,left,CA3,CA3,WT,mPFF,M,pSyn,1.58E-05,0,1.58E-05,0
IM 335,463,0.3,left,CA3,CA3,WT,mPFF,F,pSyn,7.12E-05,0,7.12E-05,0
IM 339,463,0.3,left,CA3,CA3,WT,mPFF,M,pSyn,0.000235274,0,0.000235274,0
IM 342,463,0.3,left,CA3,CA3,WT,mPFF,F,pSyn,6.15E-05,0,6.15E-05,0
IM 332,512,0.3,left,CB,CB,WT,mPFF,M,pSyn,0,0,0,0
IM 335,512,0.3,left,CB,CB,WT,mPFF,F,pSyn,0,0,0,0
IM 339,512,0.3,left,CB,CB,WT,mPFF,M,pSyn,0,0,0,0
IM 342,512,0.3,left,CB,CB,WT,mPFF,F,pSyn,0,0,0,0
IM 332,"c(971, 964, 986, 484682516)",0.3,left,cc,"c(""fp"", ""ee"", ""ccs"", ""ccb"")",WT,mPFF,M,pSyn,6.48E-05,0,6.48E-05,0
IM 335,"c(986, 484682516, 964, 971)",0.3,left,cc,"c(""ccs"", ""ccb"", ""ee"", ""fp"")",WT,mPFF,F,pSyn,0.001254878,0,0.001254878,0
IM 339,"c(971, 986, 964, 484682516)",0.3,left,cc,"c(""fp"", ""ccs"", ""ee"", ""ccb"")",WT,mPFF,M,pSyn,0.002525656,0,0.002525656,0
IM 342,"c(964, 986, 484682516, 971)",0.3,left,cc,"c(""ee"", ""ccs"", ""ccb"", ""fp"")",WT,mPFF,F,pSyn,0.001936719,0,0.001936719,0
IM 332,1108,0.3,left,ccg,ccg,WT,mPFF,M,pSyn,0.010254423,0,0.010254423,0
IM 335,1108,0.3,left,ccg,ccg,WT,mPFF,F,pSyn,0.005468214,0,0.005468214,0
IM 339,1108,0.3,left,ccg,ccg,WT,mPFF,M,pSyn,0.008100596,0,0.008100596,0
IM 342,1108,0.3,left,ccg,ccg,WT,mPFF,F,pSyn,0.00543854,0,0.00543854,0
IM 332,"c(551, 544, 559)",0.3,left,CEA,"c(""CEAl"", ""CEAc"", ""CEAm"")",WT,mPFF,M,pSyn,0.002677435,0,0.002677435,0
IM 335,"c(551, 559, 544)",0.3,left,CEA,"c(""CEAl"", ""CEAm"", ""CEAc"")",WT,mPFF,F,pSyn,0.000912217,0,0.000912217,0
IM 339,"c(551, 544, 559)",0.3,left,CEA,"c(""CEAl"", ""CEAc"", ""CEAm"")",WT,mPFF,M,pSyn,0.015549838,0,0.015549838,0
IM 342,"c(544, 551, 559)",0.3,left,CEA,"c(""CEAc"", ""CEAl"", ""CEAm"")",WT,mPFF,F,pSyn,0.003088482,0,0.003088482,0
IM 332,940,0.3,left,cing,cing,WT,mPFF,M,pSyn,0.000844815,0,0.000844815,0
IM 335,940,0.3,left,cing,cing,WT,mPFF,F,pSyn,0.001482395,0,0.001482395,0
IM 339,940,0.3,left,cing,cing,WT,mPFF,M,pSyn,0.001355109,0,0.001355109,0
IM 342,940,0.3,left,cing,cing,WT,mPFF,F,pSyn,0.0011333,0,0.0011333,0
IM 332,575,0.3,left,CL,CL,WT,mPFF,M,pSyn,0,0,0,0
IM 335,575,0.3,left,CL,CL,WT,mPFF,F,pSyn,0.000204419,0,0.000204419,0
IM 339,575,0.3,left,CL,CL,WT,mPFF,M,pSyn,0.002561834,0,0.002561834,0
IM 342,575,0.3,left,CL,CL,WT,mPFF,F,pSyn,0.000587626,0,0.000587626,0
IM 332,583,0.3,left,CLA,CLA,WT,mPFF,M,pSyn,0.019447805,0,0.019447805,0
IM 335,583,0.3,left,CLA,CLA,WT,mPFF,F,pSyn,0.003025204,0,0.003025204,0
IM 339,583,0.3,left,CLA,CLA,WT,mPFF,M,pSyn,0.009295926,0,0.009295926,0
IM 342,583,0.3,left,CLA,CLA,WT,mPFF,F,pSyn,0.007886831,0,0.007886831,0
IM 332,591,0.3,left,CLI,CLI,WT,mPFF,M,pSyn,0,0,0,0
IM 339,591,0.3,left,CLI,CLI,WT,mPFF,M,pSyn,0,0,0,0
IM 332,599,0.3,left,CM,CM,WT,mPFF,M,pSyn,0.009781526,0,0.009781526,0
IM 335,599,0.3,left,CM,CM,WT,mPFF,F,pSyn,0.002423296,0,0.002423296,0
IM 339,599,0.3,left,CM,CM,WT,mPFF,M,pSyn,0.024815774,0,0.024815774,0
IM 342,599,0.3,left,CM,CM,WT,mPFF,F,pSyn,0.003760017,0,0.003760017,0
IM 332,639,0.3,left,COA,COAa,WT,mPFF,M,pSyn,0,0,0,0
IM 335,639,0.3,left,COA,COAa,WT,mPFF,F,pSyn,0.000127892,0,0.000127892,0
IM 339,639,0.3,left,COA,COAa,WT,mPFF,M,pSyn,0,0,0,0
IM 342,639,0.3,left,COA,COAa,WT,mPFF,F,pSyn,0,0,0,0
IM 332,"c(663, 655)",0.3,left,COAp,"c(""COApm"", ""COApl"")",WT,mPFF,M,pSyn,0,0,0,0
IM 335,"c(655, 663)",0.3,left,COAp,"c(""COApl"", ""COApm"")",WT,mPFF,F,pSyn,0,0,0,0
IM 339,"c(663, 655)",0.3,left,COAp,"c(""COApm"", ""COApl"")",WT,mPFF,M,pSyn,0.000182493,0,0.000182493,0
IM 342,"c(655, 663)",0.3,left,COAp,"c(""COApl"", ""COApm"")",WT,mPFF,F,pSyn,0.000165203,0,0.000165203,0
IM 332,672,0.3,left,CP,CP,WT,mPFF,M,pSyn,0.006197934,0,0.006197934,0
IM 335,672,0.3,left,CP,CP,WT,mPFF,F,pSyn,0.005827459,0,0.005827459,0
IM 339,672,0.3,left,CP,CP,WT,mPFF,M,pSyn,0.004136826,0,0.004136826,0
IM 342,672,0.3,left,CP,CP,WT,mPFF,F,pSyn,0.002567235,0,0.002567235,0
IM 332,924,0.3,left,cpd,cpd,WT,mPFF,M,pSyn,0,0,0,0
IM 335,924,0.3,left,cpd,cpd,WT,mPFF,F,pSyn,0,0,0,0
IM 339,924,0.3,left,cpd,cpd,WT,mPFF,M,pSyn,0,0,0,0
IM 342,924,0.3,left,cpd,cpd,WT,mPFF,F,pSyn,0,0,0,0
IM 332,679,0.3,left,CS,CS,WT,mPFF,M,pSyn,0,0,0,0
IM 335,679,0.3,left,CS,CS,WT,mPFF,F,pSyn,1.99E-05,0,1.99E-05,0
IM 339,679,0.3,left,CS,CS,WT,mPFF,M,pSyn,0,0,0,0
IM 342,679,0.3,left,CS,CS,WT,mPFF,F,pSyn,0,0,0,0
IM 332,336,0.3,left,csc,csc,WT,mPFF,M,pSyn,0,0,0,0
IM 335,336,0.3,left,csc,csc,WT,mPFF,F,pSyn,0,0,0,0
IM 339,336,0.3,left,csc,csc,WT,mPFF,M,pSyn,0,0,0,0
IM 332,784,0.3,left,cst,cst,WT,mPFF,M,pSyn,0,0,0,0
IM 335,784,0.3,left,cst,cst,WT,mPFF,F,pSyn,0,0,0,0
IM 339,784,0.3,left,cst,cst,WT,mPFF,M,pSyn,0,0,0,0
IM 342,784,0.3,left,cst,cst,WT,mPFF,F,pSyn,0,0,0,0
IM 332,703,0.3,left,CTXsp,CTXsp,WT,mPFF,M,pSyn,0.00091482,0,0.00091482,0
IM 335,703,0.3,left,CTXsp,CTXsp,WT,mPFF,F,pSyn,0.002174253,0,0.002174253,0
IM 339,703,0.3,left,CTXsp,CTXsp,WT,mPFF,M,pSyn,0.000356451,0,0.000356451,0
IM 342,703,0.3,left,CTXsp,CTXsp,WT,mPFF,F,pSyn,0.013757817,0,0.013757817,0
IM 332,"c(10703, 632, 10704)",0.3,left,DG,"c(""DG-mo"", ""DG-sg"", ""DG-po"")",WT,mPFF,M,pSyn,1.54E-05,0,1.54E-05,0
IM 335,"c(10704, 632, 10703)",0.3,left,DG,"c(""DG-po"", ""DG-sg"", ""DG-mo"")",WT,mPFF,F,pSyn,1.70E-05,0,1.70E-05,0
IM 339,"c(10703, 632, 10704)",0.3,left,DG,"c(""DG-mo"", ""DG-sg"", ""DG-po"")",WT,mPFF,M,pSyn,2.94E-06,0,2.94E-06,0
IM 342,"c(632, 10704, 10703)",0.3,left,DG,"c(""DG-sg"", ""DG-po"", ""DG-mo"")",WT,mPFF,F,pSyn,0,0,0,0
IM 332,443,0.3,left,dhc,dhc,WT,mPFF,M,pSyn,0.001391042,0,0.001391042,0
IM 335,443,0.3,left,dhc,dhc,WT,mPFF,F,pSyn,0.000921722,0,0.000921722,0
IM 339,443,0.3,left,dhc,dhc,WT,mPFF,M,pSyn,0.001995065,0,0.001995065,0
IM 342,443,0.3,left,dhc,dhc,WT,mPFF,F,pSyn,0.000855814,0,0.000855814,0
IM 332,830,0.3,left,DMH,DMH,WT,mPFF,M,pSyn,0,0,0,0
IM 335,830,0.3,left,DMH,DMH,WT,mPFF,F,pSyn,0,0,0,0
IM 339,830,0.3,left,DMH,DMH,WT,mPFF,M,pSyn,0,0,0,0
IM 342,830,0.3,left,DMH,DMH,WT,mPFF,F,pSyn,0,0,0,0
IM 339,814,0.3,left,DP,DP,WT,mPFF,M,pSyn,0.000682837,0,0.000682837,0
IM 342,814,0.3,left,DP,DP,WT,mPFF,F,pSyn,0,0,0,0
IM 332,872,0.3,left,DR,DR,WT,mPFF,M,pSyn,0,0,0,0
IM 335,872,0.3,left,DR,DR,WT,mPFF,F,pSyn,5.95E-05,0,5.95E-05,0
IM 339,872,0.3,left,DR,DR,WT,mPFF,M,pSyn,0,0,0,0
IM 342,872,0.3,left,DR,DR,WT,mPFF,F,pSyn,0,0,0,0
IM 332,812,0.3,left,dscp,dscp,WT,mPFF,M,pSyn,0,0,0,0
IM 335,812,0.3,left,dscp,dscp,WT,mPFF,F,pSyn,0,0,0,0
IM 339,812,0.3,left,dscp,dscp,WT,mPFF,M,pSyn,0,0,0,0
IM 342,812,0.3,left,dscp,dscp,WT,mPFF,F,pSyn,0.007618622,0,0.007618622,0
IM 332,579,0.3,left,ec,ec,WT,mPFF,M,pSyn,0.016688729,0,0.016688729,0
IM 335,579,0.3,left,ec,ec,WT,mPFF,F,pSyn,0.004964987,0,0.004964987,0
IM 339,579,0.3,left,ec,ec,WT,mPFF,M,pSyn,0.007812343,0,0.007812343,0
IM 342,579,0.3,left,ec,ec,WT,mPFF,F,pSyn,0.008131296,0,0.008131296,0
IM 332,"c(977, 1045, 988, 836, 427)",0.3,left,ECT,"c(""ECT6a"", ""ECT6b"", ""ECT5"", ""ECT1"", ""ECT2/3"")",WT,mPFF,M,pSyn,0.001717005,0,0.001717005,0
IM 335,"c(977, 836, 427, 988, 1045)",0.3,left,ECT,"c(""ECT6a"", ""ECT1"", ""ECT2/3"", ""ECT5"", ""ECT6b"")",WT,mPFF,F,pSyn,0.011819002,0,0.011819002,0
IM 339,"c(1045, 988, 977, 836, 427)",0.3,left,ECT,"c(""ECT6b"", ""ECT5"", ""ECT6a"", ""ECT1"", ""ECT2/3"")",WT,mPFF,M,pSyn,0.012810809,0,0.012810809,0
IM 342,"c(1045, 427, 988, 836, 977)",0.3,left,ECT,"c(""ECT6b"", ""ECT2/3"", ""ECT5"", ""ECT1"", ""ECT6a"")",WT,mPFF,F,pSyn,0.009992436,0,0.009992436,0
IM 332,1092,0.3,left,em,em,WT,mPFF,M,pSyn,0,0,0,0
IM 335,1092,0.3,left,em,em,WT,mPFF,F,pSyn,0,0,0,0
IM 339,1092,0.3,left,em,em,WT,mPFF,M,pSyn,0,0,0,0
IM 342,1092,0.3,left,em,em,WT,mPFF,F,pSyn,0,0,0,0
IM 332,"c(28, 52, 139, 20, 1121)",0.3,left,ENTl,"c(""ENTl6a"", ""ENTl3"", ""ENTl5"", ""ENTl2"", ""ENTl1"")",WT,mPFF,M,pSyn,0.001206427,0,0.001206427,0
IM 335,"c(20, 28, 52, 1121, 139)",0.3,left,ENTl,"c(""ENTl2"", ""ENTl6a"", ""ENTl3"", ""ENTl1"", ""ENTl5"")",WT,mPFF,F,pSyn,0.003601453,0,0.003601453,0
IM 339,"c(20, 1121, 52, 139, 28)",0.3,left,ENTl,"c(""ENTl2"", ""ENTl1"", ""ENTl3"", ""ENTl5"", ""ENTl6a"")",WT,mPFF,M,pSyn,0.001421001,0,0.001421001,0
IM 342,"c(139, 52, 28, 20, 1121)",0.3,left,ENTl,"c(""ENTl5"", ""ENTl3"", ""ENTl6a"", ""ENTl2"", ""ENTl1"")",WT,mPFF,F,pSyn,0.001509553,0,0.001509553,0
