mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total % Area,Inclusion % Area,Neurite % Area,Inclusion per mm^2
IM 332,"c(211, 935, 1015, 927, 919)",0.3,left,ACAd,"c(""ACAd2/3"", ""ACAd1"", ""ACAd5"", ""ACAd6b"", ""ACAd6a"")",WT,mPFF,M,pSyn,0.00342211,0,0.00342211,0
IM 335,"c(927, 1015, 919, 935, 211)",0.3,left,ACAd,"c(""ACAd6b"", ""ACAd5"", ""ACAd6a"", ""ACAd1"", ""ACAd2/3"")",WT,mPFF,F,pSyn,0.004924119,0,0.004924119,0
IM 339,"c(211, 935, 1015, 927, 919)",0.3,left,ACAd,"c(""ACAd2/3"", ""ACAd1"", ""ACAd5"", ""ACAd6b"", ""ACAd6a"")",WT,mPFF,M,pSyn,0.002785877,0,0.002785877,0
IM 342,"c(211, 1015, 935, 919, 927)",0.3,left,ACAd,"c(""ACAd2/3"", ""ACAd5"", ""ACAd1"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,F,pSyn,0.006307608,0,0.006307608,0
IM 332,"c(819, 588, 296, 772, 810)",0.3,left,ACAv,"c(""ACAv6b"", ""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"")",WT,mPFF,M,pSyn,0.006116639,0,0.006116639,0
IM 335,"c(819, 772, 810, 296, 588)",0.3,left,ACAv,"c(""ACAv6b"", ""ACAv5"", ""ACAv6a"", ""ACAv2/3"", ""ACAv1"")",WT,mPFF,F,pSyn,0.001564734,0,0.001564734,0
IM 339,"c(819, 810, 296, 772, 588)",0.3,left,ACAv,"c(""ACAv6b"", ""ACAv6a"", ""ACAv2/3"", ""ACAv5"", ""ACAv1"")",WT,mPFF,M,pSyn,0.002168276,0,0.002168276,0
IM 342,"c(772, 588, 810, 819, 296)",0.3,left,ACAv,"c(""ACAv5"", ""ACAv1"", ""ACAv6a"", ""ACAv6b"", ""ACAv2/3"")",WT,mPFF,F,pSyn,0.004052034,0,0.004052034,0
IM 332,56,0.3,left,ACB,ACB,WT,mPFF,M,pSyn,0.001393248,0,0.001393248,0
IM 335,56,0.3,left,ACB,ACB,WT,mPFF,F,pSyn,0.003135432,0,0.003135432,0
IM 339,56,0.3,left,ACB,ACB,WT,mPFF,M,pSyn,0.003890012,0,0.003890012,0
IM 342,56,0.3,left,ACB,ACB,WT,mPFF,F,pSyn,0.001837544,0,0.001837544,0
IM 335,88,0.3,left,AHN,AHN,WT,mPFF,F,pSyn,0,0,0,0
IM 339,88,0.3,left,AHN,AHN,WT,mPFF,M,pSyn,0,0,0,0
IM 342,88,0.3,left,AHN,AHN,WT,mPFF,F,pSyn,0,0,0,0
IM 332,"c(328, 1101, 783, 996, 831)",0.3,left,AId,"c(""AId2/3"", ""AId5"", ""AId6a"", ""AId1"", ""AId6b"")",WT,mPFF,M,pSyn,0.004131114,0,0.004131114,0
IM 335,"c(1101, 328, 996, 783, 831)",0.3,left,AId,"c(""AId5"", ""AId2/3"", ""AId1"", ""AId6a"", ""AId6b"")",WT,mPFF,F,pSyn,0.002194339,0,0.002194339,0
