mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total % Area,Inclusion % Area,Neurite % Area,Inclusion per mm^2
IM 331,560581551,0.2,left,Eth,Eth,WT,mPFF,M,pSyn,0,0,0,0
IM 334,560581551,0.2,left,Eth,Eth,WT,mPFF,F,pSyn,0,0,0,0
IM 338,560581551,0.2,left,Eth,Eth,WT,mPFF,M,pSyn,0,0,0,0
IM 341,560581551,0.2,left,Eth,Eth,WT,mPFF,F,pSyn,0,0,0,0
IM 331,975,0.2,left,EW,EW,WT,mPFF,M,pSyn,0,0,0,0
IM 334,975,0.2,left,EW,EW,WT,mPFF,F,pSyn,0,0,0,0
IM 338,975,0.2,left,EW,EW,WT,mPFF,M,pSyn,0,0,0,0
IM 331,982,0.2,left,FC,FC,WT,mPFF,M,pSyn,0,0,0,0
IM 334,982,0.2,left,FC,FC,WT,mPFF,F,pSyn,0,0,0,0
IM 338,982,0.2,left,FC,FC,WT,mPFF,M,pSyn,0,0,0,0
IM 341,982,0.2,left,FC,FC,WT,mPFF,F,pSyn,0,0,0,0
IM 334,804,0.2,left,FF,FF,WT,mPFF,F,pSyn,0,0,0,0
IM 338,804,0.2,left,FF,FF,WT,mPFF,M,pSyn,0,0,0,0
IM 331,603,0.2,left,fi,fi,WT,mPFF,M,pSyn,0,0,0,0
IM 334,603,0.2,left,fi,fi,WT,mPFF,F,pSyn,0,0,0,0
IM 338,603,0.2,left,fi,fi,WT,mPFF,M,pSyn,0,0,0,0
IM 341,603,0.2,left,fi,fi,WT,mPFF,F,pSyn,0,0,0,0
IM 331,1009,0.2,left,fiber tracts,fiber tracts,WT,mPFF,M,pSyn,0,0,0,0
IM 334,1009,0.2,left,fiber tracts,fiber tracts,WT,mPFF,F,pSyn,0,0,0,0
IM 338,1009,0.2,left,fiber tracts,fiber tracts,WT,mPFF,M,pSyn,0,0,0,0
IM 341,1009,0.2,left,fiber tracts,fiber tracts,WT,mPFF,F,pSyn,0,0,0,0
IM 331,595,0.2,left,fr,fr,WT,mPFF,M,pSyn,0,0,0,0
IM 334,595,0.2,left,fr,fr,WT,mPFF,F,pSyn,0,0,0,0
IM 338,595,0.2,left,fr,fr,WT,mPFF,M,pSyn,0,0,0,0
IM 341,595,0.2,left,fr,fr,WT,mPFF,F,pSyn,0,0,0,0
IM 331,526157196,0.2,left,FRP,FRP6a,WT,mPFF,M,pSyn,0,0,0,0
IM 334,526157196,0.2,left,FRP,FRP6a,WT,mPFF,F,pSyn,0.000230529,0,0.000230529,0
IM 338,526157196,0.2,left,FRP,FRP6a,WT,mPFF,M,pSyn,0.004496778,0,0.004496778,0
IM 341,526157196,0.2,left,FRP,FRP6a,WT,mPFF,F,pSyn,0.002948013,0,0.002948013,0
IM 331,436,0.2,left,fx,fx,WT,mPFF,M,pSyn,0,0,0,0
IM 334,436,0.2,left,fx,fx,WT,mPFF,F,pSyn,0,0,0,0
IM 338,436,0.2,left,fx,fx,WT,mPFF,M,pSyn,0,0,0,0
IM 341,436,0.2,left,fx,fx,WT,mPFF,F,pSyn,0,0,0,0
IM 331,"c(148, 36, 187, 180, 638, 662)",0.2,left,GU,"c(""GU4"", ""GU1"", ""GU5"", ""GU2/3"", ""GU6a"", ""GU6b"")",WT,mPFF,M,pSyn,2.00E-05,0,2.00E-05,0
IM 334,"c(187, 180, 148, 662, 638, 36)",0.2,left,GU,"c(""GU5"", ""GU2/3"", ""GU4"", ""GU6b"", ""GU6a"", ""GU1"")",WT,mPFF,F,pSyn,0.002141845,0,0.002141845,0
IM 338,"c(638, 180, 662, 187, 148, 36)",0.2,left,GU,"c(""GU6a"", ""GU2/3"", ""GU6b"", ""GU5"", ""GU4"", ""GU1"")",WT,mPFF,M,pSyn,0.00649987,0,0.00649987,0
IM 341,"c(187, 180, 36, 638, 148, 662)",0.2,left,GU,"c(""GU5"", ""GU2/3"", ""GU1"", ""GU6a"", ""GU4"", ""GU6b"")",WT,mPFF,F,pSyn,0.006490454,0,0.006490454,0
IM 331,589508447,0.2,left,HATA,HATA,WT,mPFF,M,pSyn,0,0,0,0
IM 334,589508447,0.2,left,HATA,HATA,WT,mPFF,F,pSyn,0,0,0,0
IM 338,589508447,0.2,left,HATA,HATA,WT,mPFF,M,pSyn,0,0,0,0
IM 341,589508447,0.2,left,HATA,HATA,WT,mPFF,F,pSyn,0,0,0,0
IM 331,611,0.2,left,hbc,hbc,WT,mPFF,M,pSyn,0,0,0,0
IM 334,611,0.2,left,hbc,hbc,WT,mPFF,F,pSyn,0,0,0,0
IM 338,611,0.2,left,hbc,hbc,WT,mPFF,M,pSyn,0,0,0,0
IM 341,611,0.2,left,hbc,hbc,WT,mPFF,F,pSyn,0,0,0,0
IM 331,1089,0.2,left,HPF,HPF,WT,mPFF,M,pSyn,0,0,0,0
IM 334,1089,0.2,left,HPF,HPF,WT,mPFF,F,pSyn,0,0,0,0
IM 338,1089,0.2,left,HPF,HPF,WT,mPFF,M,pSyn,0.000634631,0,0.000634631,0
IM 341,1089,0.2,left,HPF,HPF,WT,mPFF,F,pSyn,0,0,0,0
IM 331,1097,0.2,left,HY,HY,WT,mPFF,M,pSyn,0,0,0,0
IM 334,1097,0.2,left,HY,HY,WT,mPFF,F,pSyn,0,0,0,0
IM 338,1097,0.2,left,HY,HY,WT,mPFF,M,pSyn,0,0,0,0
IM 341,1097,0.2,left,HY,HY,WT,mPFF,F,pSyn,0,0,0,0
IM 331,1105,0.2,left,IA,IA,WT,mPFF,M,pSyn,0,0,0,0
IM 334,1105,0.2,left,IA,IA,WT,mPFF,F,pSyn,0,0,0,0
IM 338,1105,0.2,left,IA,IA,WT,mPFF,M,pSyn,0,0,0,0
IM 341,1105,0.2,left,IA,IA,WT,mPFF,F,pSyn,0,0,0,0
IM 331,828,0.2,left,IC,ICe,WT,mPFF,M,pSyn,0,0,0,0
IM 334,828,0.2,left,IC,ICe,WT,mPFF,F,pSyn,0,0,0,0
IM 338,828,0.2,left,IC,ICe,WT,mPFF,M,pSyn,0,0,0,0
IM 341,"c(828, 820)",0.2,left,IC,"c(""ICe"", ""ICd"")",WT,mPFF,F,pSyn,0,0,0,0
IM 331,12,0.2,left,IF,IF,WT,mPFF,M,pSyn,0,0,0,0
IM 334,12,0.2,left,IF,IF,WT,mPFF,F,pSyn,0,0,0,0
IM 338,12,0.2,left,IF,IF,WT,mPFF,M,pSyn,0,0,0,0
IM 331,19,0.2,left,IG,IG,WT,mPFF,M,pSyn,0,0,0,0
IM 334,19,0.2,left,IG,IG,WT,mPFF,F,pSyn,0,0,0,0
IM 338,19,0.2,left,IG,IG,WT,mPFF,M,pSyn,0,0,0,0
IM 341,19,0.2,left,IG,IG,WT,mPFF,F,pSyn,0,0,0,0
IM 331,27,0.2,left,IGL,IGL,WT,mPFF,M,pSyn,0,0,0,0
IM 334,27,0.2,left,IGL,IGL,WT,mPFF,F,pSyn,0,0,0,0
IM 338,27,0.2,left,IGL,IGL,WT,mPFF,M,pSyn,0,0,0,0
IM 331,848,0.2,left,IIn,IIn,WT,mPFF,M,pSyn,0,0,0,0
IM 334,848,0.2,left,IIn,IIn,WT,mPFF,F,pSyn,0,0,0,0
IM 338,848,0.2,left,IIn,IIn,WT,mPFF,M,pSyn,0,0,0,0
IM 341,848,0.2,left,IIn,IIn,WT,mPFF,F,pSyn,0,0,0,0
IM 331,"c(827, 707, 556)",0.2,left,ILA,"c(""ILA5"", ""ILA1"", ""ILA2/3"")",WT,mPFF,M,pSyn,0,0,0,0
IM 334,"c(707, 556, 827, 1054)",0.2,left,ILA,"c(""ILA1"", ""ILA2/3"", ""ILA5"", ""ILA6a"")",WT,mPFF,F,pSyn,0,0,0,0
IM 338,"c(1054, 827, 556, 707)",0.2,left,ILA,"c(""ILA6a"", ""ILA5"", ""ILA2/3"", ""ILA1"")",WT,mPFF,M,pSyn,0,0,0,0
IM 341,"c(1054, 827, 556, 707)",0.2,left,ILA,"c(""ILA6a"", ""ILA5"", ""ILA2/3"", ""ILA1"")",WT,mPFF,F,pSyn,0,0,0,0
IM 331,59,0.2,left,IMD,IMD,WT,mPFF,M,pSyn,0,0,0,0
IM 334,59,0.2,left,IMD,IMD,WT,mPFF,F,pSyn,0,0,0,0
IM 338,59,0.2,left,IMD,IMD,WT,mPFF,M,pSyn,0,0,0,0
IM 341,59,0.2,left,IMD,IMD,WT,mPFF,F,pSyn,4.40E-05,0,4.40E-05,0
IM 331,900,0.2,left,In,aco,WT,mPFF,M,pSyn,0,0,0,0
IM 334,900,0.2,left,In,aco,WT,mPFF,F,pSyn,0,0,0,0
IM 338,900,0.2,left,In,aco,WT,mPFF,M,pSyn,0,0,0,0
IM 341,900,0.2,left,In,aco,WT,mPFF,F,pSyn,0,0,0,0
IM 331,67,0.2,left,INC,INC,WT,mPFF,M,pSyn,0,0,0,0
IM 334,67,0.2,left,INC,INC,WT,mPFF,F,pSyn,0,0,0,0
IM 338,67,0.2,left,INC,INC,WT,mPFF,M,pSyn,0,0,0,0
IM 331,6,0.2,left,int,int,WT,mPFF,M,pSyn,0,0,0,0
IM 334,6,0.2,left,int,int,WT,mPFF,F,pSyn,0,0,0,0
IM 338,6,0.2,left,int,int,WT,mPFF,M,pSyn,9.61E-06,0,9.61E-06,0
IM 341,6,0.2,left,int,int,WT,mPFF,F,pSyn,0,0,0,0
IM 334,563807439,0.2,left,IntG,IntG,WT,mPFF,F,pSyn,0,0,0,0
IM 331,"c(607344862, 607344858, 607344834)",0.2,left,IPN,"c(""IPRL"", ""IPDL"", ""IPR"")",WT,mPFF,M,pSyn,0,0,0,0
IM 334,115,0.2,left,IV,IV,WT,mPFF,F,pSyn,0,0,0,0
IM 341,115,0.2,left,IV,IV,WT,mPFF,F,pSyn,0,0,0,0
IM 331,131,0.2,left,LA,LA,WT,mPFF,M,pSyn,0.002113732,0,0.002113732,0
IM 334,131,0.2,left,LA,LA,WT,mPFF,F,pSyn,0.000545161,0,0.000545161,0
IM 338,131,0.2,left,LA,LA,WT,mPFF,M,pSyn,6.39E-05,0,6.39E-05,0
IM 341,131,0.2,left,LA,LA,WT,mPFF,F,pSyn,7.02E-05,0,7.02E-05,0
IM 331,155,0.2,left,LD,LD,WT,mPFF,M,pSyn,0,0,0,0
IM 334,155,0.2,left,LD,LD,WT,mPFF,F,pSyn,0,0,0,0
IM 338,155,0.2,left,LD,LD,WT,mPFF,M,pSyn,0,0,0,0
IM 341,155,0.2,left,LD,LD,WT,mPFF,F,pSyn,0.000406217,0,0.000406217,0
IM 331,"c(496345672, 496345664, 496345668)",0.2,left,LGd,"c(""LGd-ip"", ""LGd-sh"", ""LGd-co"")",WT,mPFF,M,pSyn,0,0,0,0
IM 334,"c(496345672, 496345668, 496345664)",0.2,left,LGd,"c(""LGd-ip"", ""LGd-co"", ""LGd-sh"")",WT,mPFF,F,pSyn,0,0,0,0
IM 338,"c(496345664, 496345672, 496345668)",0.2,left,LGd,"c(""LGd-sh"", ""LGd-ip"", ""LGd-co"")",WT,mPFF,M,pSyn,0,0,0,0
IM 341,"c(496345664, 496345668, 496345672)",0.2,left,LGd,"c(""LGd-sh"", ""LGd-co"", ""LGd-ip"")",WT,mPFF,F,pSyn,0,0,0,0
IM 331,178,0.2,left,LGv,LGv,WT,mPFF,M,pSyn,0,0,0,0
IM 334,178,0.2,left,LGv,LGv,WT,mPFF,F,pSyn,0,0,0,0
IM 338,178,0.2,left,LGv,LGv,WT,mPFF,M,pSyn,0,0,0,0
IM 341,178,0.2,left,LGv,LGv,WT,mPFF,F,pSyn,0,0,0,0
IM 331,186,0.2,left,LH,LH,WT,mPFF,M,pSyn,0,0,0,0
IM 334,186,0.2,left,LH,LH,WT,mPFF,F,pSyn,0,0,0,0
IM 338,186,0.2,left,LH,LH,WT,mPFF,M,pSyn,0,0,0,0
IM 341,186,0.2,left,LH,LH,WT,mPFF,F,pSyn,0,0,0,0
IM 331,194,0.2,left,LHA,LHA,WT,mPFF,M,pSyn,0,0,0,0
IM 334,194,0.2,left,LHA,LHA,WT,mPFF,F,pSyn,0,0,0,0
IM 338,194,0.2,left,LHA,LHA,WT,mPFF,M,pSyn,0,0,0,0
IM 341,194,0.2,left,LHA,LHA,WT,mPFF,F,pSyn,0,0,0,0
IM 331,658,0.2,left,ll,ll,WT,mPFF,M,pSyn,0,0,0,0
IM 334,658,0.2,left,ll,ll,WT,mPFF,F,pSyn,0,0,0,0
IM 338,658,0.2,left,ll,ll,WT,mPFF,M,pSyn,0,0,0,0
IM 341,658,0.2,left,ll,ll,WT,mPFF,F,pSyn,0,0,0,0
IM 331,210,0.2,left,LM,LM,WT,mPFF,M,pSyn,0,0,0,0
IM 334,210,0.2,left,LM,LM,WT,mPFF,F,pSyn,0,0,0,0
IM 338,210,0.2,left,LM,LM,WT,mPFF,M,pSyn,0,0,0,0
IM 331,665,0.2,left,lotg,lot,WT,mPFF,M,pSyn,0,0,0,0
IM 334,665,0.2,left,lotg,lot,WT,mPFF,F,pSyn,0,0,0,0
IM 338,665,0.2,left,lotg,lot,WT,mPFF,M,pSyn,0,0,0,0
IM 341,665,0.2,left,lotg,lot,WT,mPFF,F,pSyn,0,0,0,0
IM 331,218,0.2,left,LP,LP,WT,mPFF,M,pSyn,0,0,0,0
IM 334,218,0.2,left,LP,LP,WT,mPFF,F,pSyn,0,0,0,0
IM 338,218,0.2,left,LP,LP,WT,mPFF,M,pSyn,0,0,0,0
IM 341,218,0.2,left,LP,LP,WT,mPFF,F,pSyn,0.000674999,0,0.000674999,0
IM 334,226,0.2,left,LPO,LPO,WT,mPFF,F,pSyn,0,0,0,0
IM 338,226,0.2,left,LPO,LPO,WT,mPFF,M,pSyn,0,0,0,0
IM 331,"c(258, 266)",0.2,left,LS,"c(""LSr"", ""LSv"")",WT,mPFF,M,pSyn,0,0,0,0
IM 334,"c(258, 266)",0.2,left,LS,"c(""LSr"", ""LSv"")",WT,mPFF,F,pSyn,0,0,0,0
IM 338,"c(258, 266)",0.2,left,LS,"c(""LSr"", ""LSv"")",WT,mPFF,M,pSyn,0,0,0,0
IM 341,"c(266, 258)",0.2,left,LS,"c(""LSv"", ""LSr"")",WT,mPFF,F,pSyn,0,0,0,0
IM 331,66,0.2,left,LT,LT,WT,mPFF,M,pSyn,0,0,0,0
IM 334,66,0.2,left,LT,LT,WT,mPFF,F,pSyn,0,0,0,0
IM 338,66,0.2,left,LT,LT,WT,mPFF,M,pSyn,0,0,0,0
IM 331,549009211,0.2,left,MA3,MA3,WT,mPFF,M,pSyn,0,0,0,0
IM 334,549009211,0.2,left,MA3,MA3,WT,mPFF,F,pSyn,0,0,0,0
IM 338,549009211,0.2,left,MA3,MA3,WT,mPFF,M,pSyn,0,0,0,0
IM 331,313,0.2,left,MB,MB,WT,mPFF,M,pSyn,0.000115983,0,0.000115983,0
IM 334,313,0.2,left,MB,MB,WT,mPFF,F,pSyn,0,0,0,0
IM 338,313,0.2,left,MB,MB,WT,mPFF,M,pSyn,0,0,0,0
IM 341,313,0.2,left,MB,MB,WT,mPFF,F,pSyn,0,0,0,0
IM 331,381,0.2,left,MBmot,SNr,WT,mPFF,M,pSyn,0,0,0,0
IM 334,381,0.2,left,MBmot,SNr,WT,mPFF,F,pSyn,0,0,0,0
IM 338,381,0.2,left,MBmot,SNr,WT,mPFF,M,pSyn,0,0,0,0
IM 331,374,0.2,left,MBsta,SNc,WT,mPFF,M,pSyn,0,0,0,0
IM 334,374,0.2,left,MBsta,SNc,WT,mPFF,F,pSyn,0,0,0,0
IM 338,374,0.2,left,MBsta,SNc,WT,mPFF,M,pSyn,0,0,0,0
IM 331,78,0.2,left,mcp,mcp,WT,mPFF,M,pSyn,0,0,0,0
IM 334,78,0.2,left,mcp,mcp,WT,mPFF,F,pSyn,0,0,0,0
IM 338,78,0.2,left,mcp,mcp,WT,mPFF,M,pSyn,0,0,0,0
IM 341,78,0.2,left,mcp,mcp,WT,mPFF,F,pSyn,0,0,0,0
IM 331,362,0.2,left,MD,MD,WT,mPFF,M,pSyn,0.00014498,0,0.00014498,0
IM 334,362,0.2,left,MD,MD,WT,mPFF,F,pSyn,0,0,0,0
IM 338,362,0.2,left,MD,MD,WT,mPFF,M,pSyn,1.39E-05,0,1.39E-05,0
IM 341,362,0.2,left,MD,MD,WT,mPFF,F,pSyn,7.49E-06,0,7.49E-06,0
IM 331,10671,0.2,left,ME,ME,WT,mPFF,M,pSyn,0,0,0,0
IM 334,10671,0.2,left,ME,ME,WT,mPFF,F,pSyn,0,0,0,0
IM 338,10671,0.2,left,ME,ME,WT,mPFF,M,pSyn,0,0,0,0
IM 341,10671,0.2,left,ME,ME,WT,mPFF,F,pSyn,0,0,0,0
IM 331,403,0.2,left,MEA,MEA,WT,mPFF,M,pSyn,0,0,0,0
IM 334,403,0.2,left,MEA,MEA,WT,mPFF,F,pSyn,0,0,0,0
IM 338,403,0.2,left,MEA,MEA,WT,mPFF,M,pSyn,0,0,0,0
IM 341,403,0.2,left,MEA,MEA,WT,mPFF,F,pSyn,0,0,0,0
IM 331,63,0.2,left,MEZ,PVHd,WT,mPFF,M,pSyn,0,0,0,0
IM 334,63,0.2,left,MEZ,PVHd,WT,mPFF,F,pSyn,0,0,0,0
IM 338,63,0.2,left,MEZ,PVHd,WT,mPFF,M,pSyn,0,0,0,0
IM 341,63,0.2,left,MEZ,PVHd,WT,mPFF,F,pSyn,0,0,0,0
IM 334,54,0.2,left,mfb,mfb,WT,mPFF,F,pSyn,0,0,0,0
IM 338,54,0.2,left,mfb,mfb,WT,mPFF,M,pSyn,0,0,0,0
IM 331,"c(1072, 1088, 1079)",0.2,left,MG,"c(""MGd"", ""MGm"", ""MGv"")",WT,mPFF,M,pSyn,0,0,0,0
IM 334,"c(1088, 1079, 1072)",0.2,left,MG,"c(""MGm"", ""MGv"", ""MGd"")",WT,mPFF,F,pSyn,0,0,0,0
IM 338,"c(1079, 1088, 1072)",0.2,left,MG,"c(""MGv"", ""MGm"", ""MGd"")",WT,mPFF,M,pSyn,0,0,0,0
IM 331,483,0.2,left,MH,MH,WT,mPFF,M,pSyn,0,0,0,0
IM 334,483,0.2,left,MH,MH,WT,mPFF,F,pSyn,0,0,0,0
IM 338,483,0.2,left,MH,MH,WT,mPFF,M,pSyn,0,0,0,0
IM 341,483,0.2,left,MH,MH,WT,mPFF,F,pSyn,0,0,0,0
IM 331,697,0.2,left,ml,ml,WT,mPFF,M,pSyn,0,0,0,0
IM 334,697,0.2,left,ml,ml,WT,mPFF,F,pSyn,0,0,0,0
IM 338,697,0.2,left,ml,ml,WT,mPFF,M,pSyn,0,0,0,0
IM 341,697,0.2,left,ml,ml,WT,mPFF,F,pSyn,0,0,0,0
IM 331,62,0.2,left,mlf,mlf,WT,mPFF,M,pSyn,0,0,0,0
IM 334,62,0.2,left,mlf,mlf,WT,mPFF,F,pSyn,0,0,0,0
IM 338,62,0.2,left,mlf,mlf,WT,mPFF,M,pSyn,0,0,0,0
IM 341,62,0.2,left,mlf,mlf,WT,mPFF,F,pSyn,0,0,0,0
IM 331,"c(606826655, 606826659, 606826651, 606826647)",0.2,left,MM,"c(""MMp"", ""MMd"", ""MMm"", ""MMl"")",WT,mPFF,M,pSyn,0,0,0,0
IM 334,"c(606826655, 606826647, 606826651, 732, 606826659)",0.2,left,MM,"c(""MMp"", ""MMl"", ""MMm"", ""MMme"", ""MMd"")",WT,mPFF,F,pSyn,0,0,0,0
IM 338,"c(606826659, 606826651, 606826647, 732)",0.2,left,MM,"c(""MMd"", ""MMm"", ""MMl"", ""MMme"")",WT,mPFF,M,pSyn,9.54E-05,0,9.54E-05,0
IM 331,"c(320, 943, 648, 844, 882)",0.2,left,MOp,"c(""MOp1"", ""MOp2/3"", ""MOp5"", ""MOp6a"", ""MOp6b"")",WT,mPFF,M,pSyn,3.44E-05,0,3.44E-05,0
IM 334,"c(320, 943, 844, 882, 648)",0.2,left,MOp,"c(""MOp1"", ""MOp2/3"", ""MOp6a"", ""MOp6b"", ""MOp5"")",WT,mPFF,F,pSyn,3.94E-05,0,3.94E-05,0
IM 338,"c(320, 943, 648, 844, 882)",0.2,left,MOp,"c(""MOp1"", ""MOp2/3"", ""MOp5"", ""MOp6a"", ""MOp6b"")",WT,mPFF,M,pSyn,0.000302416,0,0.000302416,0
IM 341,"c(320, 943, 648, 844, 882)",0.2,left,MOp,"c(""MOp1"", ""MOp2/3"", ""MOp5"", ""MOp6a"", ""MOp6b"")",WT,mPFF,F,pSyn,0.000174274,0,0.000174274,0
IM 331,"c(1021, 1085, 767, 656, 962)",0.2,left,MOs,"c(""MOs6a"", ""MOs6b"", ""MOs5"", ""MOs1"", ""MOs2/3"")",WT,mPFF,M,pSyn,8.57E-05,0,8.57E-05,0
IM 334,"c(767, 962, 1085, 656, 1021)",0.2,left,MOs,"c(""MOs5"", ""MOs2/3"", ""MOs6b"", ""MOs1"", ""MOs6a"")",WT,mPFF,F,pSyn,2.97E-05,0,2.97E-05,0
IM 338,"c(962, 767, 656, 1085, 1021)",0.2,left,MOs,"c(""MOs2/3"", ""MOs5"", ""MOs1"", ""MOs6b"", ""MOs6a"")",WT,mPFF,M,pSyn,0.000209513,0,0.000209513,0
IM 341,"c(767, 962, 1021, 656, 1085)",0.2,left,MOs,"c(""MOs5"", ""MOs2/3"", ""MOs6a"", ""MOs1"", ""MOs6b"")",WT,mPFF,F,pSyn,0.000433111,0,0.000433111,0
IM 331,93,0.2,left,moV,moV,WT,mPFF,M,pSyn,0,0,0,0
IM 334,93,0.2,left,moV,moV,WT,mPFF,F,pSyn,0,0,0,0
IM 338,93,0.2,left,moV,moV,WT,mPFF,M,pSyn,0,0,0,0
IM 341,93,0.2,left,moV,moV,WT,mPFF,F,pSyn,0,0,0,0
IM 331,673,0.2,left,mp,mp,WT,mPFF,M,pSyn,0,0,0,0
IM 334,673,0.2,left,mp,mp,WT,mPFF,F,pSyn,0,0,0,0
IM 338,673,0.2,left,mp,mp,WT,mPFF,M,pSyn,0,0,0,0
IM 331,531,0.2,left,MPT,MPT,WT,mPFF,M,pSyn,0,0,0,0
IM 334,531,0.2,left,MPT,MPT,WT,mPFF,F,pSyn,0,0,0,0
IM 338,531,0.2,left,MPT,MPT,WT,mPFF,M,pSyn,0,0,0,0
IM 331,128,0.2,left,MRN,MRN,WT,mPFF,M,pSyn,8.23E-05,0,8.23E-05,0
IM 334,128,0.2,left,MRN,MRN,WT,mPFF,F,pSyn,0,0,0,0
IM 338,128,0.2,left,MRN,MRN,WT,mPFF,M,pSyn,0,0,0,0
IM 341,128,0.2,left,MRN,MRN,WT,mPFF,F,pSyn,0,0,0,0
IM 331,564,0.2,left,MS,MS,WT,mPFF,M,pSyn,0,0,0,0
IM 334,564,0.2,left,MS,MS,WT,mPFF,F,pSyn,0,0,0,0
IM 338,564,0.2,left,MS,MS,WT,mPFF,M,pSyn,0,0,0,0
IM 341,564,0.2,left,MS,MS,WT,mPFF,F,pSyn,0,0,0,0
IM 331,58,0.2,left,MT,MT,WT,mPFF,M,pSyn,0,0,0,0
IM 334,58,0.2,left,MT,MT,WT,mPFF,F,pSyn,0,0,0,0
IM 338,58,0.2,left,MT,MT,WT,mPFF,M,pSyn,0,0,0,0
IM 331,681,0.2,left,mtg,mtg,WT,mPFF,M,pSyn,0,0,0,0
IM 334,681,0.2,left,mtg,mtg,WT,mPFF,F,pSyn,0,0,0,0
IM 338,681,0.2,left,mtg,mtg,WT,mPFF,M,pSyn,0,0,0,0
IM 341,681,0.2,left,mtg,mtg,WT,mPFF,F,pSyn,0,0,0,0
IM 331,690,0.2,left,mtt,mtt,WT,mPFF,M,pSyn,0,0,0,0
IM 334,690,0.2,left,mtt,mtt,WT,mPFF,F,pSyn,0,0,0,0
IM 338,690,0.2,left,mtt,mtt,WT,mPFF,M,pSyn,0,0,0,0
IM 341,690,0.2,left,mtt,mtt,WT,mPFF,F,pSyn,0,0,0,0
IM 331,997,0.2,left,None,None,WT,mPFF,M,pSyn,0,0,0,0
IM 334,997,0.2,left,None,None,WT,mPFF,F,pSyn,0,0,0,0
IM 338,997,0.2,left,None,None,WT,mPFF,M,pSyn,0,0,0,0
IM 341,997,0.2,left,None,None,WT,mPFF,F,pSyn,0,0,0,0
IM 331,587,0.2,left,ND,ND,WT,mPFF,M,pSyn,0,0,0,0
IM 334,587,0.2,left,ND,ND,WT,mPFF,F,pSyn,0,0,0,0
IM 338,587,0.2,left,ND,ND,WT,mPFF,M,pSyn,0,0,0,0
IM 331,596,0.2,left,NDB,NDB,WT,mPFF,M,pSyn,0,0,0,0
IM 334,596,0.2,left,NDB,NDB,WT,mPFF,F,pSyn,0,0,0,0
IM 338,596,0.2,left,NDB,NDB,WT,mPFF,M,pSyn,0,0,0,0
IM 341,596,0.2,left,NDB,NDB,WT,mPFF,F,pSyn,0,0,0,0
IM 331,612,0.2,left,NLL,NLL,WT,mPFF,M,pSyn,0,0,0,0
IM 334,612,0.2,left,NLL,NLL,WT,mPFF,F,pSyn,0,0,0,0
IM 338,612,0.2,left,NLL,NLL,WT,mPFF,M,pSyn,0,0,0,0
IM 341,612,0.2,left,NLL,NLL,WT,mPFF,F,pSyn,0,0,0,0
IM 331,628,0.2,left,NOT,NOT,WT,mPFF,M,pSyn,0,0,0,0
IM 334,628,0.2,left,NOT,NOT,WT,mPFF,F,pSyn,0,0,0,0
IM 338,628,0.2,left,NOT,NOT,WT,mPFF,M,pSyn,0,0,0,0
IM 331,634,0.2,left,NPC,NPC,WT,mPFF,M,pSyn,0,0,0,0
IM 334,634,0.2,left,NPC,NPC,WT,mPFF,F,pSyn,0,0,0,0
IM 338,634,0.2,left,NPC,NPC,WT,mPFF,M,pSyn,0,0,0,0
IM 331,102,0.2,left,nst,nst,WT,mPFF,M,pSyn,0,0,0,0
IM 334,102,0.2,left,nst,nst,WT,mPFF,F,pSyn,0,0,0,0
IM 338,102,0.2,left,nst,nst,WT,mPFF,M,pSyn,0,0,0,0
IM 341,102,0.2,left,nst,nst,WT,mPFF,F,pSyn,0,0,0,0
IM 331,698,0.2,left,OLF,OLF,WT,mPFF,M,pSyn,0,0,0,0
IM 334,698,0.2,left,OLF,OLF,WT,mPFF,F,pSyn,0,0,0,0
IM 338,698,0.2,left,OLF,OLF,WT,mPFF,M,pSyn,0,0,0,0
IM 341,698,0.2,left,OLF,OLF,WT,mPFF,F,pSyn,0,0,0,0
IM 334,706,0.2,left,OP,OP,WT,mPFF,F,pSyn,0,0,0,0
IM 338,706,0.2,left,OP,OP,WT,mPFF,M,pSyn,0,0,0,0
IM 331,125,0.2,left,opt,opt,WT,mPFF,M,pSyn,0,0,0,0
IM 334,125,0.2,left,opt,opt,WT,mPFF,F,pSyn,0,0,0,0
IM 338,125,0.2,left,opt,opt,WT,mPFF,M,pSyn,0,0,0,0
IM 341,125,0.2,left,opt,opt,WT,mPFF,F,pSyn,0,0,0,0
IM 331,484682520,0.2,left,or,or,WT,mPFF,M,pSyn,0.000301208,0,0.000301208,0
IM 334,484682520,0.2,left,or,or,WT,mPFF,F,pSyn,0.00163228,0,0.00163228,0
IM 338,484682520,0.2,left,or,or,WT,mPFF,M,pSyn,0.000117862,0,0.000117862,0
IM 341,484682520,0.2,left,or,or,WT,mPFF,F,pSyn,0,0,0,0
IM 331,"c(448, 440, 412, 630)",0.2,left,ORBl,"c(""ORBl1"", ""ORBl6a"", ""ORBl2/3"", ""ORBl5"")",WT,mPFF,M,pSyn,1.36E-05,0,1.36E-05,0
IM 334,"c(448, 440, 630, 412)",0.2,left,ORBl,"c(""ORBl1"", ""ORBl6a"", ""ORBl5"", ""ORBl2/3"")",WT,mPFF,F,pSyn,0.000567959,0,0.000567959,0
