mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total % Area,Inclusion % Area,Neurite % Area,Inclusion per mm^2
IM 334,215,0.2,left,APN,APN,WT,mPFF,F,pSyn,0,0,0,0
IM 338,215,0.2,left,APN,APN,WT,mPFF,M,pSyn,0,0,0,0
IM 331,484682508,0.2,left,APr,APr,WT,mPFF,M,pSyn,0,0,0,0
IM 334,484682508,0.2,left,APr,APr,WT,mPFF,F,pSyn,0,0,0,0
IM 338,484682508,0.2,left,APr,APr,WT,mPFF,M,pSyn,0,0,0,0
IM 341,484682508,0.2,left,APr,APr,WT,mPFF,F,pSyn,0,0,0,0
IM 331,484682524,0.2,left,ar,ar,WT,mPFF,M,pSyn,0,0,0,0
IM 334,484682524,0.2,left,ar,ar,WT,mPFF,F,pSyn,0,0,0,0
IM 338,484682524,0.2,left,ar,ar,WT,mPFF,M,pSyn,0,0,0,0
IM 341,484682524,0.2,left,ar,ar,WT,mPFF,F,pSyn,0.000339433,0,0.000339433,0
IM 331,223,0.2,left,ARH,ARH,WT,mPFF,M,pSyn,0,0,0,0
IM 334,223,0.2,left,ARH,ARH,WT,mPFF,F,pSyn,0,0,0,0
IM 338,223,0.2,left,ARH,ARH,WT,mPFF,M,pSyn,0,0,0,0
IM 341,223,0.2,left,ARH,ARH,WT,mPFF,F,pSyn,0,0,0,0
IM 331,231,0.2,left,AT,AT,WT,mPFF,M,pSyn,0,0,0,0
IM 334,231,0.2,left,AT,AT,WT,mPFF,F,pSyn,0,0,0,0
IM 338,231,0.2,left,AT,AT,WT,mPFF,M,pSyn,0,0,0,0
IM 341,231,0.2,left,AT,AT,WT,mPFF,F,pSyn,0,0,0,0
IM 331,"c(156, 678, 600, 243, 527, 252)",0.2,left,AUDd,"c(""AUDd6a"", ""AUDd4"", ""AUDd2/3"", ""AUDd6b"", ""AUDd1"", ""AUDd5"")",WT,mPFF,M,pSyn,0.000204803,0,0.000204803,0
IM 334,"c(252, 527, 600, 243, 678, 156)",0.2,left,AUDd,"c(""AUDd5"", ""AUDd1"", ""AUDd2/3"", ""AUDd6b"", ""AUDd4"", ""AUDd6a"")",WT,mPFF,F,pSyn,6.77E-05,0,6.77E-05,0
IM 338,"c(156, 678, 243, 600, 527, 252)",0.2,left,AUDd,"c(""AUDd6a"", ""AUDd4"", ""AUDd6b"", ""AUDd2/3"", ""AUDd1"", ""AUDd5"")",WT,mPFF,M,pSyn,0,0,0,0
IM 341,"c(156, 243, 678, 527, 600, 252)",0.2,left,AUDd,"c(""AUDd6a"", ""AUDd6b"", ""AUDd4"", ""AUDd1"", ""AUDd2/3"", ""AUDd5"")",WT,mPFF,F,pSyn,0.00160414,0,0.00160414,0
IM 331,"c(954, 847, 1005, 735, 816, 251)",0.2,left,AUDp,"c(""AUDp6a"", ""AUDp5"", ""AUDp6b"", ""AUDp1"", ""AUDp4"", ""AUDp2/3"")",WT,mPFF,M,pSyn,0,0,0,0
IM 334,"c(954, 1005, 847, 735, 816, 251)",0.2,left,AUDp,"c(""AUDp6a"", ""AUDp6b"", ""AUDp5"", ""AUDp1"", ""AUDp4"", ""AUDp2/3"")",WT,mPFF,F,pSyn,0,0,0,0
IM 338,"c(251, 847, 816, 1005, 735, 954)",0.2,left,AUDp,"c(""AUDp2/3"", ""AUDp5"", ""AUDp4"", ""AUDp6b"", ""AUDp1"", ""AUDp6a"")",WT,mPFF,M,pSyn,9.95E-06,0,9.95E-06,0
IM 341,"c(847, 735, 816, 251)",0.2,left,AUDp,"c(""AUDp5"", ""AUDp1"", ""AUDp4"", ""AUDp2/3"")",WT,mPFF,F,pSyn,0,0,0,0
IM 331,"c(696, 791, 643, 249, 759, 456)",0.2,left,AUDpo,"c(""AUDpo1"", ""AUDpo5"", ""AUDpo2/3"", ""AUDpo6a"", ""AUDpo4"", ""AUDpo6b"")",WT,mPFF,M,pSyn,0,0,0,0
IM 334,"c(643, 759, 456, 791, 696, 249)",0.2,left,AUDpo,"c(""AUDpo2/3"", ""AUDpo4"", ""AUDpo6b"", ""AUDpo5"", ""AUDpo1"", ""AUDpo6a"")",WT,mPFF,F,pSyn,0,0,0,0
IM 338,"c(249, 643, 791, 456, 759, 696)",0.2,left,AUDpo,"c(""AUDpo6a"", ""AUDpo2/3"", ""AUDpo5"", ""AUDpo6b"", ""AUDpo4"", ""AUDpo1"")",WT,mPFF,M,pSyn,0,0,0,0
IM 331,"c(1023, 959, 520, 990, 755, 598)",0.2,left,AUDv,"c(""AUDv5"", ""AUDv1"", ""AUDv6a"", ""AUDv4"", ""AUDv2/3"", ""AUDv6b"")",WT,mPFF,M,pSyn,0.000107385,0,0.000107385,0
IM 334,"c(990, 959, 520, 598, 755, 1023)",0.2,left,AUDv,"c(""AUDv4"", ""AUDv1"", ""AUDv6a"", ""AUDv6b"", ""AUDv2/3"", ""AUDv5"")",WT,mPFF,F,pSyn,0,0,0,0
IM 338,"c(520, 1023, 990, 755, 598, 959)",0.2,left,AUDv,"c(""AUDv6a"", ""AUDv5"", ""AUDv4"", ""AUDv2/3"", ""AUDv6b"", ""AUDv1"")",WT,mPFF,M,pSyn,0,0,0,0
IM 341,"c(1023, 755, 959, 990, 520, 598)",0.2,left,AUDv,"c(""AUDv5"", ""AUDv2/3"", ""AUDv1"", ""AUDv4"", ""AUDv6a"", ""AUDv6b"")",WT,mPFF,F,pSyn,0.000688298,0,0.000688298,0
IM 331,482,0.2,left,bic,bic,WT,mPFF,M,pSyn,0,0,0,0
IM 334,482,0.2,left,bic,bic,WT,mPFF,F,pSyn,0,0,0,0
IM 338,482,0.2,left,bic,bic,WT,mPFF,M,pSyn,0,0,0,0
IM 341,482,0.2,left,bic,bic,WT,mPFF,F,pSyn,0,0,0,0
IM 331,"c(311, 303, 451)",0.2,left,BLA,"c(""BLAp"", ""BLAa"", ""BLAv"")",WT,mPFF,M,pSyn,0.006995027,0,0.006995027,0
IM 334,"c(311, 303, 451)",0.2,left,BLA,"c(""BLAp"", ""BLAa"", ""BLAv"")",WT,mPFF,F,pSyn,0.00114823,0,0.00114823,0
IM 338,"c(303, 451, 311)",0.2,left,BLA,"c(""BLAa"", ""BLAv"", ""BLAp"")",WT,mPFF,M,pSyn,0.001940311,0,0.001940311,0
IM 341,"c(303, 451, 311)",0.2,left,BLA,"c(""BLAa"", ""BLAv"", ""BLAp"")",WT,mPFF,F,pSyn,0.002615181,0,0.002615181,0
IM 331,"c(327, 334)",0.2,left,BMA,"c(""BMAa"", ""BMAp"")",WT,mPFF,M,pSyn,0,0,0,0
IM 334,"c(334, 327)",0.2,left,BMA,"c(""BMAp"", ""BMAa"")",WT,mPFF,F,pSyn,0,0,0,0
IM 338,"c(334, 327)",0.2,left,BMA,"c(""BMAp"", ""BMAa"")",WT,mPFF,M,pSyn,0,0,0,0
IM 341,"c(327, 334)",0.2,left,BMA,"c(""BMAa"", ""BMAp"")",WT,mPFF,F,pSyn,1.21E-05,0,1.21E-05,0
IM 331,916,0.2,left,bsc,bsc,WT,mPFF,M,pSyn,0,0,0,0
IM 334,916,0.2,left,bsc,bsc,WT,mPFF,F,pSyn,0,0,0,0
IM 338,916,0.2,left,bsc,bsc,WT,mPFF,M,pSyn,0,0,0,0
IM 331,382,0.2,left,CA1,CA1,WT,mPFF,M,pSyn,0,0,0,0
IM 334,382,0.2,left,CA1,CA1,WT,mPFF,F,pSyn,1.66E-06,0,1.66E-06,0
IM 338,382,0.2,left,CA1,CA1,WT,mPFF,M,pSyn,2.46E-05,0,2.46E-05,0
IM 341,382,0.2,left,CA1,CA1,WT,mPFF,F,pSyn,0,0,0,0
IM 331,423,0.2,left,CA2,CA2,WT,mPFF,M,pSyn,0,0,0,0
IM 334,423,0.2,left,CA2,CA2,WT,mPFF,F,pSyn,0,0,0,0
IM 338,423,0.2,left,CA2,CA2,WT,mPFF,M,pSyn,0,0,0,0
