mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total % Area,Inclusion % Area,Neurite Area,Inclusion per mm^2
IM 93,210,1,left,LM,LM,WT,mPFF,M,pSyn,0,0,0,0
IM 94,210,1,left,LM,LM,WT,mPFF,M,pSyn,0,0,0,0
IM 95,210,1,left,LM,LM,WT,mPFF,M,pSyn,0,0,0,0
IM 96,210,1,left,LM,LM,WT,mPFF,M,pSyn,0,0,0,0
IM 89,665,1,left,lotg,lot,WT,mPFF,F,pSyn,0,0,0,0
IM 90,665,1,left,lotg,lot,WT,mPFF,F,pSyn,0,0,0,0
IM 91,665,1,left,lotg,lot,WT,mPFF,F,pSyn,0,0,0,0
IM 92,665,1,left,lotg,lot,WT,mPFF,F,pSyn,0,0,0,0
IM 93,665,1,left,lotg,lot,WT,mPFF,M,pSyn,0,0,0,0
IM 94,665,1,left,lotg,lot,WT,mPFF,M,pSyn,0,0,0,0
IM 95,665,1,left,lotg,lot,WT,mPFF,M,pSyn,0,0,0,0
IM 96,665,1,left,lotg,lot,WT,mPFF,M,pSyn,0,0,0,0
IM 89,218,1,left,LP,LP,WT,mPFF,F,pSyn,6.94E-05,0,6.94E-05,0
IM 90,218,1,left,LP,LP,WT,mPFF,F,pSyn,0,0,0,0
IM 91,218,1,left,LP,LP,WT,mPFF,F,pSyn,0,0,0,0
IM 92,218,1,left,LP,LP,WT,mPFF,F,pSyn,0,0,0,0
IM 93,218,1,left,LP,LP,WT,mPFF,M,pSyn,8.84E-05,0,8.84E-05,0
IM 94,218,1,left,LP,LP,WT,mPFF,M,pSyn,0,0,0,0
IM 95,218,1,left,LP,LP,WT,mPFF,M,pSyn,0,0,0,0
IM 96,218,1,left,LP,LP,WT,mPFF,M,pSyn,0,0,0,0
IM 91,226,1,left,LPO,LPO,WT,mPFF,F,pSyn,0,0,0,0
IM 92,226,1,left,LPO,LPO,WT,mPFF,F,pSyn,0,0,0,0
IM 96,226,1,left,LPO,LPO,WT,mPFF,M,pSyn,0,0,0,0
IM 89,"c(266, 258)",1,left,LS,"c(""LSv"", ""LSr"")",WT,mPFF,F,pSyn,8.30E-05,0,8.30E-05,0
IM 90,"c(266, 258)",1,left,LS,"c(""LSv"", ""LSr"")",WT,mPFF,F,pSyn,0,0,0,0
IM 91,"c(266, 258, 250)",1,left,LS,"c(""LSv"", ""LSr"", ""LSc"")",WT,mPFF,F,pSyn,0,0,0,0
IM 92,"c(258, 266, 250)",1,left,LS,"c(""LSr"", ""LSv"", ""LSc"")",WT,mPFF,F,pSyn,0,0,0,0
IM 93,"c(258, 266)",1,left,LS,"c(""LSr"", ""LSv"")",WT,mPFF,M,pSyn,8.80E-05,0,8.80E-05,0
IM 94,"c(258, 266)",1,left,LS,"c(""LSr"", ""LSv"")",WT,mPFF,M,pSyn,0,0,0,0
IM 95,"c(266, 258)",1,left,LS,"c(""LSv"", ""LSr"")",WT,mPFF,M,pSyn,0,0,0,0
IM 96,"c(258, 266)",1,left,LS,"c(""LSr"", ""LSv"")",WT,mPFF,M,pSyn,2.80E-05,0,2.80E-05,0
IM 89,66,1,left,LT,LT,WT,mPFF,F,pSyn,0,0,0,0
IM 90,66,1,left,LT,LT,WT,mPFF,F,pSyn,0,0,0,0
IM 91,66,1,left,LT,LT,WT,mPFF,F,pSyn,0,0,0,0
IM 94,66,1,left,LT,LT,WT,mPFF,M,pSyn,0.004513672,0,0.004513672,0
IM 95,66,1,left,LT,LT,WT,mPFF,M,pSyn,0,0,0,0
IM 96,66,1,left,LT,LT,WT,mPFF,M,pSyn,0,0,0,0
IM 90,549009211,1,left,MA3,MA3,WT,mPFF,F,pSyn,0,0,0,0
IM 91,549009211,1,left,MA3,MA3,WT,mPFF,F,pSyn,0,0,0,0
IM 92,549009211,1,left,MA3,MA3,WT,mPFF,F,pSyn,0,0,0,0
IM 94,549009211,1,left,MA3,MA3,WT,mPFF,M,pSyn,0,0,0,0
IM 95,549009211,1,left,MA3,MA3,WT,mPFF,M,pSyn,0,0,0,0
IM 96,549009211,1,left,MA3,MA3,WT,mPFF,M,pSyn,0,0,0,0
IM 89,313,1,left,MB,MB,WT,mPFF,F,pSyn,0.000217784,0,0.000217784,0
IM 90,313,1,left,MB,MB,WT,mPFF,F,pSyn,0.000221605,0,0.000221605,0
IM 91,313,1,left,MB,MB,WT,mPFF,F,pSyn,0.000142297,0,0.000142297,0
IM 92,313,1,left,MB,MB,WT,mPFF,F,pSyn,5.35E-05,0,5.35E-05,0
IM 93,313,1,left,MB,MB,WT,mPFF,M,pSyn,7.68E-05,0,7.68E-05,0
IM 94,313,1,left,MB,MB,WT,mPFF,M,pSyn,7.06E-05,0,7.06E-05,0
IM 95,313,1,left,MB,MB,WT,mPFF,M,pSyn,0.000128402,0,0.000128402,0
IM 96,313,1,left,MB,MB,WT,mPFF,M,pSyn,4.38E-05,0,4.38E-05,0
IM 89,381,1,left,MBmot,SNr,WT,mPFF,F,pSyn,0,0,0,0
IM 90,381,1,left,MBmot,SNr,WT,mPFF,F,pSyn,2.24E-05,0,2.24E-05,0
IM 91,381,1,left,MBmot,SNr,WT,mPFF,F,pSyn,0,0,0,0
IM 92,381,1,left,MBmot,SNr,WT,mPFF,F,pSyn,0,0,0,0
IM 93,381,1,left,MBmot,SNr,WT,mPFF,M,pSyn,0,0,0,0
IM 94,381,1,left,MBmot,SNr,WT,mPFF,M,pSyn,3.35E-05,0,3.35E-05,0
IM 95,381,1,left,MBmot,SNr,WT,mPFF,M,pSyn,0,0,0,0
IM 96,381,1,left,MBmot,SNr,WT,mPFF,M,pSyn,0,0,0,0
IM 89,374,1,left,MBsta,SNc,WT,mPFF,F,pSyn,5.24E-05,0,5.24E-05,0
IM 90,374,1,left,MBsta,SNc,WT,mPFF,F,pSyn,0.000158529,0,0.000158529,0
IM 91,374,1,left,MBsta,SNc,WT,mPFF,F,pSyn,0,0,0,0
IM 92,374,1,left,MBsta,SNc,WT,mPFF,F,pSyn,0,0,0,0
IM 93,374,1,left,MBsta,SNc,WT,mPFF,M,pSyn,0,0,0,0
IM 94,374,1,left,MBsta,SNc,WT,mPFF,M,pSyn,0.000103162,0,0.000103162,0
IM 95,374,1,left,MBsta,SNc,WT,mPFF,M,pSyn,0,0,0,0
IM 96,374,1,left,MBsta,SNc,WT,mPFF,M,pSyn,0,0,0,0
IM 89,78,1,left,mcp,mcp,WT,mPFF,F,pSyn,0.000579964,0,0.000579964,0
IM 90,78,1,left,mcp,mcp,WT,mPFF,F,pSyn,8.74E-05,0,8.74E-05,0
IM 91,78,1,left,mcp,mcp,WT,mPFF,F,pSyn,0,0,0,0
IM 92,78,1,left,mcp,mcp,WT,mPFF,F,pSyn,0,0,0,0
IM 93,78,1,left,mcp,mcp,WT,mPFF,M,pSyn,0,0,0,0
IM 95,78,1,left,mcp,mcp,WT,mPFF,M,pSyn,0,0,0,0
IM 96,78,1,left,mcp,mcp,WT,mPFF,M,pSyn,0,0,0,0
IM 89,362,1,left,MD,MD,WT,mPFF,F,pSyn,0.000177489,0,0.000177489,0
IM 90,362,1,left,MD,MD,WT,mPFF,F,pSyn,6.24E-05,0,6.24E-05,0
IM 91,362,1,left,MD,MD,WT,mPFF,F,pSyn,0,0,0,0
IM 92,362,1,left,MD,MD,WT,mPFF,F,pSyn,0,0,0,0
IM 93,362,1,left,MD,MD,WT,mPFF,M,pSyn,5.36E-05,0,5.36E-05,0
IM 94,362,1,left,MD,MD,WT,mPFF,M,pSyn,0.000102593,0,0.000102593,0
IM 95,362,1,left,MD,MD,WT,mPFF,M,pSyn,0.000210148,0,0.000210148,0
IM 96,362,1,left,MD,MD,WT,mPFF,M,pSyn,4.20E-05,0,4.20E-05,0
IM 89,10671,1,left,ME,ME,WT,mPFF,F,pSyn,0,0,0,0
IM 90,10671,1,left,ME,ME,WT,mPFF,F,pSyn,0,0,0,0
IM 91,10671,1,left,ME,ME,WT,mPFF,F,pSyn,0,0,0,0
IM 92,10671,1,left,ME,ME,WT,mPFF,F,pSyn,0,0,0,0
IM 93,10671,1,left,ME,ME,WT,mPFF,M,pSyn,0,0,0,0
IM 94,10671,1,left,ME,ME,WT,mPFF,M,pSyn,0,0,0,0
IM 95,10671,1,left,ME,ME,WT,mPFF,M,pSyn,0,0,0,0
IM 96,10671,1,left,ME,ME,WT,mPFF,M,pSyn,0,0,0,0
IM 89,403,1,left,MEA,MEA,WT,mPFF,F,pSyn,0.000935617,0,0.000935617,0
IM 90,403,1,left,MEA,MEA,WT,mPFF,F,pSyn,0.000659773,0,0.000659773,0
IM 91,403,1,left,MEA,MEA,WT,mPFF,F,pSyn,0.000294092,0,0.000294092,0
IM 92,403,1,left,MEA,MEA,WT,mPFF,F,pSyn,3.49E-05,0,3.49E-05,0
IM 93,403,1,left,MEA,MEA,WT,mPFF,M,pSyn,7.07E-05,0,7.07E-05,0
IM 94,403,1,left,MEA,MEA,WT,mPFF,M,pSyn,0,0,0,0
IM 95,403,1,left,MEA,MEA,WT,mPFF,M,pSyn,2.83E-05,0,2.83E-05,0
IM 96,403,1,left,MEA,MEA,WT,mPFF,M,pSyn,1.72E-05,0,1.72E-05,0
IM 89,63,1,left,MEZ,PVHd,WT,mPFF,F,pSyn,0,0,0,0
IM 90,63,1,left,MEZ,PVHd,WT,mPFF,F,pSyn,0,0,0,0
IM 91,63,1,left,MEZ,PVHd,WT,mPFF,F,pSyn,0,0,0,0
IM 92,63,1,left,MEZ,PVHd,WT,mPFF,F,pSyn,0,0,0,0
IM 93,63,1,left,MEZ,PVHd,WT,mPFF,M,pSyn,0.000768394,0,0.000768394,0
IM 95,63,1,left,MEZ,PVHd,WT,mPFF,M,pSyn,0,0,0,0
IM 96,63,1,left,MEZ,PVHd,WT,mPFF,M,pSyn,0,0,0,0
IM 89,54,1,left,mfb,mfb,WT,mPFF,F,pSyn,0,0,0,0
IM 91,54,1,left,mfb,mfb,WT,mPFF,F,pSyn,0,0,0,0
IM 92,54,1,left,mfb,mfb,WT,mPFF,F,pSyn,0,0,0,0
IM 93,54,1,left,mfb,mfb,WT,mPFF,M,pSyn,0.001374329,0,0.001374329,0
IM 94,54,1,left,mfb,mfb,WT,mPFF,M,pSyn,0,0,0,0
IM 95,54,1,left,mfb,mfb,WT,mPFF,M,pSyn,0,0,0,0
IM 96,54,1,left,mfb,mfb,WT,mPFF,M,pSyn,0,0,0,0
IM 89,"c(1079, 1088, 1072)",1,left,MG,"c(""MGv"", ""MGm"", ""MGd"")",WT,mPFF,F,pSyn,8.93E-05,0,8.93E-05,0
IM 90,"c(1088, 1072, 1079)",1,left,MG,"c(""MGm"", ""MGd"", ""MGv"")",WT,mPFF,F,pSyn,0,0,0,0
IM 91,"c(1072, 1079, 1088)",1,left,MG,"c(""MGd"", ""MGv"", ""MGm"")",WT,mPFF,F,pSyn,0,0,0,0
IM 92,"c(1088, 1072, 1079)",1,left,MG,"c(""MGm"", ""MGd"", ""MGv"")",WT,mPFF,F,pSyn,0,0,0,0
IM 93,"c(1088, 1072, 1079)",1,left,MG,"c(""MGm"", ""MGd"", ""MGv"")",WT,mPFF,M,pSyn,0,0,0,0
IM 94,"c(1088, 1072, 1079)",1,left,MG,"c(""MGm"", ""MGd"", ""MGv"")",WT,mPFF,M,pSyn,0.000222752,0,0.000222752,0
IM 95,"c(1079, 1088, 1072)",1,left,MG,"c(""MGv"", ""MGm"", ""MGd"")",WT,mPFF,M,pSyn,0,0,0,0
IM 96,"c(1079, 1072, 1088)",1,left,MG,"c(""MGv"", ""MGd"", ""MGm"")",WT,mPFF,M,pSyn,6.61E-05,0,6.61E-05,0
IM 89,483,1,left,MH,MH,WT,mPFF,F,pSyn,0,0,0,0
IM 90,483,1,left,MH,MH,WT,mPFF,F,pSyn,0.001078731,0,0.001078731,0
IM 91,483,1,left,MH,MH,WT,mPFF,F,pSyn,0,0,0,0
IM 92,483,1,left,MH,MH,WT,mPFF,F,pSyn,0,0,0,0
IM 93,483,1,left,MH,MH,WT,mPFF,M,pSyn,0,0,0,0
IM 94,483,1,left,MH,MH,WT,mPFF,M,pSyn,0,0,0,0
IM 95,483,1,left,MH,MH,WT,mPFF,M,pSyn,0,0,0,0
IM 96,483,1,left,MH,MH,WT,mPFF,M,pSyn,0,0,0,0
IM 89,697,1,left,ml,ml,WT,mPFF,F,pSyn,4.89E-05,0,4.89E-05,0
IM 90,697,1,left,ml,ml,WT,mPFF,F,pSyn,0,0,0,0
IM 91,697,1,left,ml,ml,WT,mPFF,F,pSyn,0.00031257,0,0.00031257,0
IM 92,697,1,left,ml,ml,WT,mPFF,F,pSyn,0.000907527,0,0.000907527,0
IM 93,697,1,left,ml,ml,WT,mPFF,M,pSyn,0,0,0,0
IM 94,697,1,left,ml,ml,WT,mPFF,M,pSyn,0,0,0,0
IM 95,697,1,left,ml,ml,WT,mPFF,M,pSyn,0,0,0,0
IM 96,697,1,left,ml,ml,WT,mPFF,M,pSyn,0,0,0,0
IM 89,62,1,left,mlf,mlf,WT,mPFF,F,pSyn,0,0,0,0
IM 90,62,1,left,mlf,mlf,WT,mPFF,F,pSyn,0,0,0,0
IM 91,62,1,left,mlf,mlf,WT,mPFF,F,pSyn,0,0,0,0
IM 92,62,1,left,mlf,mlf,WT,mPFF,F,pSyn,0.000365881,0,0.000365881,0
IM 93,62,1,left,mlf,mlf,WT,mPFF,M,pSyn,0,0,0,0
IM 95,62,1,left,mlf,mlf,WT,mPFF,M,pSyn,0,0,0,0
IM 96,62,1,left,mlf,mlf,WT,mPFF,M,pSyn,0,0,0,0
IM 89,"c(606826647, 606826659, 732, 606826651)",1,left,MM,"c(""MMl"", ""MMd"", ""MMme"", ""MMm"")",WT,mPFF,F,pSyn,0.000396675,0,0.000396675,0
IM 90,"c(606826655, 606826651, 606826647, 606826659)",1,left,MM,"c(""MMp"", ""MMm"", ""MMl"", ""MMd"")",WT,mPFF,F,pSyn,3.48E-05,0,3.48E-05,0
IM 91,"c(732, 606826647, 606826659, 606826651, 606826655)",1,left,MM,"c(""MMme"", ""MMl"", ""MMd"", ""MMm"", ""MMp"")",WT,mPFF,F,pSyn,0,0,0,0
IM 92,"c(732, 606826651, 606826647, 606826659)",1,left,MM,"c(""MMme"", ""MMm"", ""MMl"", ""MMd"")",WT,mPFF,F,pSyn,0.00089155,0,0.00089155,0
IM 93,"c(606826659, 606826647, 606826651, 732)",1,left,MM,"c(""MMd"", ""MMl"", ""MMm"", ""MMme"")",WT,mPFF,M,pSyn,0,0,0,0
IM 94,"c(732, 606826659, 606826647, 606826651)",1,left,MM,"c(""MMme"", ""MMd"", ""MMl"", ""MMm"")",WT,mPFF,M,pSyn,0.000188168,0,0.000188168,0
IM 95,"c(606826651, 606826659, 606826647, 606826655, 732)",1,left,MM,"c(""MMm"", ""MMd"", ""MMl"", ""MMp"", ""MMme"")",WT,mPFF,M,pSyn,0,0,0,0
IM 96,"c(606826659, 606826647, 606826651, 732)",1,left,MM,"c(""MMd"", ""MMl"", ""MMm"", ""MMme"")",WT,mPFF,M,pSyn,0,0,0,0
IM 89,"c(320, 943, 648, 844, 882)",1,left,MOp,"c(""MOp1"", ""MOp2/3"", ""MOp5"", ""MOp6a"", ""MOp6b"")",WT,mPFF,F,pSyn,0.000103748,0,0.000103748,0
IM 90,"c(844, 648, 882, 943, 320)",1,left,MOp,"c(""MOp6a"", ""MOp5"", ""MOp6b"", ""MOp2/3"", ""MOp1"")",WT,mPFF,F,pSyn,0.000448056,0,0.000448056,0
IM 91,"c(844, 943, 882, 648, 320)",1,left,MOp,"c(""MOp6a"", ""MOp2/3"", ""MOp6b"", ""MOp5"", ""MOp1"")",WT,mPFF,F,pSyn,0.003537502,0.001665028,0.001872474,0.458652239
IM 92,"c(943, 320, 844, 648, 882)",1,left,MOp,"c(""MOp2/3"", ""MOp1"", ""MOp6a"", ""MOp5"", ""MOp6b"")",WT,mPFF,F,pSyn,0.002160084,0,0.002160084,0
IM 93,"c(844, 943, 648, 882, 320)",1,left,MOp,"c(""MOp6a"", ""MOp2/3"", ""MOp5"", ""MOp6b"", ""MOp1"")",WT,mPFF,M,pSyn,0.002616922,0.001323014,0.001293908,0.222308614
IM 94,"c(844, 648, 943, 320, 882)",1,left,MOp,"c(""MOp6a"", ""MOp5"", ""MOp2/3"", ""MOp1"", ""MOp6b"")",WT,mPFF,M,pSyn,0.002240519,0,0.002240519,0
IM 95,"c(882, 320, 648, 943, 844)",1,left,MOp,"c(""MOp6b"", ""MOp1"", ""MOp5"", ""MOp2/3"", ""MOp6a"")",WT,mPFF,M,pSyn,0.00111288,0,0.00111288,0
IM 96,"c(648, 844, 320, 882, 943)",1,left,MOp,"c(""MOp5"", ""MOp6a"", ""MOp1"", ""MOp6b"", ""MOp2/3"")",WT,mPFF,M,pSyn,0,0,0,0
IM 89,"c(962, 1021, 1085, 767, 656)",1,left,MOs,"c(""MOs2/3"", ""MOs6a"", ""MOs6b"", ""MOs5"", ""MOs1"")",WT,mPFF,F,pSyn,0.002734328,0,0.002734328,0
IM 90,"c(962, 1021, 656, 767, 1085)",1,left,MOs,"c(""MOs2/3"", ""MOs6a"", ""MOs1"", ""MOs5"", ""MOs6b"")",WT,mPFF,F,pSyn,0.005149368,0.00153316,0.003616208,0.978798837
IM 91,"c(962, 1021, 767, 656, 1085)",1,left,MOs,"c(""MOs2/3"", ""MOs6a"", ""MOs5"", ""MOs1"", ""MOs6b"")",WT,mPFF,F,pSyn,0.015268528,0.003103605,0.012164922,0.921386541
IM 92,"c(767, 1085, 1021, 656, 962)",1,left,MOs,"c(""MOs5"", ""MOs6b"", ""MOs6a"", ""MOs1"", ""MOs2/3"")",WT,mPFF,F,pSyn,0.004184559,1.25E-05,0.004172097,0.209392305
IM 93,"c(1021, 767, 1085, 962, 656)",1,left,MOs,"c(""MOs6a"", ""MOs5"", ""MOs6b"", ""MOs2/3"", ""MOs1"")",WT,mPFF,M,pSyn,0.005485976,0.000859619,0.004626357,0.198411347
IM 94,"c(962, 1021, 656, 1085, 767)",1,left,MOs,"c(""MOs2/3"", ""MOs6a"", ""MOs1"", ""MOs6b"", ""MOs5"")",WT,mPFF,M,pSyn,0.007028406,0.001044956,0.00598345,0.601321992
IM 95,"c(962, 1021, 1085, 767, 656)",1,left,MOs,"c(""MOs2/3"", ""MOs6a"", ""MOs6b"", ""MOs5"", ""MOs1"")",WT,mPFF,M,pSyn,0.002850337,0.000200656,0.002649682,0.21613161
IM 96,"c(1085, 962, 767, 656, 1021)",1,left,MOs,"c(""MOs6b"", ""MOs2/3"", ""MOs5"", ""MOs1"", ""MOs6a"")",WT,mPFF,M,pSyn,0.00154817,0,0.00154817,0
IM 89,93,1,left,moV,moV,WT,mPFF,F,pSyn,0.031280736,0,0.031280736,0
IM 90,93,1,left,moV,moV,WT,mPFF,F,pSyn,0,0,0,0
IM 91,93,1,left,moV,moV,WT,mPFF,F,pSyn,0,0,0,0
IM 92,93,1,left,moV,moV,WT,mPFF,F,pSyn,0,0,0,0
IM 93,93,1,left,moV,moV,WT,mPFF,M,pSyn,0,0,0,0
IM 95,93,1,left,moV,moV,WT,mPFF,M,pSyn,0,0,0,0
IM 96,93,1,left,moV,moV,WT,mPFF,M,pSyn,0,0,0,0
IM 89,673,1,left,mp,mp,WT,mPFF,F,pSyn,0,0,0,0
IM 90,673,1,left,mp,mp,WT,mPFF,F,pSyn,0.103190327,0.098890721,0.004299606,30.10289656
IM 91,673,1,left,mp,mp,WT,mPFF,F,pSyn,0,0,0,0
IM 92,673,1,left,mp,mp,WT,mPFF,F,pSyn,0,0,0,0
IM 93,673,1,left,mp,mp,WT,mPFF,M,pSyn,0,0,0,0
IM 94,673,1,left,mp,mp,WT,mPFF,M,pSyn,0,0,0,0
IM 95,673,1,left,mp,mp,WT,mPFF,M,pSyn,0,0,0,0
IM 96,673,1,left,mp,mp,WT,mPFF,M,pSyn,0,0,0,0
IM 89,531,1,left,MPT,MPT,WT,mPFF,F,pSyn,0,0,0,0
IM 91,531,1,left,MPT,MPT,WT,mPFF,F,pSyn,0,0,0,0
IM 92,531,1,left,MPT,MPT,WT,mPFF,F,pSyn,0,0,0,0
IM 93,531,1,left,MPT,MPT,WT,mPFF,M,pSyn,0,0,0,0
IM 94,531,1,left,MPT,MPT,WT,mPFF,M,pSyn,0,0,0,0
IM 95,531,1,left,MPT,MPT,WT,mPFF,M,pSyn,0,0,0,0
IM 96,531,1,left,MPT,MPT,WT,mPFF,M,pSyn,0,0,0,0
IM 89,128,1,left,MRN,MRN,WT,mPFF,F,pSyn,9.19E-05,0,9.19E-05,0
IM 90,128,1,left,MRN,MRN,WT,mPFF,F,pSyn,0.000142352,0,0.000142352,0
IM 91,128,1,left,MRN,MRN,WT,mPFF,F,pSyn,0.000693805,0,0.000693805,0
IM 92,128,1,left,MRN,MRN,WT,mPFF,F,pSyn,3.61E-05,0,3.61E-05,0
IM 93,128,1,left,MRN,MRN,WT,mPFF,M,pSyn,0.000131542,0,0.000131542,0
IM 94,128,1,left,MRN,MRN,WT,mPFF,M,pSyn,0.001136839,0,0.001136839,0
IM 95,128,1,left,MRN,MRN,WT,mPFF,M,pSyn,4.76E-05,0,4.76E-05,0
IM 96,128,1,left,MRN,MRN,WT,mPFF,M,pSyn,0.00062849,0,0.00062849,0
IM 89,564,1,left,MS,MS,WT,mPFF,F,pSyn,0,0,0,0
IM 90,564,1,left,MS,MS,WT,mPFF,F,pSyn,0.00010752,0,0.00010752,0
IM 91,564,1,left,MS,MS,WT,mPFF,F,pSyn,0,0,0,0
IM 92,564,1,left,MS,MS,WT,mPFF,F,pSyn,0,0,0,0
IM 93,564,1,left,MS,MS,WT,mPFF,M,pSyn,0,0,0,0
IM 94,564,1,left,MS,MS,WT,mPFF,M,pSyn,0,0,0,0
IM 95,564,1,left,MS,MS,WT,mPFF,M,pSyn,0,0,0,0
IM 96,564,1,left,MS,MS,WT,mPFF,M,pSyn,0,0,0,0
IM 90,58,1,left,MT,MT,WT,mPFF,F,pSyn,0,0,0,0
IM 91,58,1,left,MT,MT,WT,mPFF,F,pSyn,0,0,0,0
IM 92,58,1,left,MT,MT,WT,mPFF,F,pSyn,0,0,0,0
IM 94,58,1,left,MT,MT,WT,mPFF,M,pSyn,0,0,0,0
IM 95,58,1,left,MT,MT,WT,mPFF,M,pSyn,0,0,0,0
IM 96,58,1,left,MT,MT,WT,mPFF,M,pSyn,0,0,0,0
IM 89,681,1,left,mtg,mtg,WT,mPFF,F,pSyn,0.001277739,0,0.001277739,0
IM 90,681,1,left,mtg,mtg,WT,mPFF,F,pSyn,0,0,0,0
IM 91,681,1,left,mtg,mtg,WT,mPFF,F,pSyn,0,0,0,0
IM 92,681,1,left,mtg,mtg,WT,mPFF,F,pSyn,0,0,0,0
IM 93,681,1,left,mtg,mtg,WT,mPFF,M,pSyn,0,0,0,0
IM 94,681,1,left,mtg,mtg,WT,mPFF,M,pSyn,0,0,0,0
IM 95,681,1,left,mtg,mtg,WT,mPFF,M,pSyn,0,0,0,0
IM 96,681,1,left,mtg,mtg,WT,mPFF,M,pSyn,0,0,0,0
IM 89,690,1,left,mtt,mtt,WT,mPFF,F,pSyn,0,0,0,0
IM 90,690,1,left,mtt,mtt,WT,mPFF,F,pSyn,0,0,0,0
IM 91,690,1,left,mtt,mtt,WT,mPFF,F,pSyn,0,0,0,0
IM 92,690,1,left,mtt,mtt,WT,mPFF,F,pSyn,0,0,0,0
IM 93,690,1,left,mtt,mtt,WT,mPFF,M,pSyn,0,0,0,0
IM 94,690,1,left,mtt,mtt,WT,mPFF,M,pSyn,0,0,0,0
IM 95,690,1,left,mtt,mtt,WT,mPFF,M,pSyn,0,0,0,0
IM 96,690,1,left,mtt,mtt,WT,mPFF,M,pSyn,0,0,0,0
IM 89,354,1,left,MY,MY,WT,mPFF,F,pSyn,0,0,0,0
IM 89,997,1,left,None,None,WT,mPFF,F,pSyn,0,0,0,0
IM 90,997,1,left,None,None,WT,mPFF,F,pSyn,0.000187719,0,0.000187719,0
IM 91,997,1,left,None,None,WT,mPFF,F,pSyn,1.75E-05,0,1.75E-05,0
IM 92,997,1,left,None,None,WT,mPFF,F,pSyn,7.69E-06,0,7.69E-06,0
IM 93,997,1,left,None,None,WT,mPFF,M,pSyn,6.13E-05,0,6.13E-05,0
IM 94,997,1,left,None,None,WT,mPFF,M,pSyn,0,0,0,0
IM 95,997,1,left,None,None,WT,mPFF,M,pSyn,0.000688023,0,0.000688023,0
IM 96,997,1,left,None,None,WT,mPFF,M,pSyn,0,0,0,0
IM 89,587,1,left,ND,ND,WT,mPFF,F,pSyn,0,0,0,0
IM 90,587,1,left,ND,ND,WT,mPFF,F,pSyn,0.000425792,0,0.000425792,0
IM 91,587,1,left,ND,ND,WT,mPFF,F,pSyn,0,0,0,0
IM 92,587,1,left,ND,ND,WT,mPFF,F,pSyn,0,0,0,0
IM 93,587,1,left,ND,ND,WT,mPFF,M,pSyn,0,0,0,0
IM 94,587,1,left,ND,ND,WT,mPFF,M,pSyn,0,0,0,0
IM 95,587,1,left,ND,ND,WT,mPFF,M,pSyn,0,0,0,0
IM 96,587,1,left,ND,ND,WT,mPFF,M,pSyn,0,0,0,0
IM 89,596,1,left,NDB,NDB,WT,mPFF,F,pSyn,6.51E-05,0,6.51E-05,0
IM 90,596,1,left,NDB,NDB,WT,mPFF,F,pSyn,0,0,0,0
IM 91,596,1,left,NDB,NDB,WT,mPFF,F,pSyn,0,0,0,0
IM 92,596,1,left,NDB,NDB,WT,mPFF,F,pSyn,0,0,0,0
IM 93,596,1,left,NDB,NDB,WT,mPFF,M,pSyn,0.000146463,0,0.000146463,0
IM 94,596,1,left,NDB,NDB,WT,mPFF,M,pSyn,0,0,0,0
IM 95,596,1,left,NDB,NDB,WT,mPFF,M,pSyn,0,0,0,0
IM 96,596,1,left,NDB,NDB,WT,mPFF,M,pSyn,0,0,0,0
IM 89,612,1,left,NLL,NLL,WT,mPFF,F,pSyn,0.000134033,0,0.000134033,0
IM 90,612,1,left,NLL,NLL,WT,mPFF,F,pSyn,0,0,0,0
IM 91,612,1,left,NLL,NLL,WT,mPFF,F,pSyn,0,0,0,0
IM 92,612,1,left,NLL,NLL,WT,mPFF,F,pSyn,0,0,0,0
IM 93,612,1,left,NLL,NLL,WT,mPFF,M,pSyn,0.000188032,0,0.000188032,0
IM 95,612,1,left,NLL,NLL,WT,mPFF,M,pSyn,0,0,0,0
IM 96,612,1,left,NLL,NLL,WT,mPFF,M,pSyn,0,0,0,0
IM 89,628,1,left,NOT,NOT,WT,mPFF,F,pSyn,0,0,0,0
IM 90,628,1,left,NOT,NOT,WT,mPFF,F,pSyn,0,0,0,0
IM 91,628,1,left,NOT,NOT,WT,mPFF,F,pSyn,0,0,0,0
IM 92,628,1,left,NOT,NOT,WT,mPFF,F,pSyn,0.000257842,0,0.000257842,0
IM 93,628,1,left,NOT,NOT,WT,mPFF,M,pSyn,0,0,0,0
IM 94,628,1,left,NOT,NOT,WT,mPFF,M,pSyn,0,0,0,0
IM 95,628,1,left,NOT,NOT,WT,mPFF,M,pSyn,0,0,0,0
IM 96,628,1,left,NOT,NOT,WT,mPFF,M,pSyn,0,0,0,0
IM 89,634,1,left,NPC,NPC,WT,mPFF,F,pSyn,0.00018823,0,0.00018823,0
IM 91,634,1,left,NPC,NPC,WT,mPFF,F,pSyn,0,0,0,0
IM 92,634,1,left,NPC,NPC,WT,mPFF,F,pSyn,0,0,0,0
IM 93,634,1,left,NPC,NPC,WT,mPFF,M,pSyn,0,0,0,0
IM 94,634,1,left,NPC,NPC,WT,mPFF,M,pSyn,0.000111074,0,0.000111074,0
IM 95,634,1,left,NPC,NPC,WT,mPFF,M,pSyn,0.000533007,0,0.000533007,0
