mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total % Area,Inclusion % Area,Neurite % Area,Incl per mm^2
IM333,982,0.1,left,FC,FC,WT,mPFF,F,pSyn,0,0,0,0
IM337,982,0.1,left,FC,FC,WT,mPFF,M,pSyn,0,0,0,0
IM340,982,0.1,left,FC,FC,WT,mPFF,F,pSyn,0,0,0,0
IM340,804,0.1,left,FF,FF,WT,mPFF,F,pSyn,0,0,0,0
IM330,603,0.1,left,fi,fi,WT,mPFF,M,pSyn,0,0,0,0
IM333,603,0.1,left,fi,fi,WT,mPFF,F,pSyn,0,0,0,0
IM337,603,0.1,left,fi,fi,WT,mPFF,M,pSyn,0,0,0,0
IM340,603,0.1,left,fi,fi,WT,mPFF,F,pSyn,0,0,0,0
IM330,1009,0.1,left,fiber tracts,fiber tracts,WT,mPFF,M,pSyn,0,0,0,0
IM333,1009,0.1,left,fiber tracts,fiber tracts,WT,mPFF,F,pSyn,0,0,0,0
IM337,1009,0.1,left,fiber tracts,fiber tracts,WT,mPFF,M,pSyn,0.000115237,0,0.000115237,0
IM340,1009,0.1,left,fiber tracts,fiber tracts,WT,mPFF,F,pSyn,0.001128009,0,0.001128009,0
IM330,595,0.1,left,fr,fr,WT,mPFF,M,pSyn,0,0,0,0
IM333,595,0.1,left,fr,fr,WT,mPFF,F,pSyn,0,0,0,0
IM337,595,0.1,left,fr,fr,WT,mPFF,M,pSyn,0,0,0,0
IM340,595,0.1,left,fr,fr,WT,mPFF,F,pSyn,0,0,0,0
IM330,526157196,0.1,left,FRP,FRP6a,WT,mPFF,M,pSyn,0,0,0,0
IM333,526157196,0.1,left,FRP,FRP6a,WT,mPFF,F,pSyn,0,0,0,0
IM337,526157196,0.1,left,FRP,FRP6a,WT,mPFF,M,pSyn,0,0,0,0
IM340,526157196,0.1,left,FRP,FRP6a,WT,mPFF,F,pSyn,0,0,0,0
IM330,436,0.1,left,fx,fx,WT,mPFF,M,pSyn,0,0,0,0
IM333,436,0.1,left,fx,fx,WT,mPFF,F,pSyn,0,0,0,0
IM337,436,0.1,left,fx,fx,WT,mPFF,M,pSyn,0,0,0,0
IM340,436,0.1,left,fx,fx,WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(638, 36, 662, 180, 148, 187)",0.1,left,GU,"c(""GU6a"", ""GU1"", ""GU6b"", ""GU2/3"", ""GU4"", ""GU5"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(187, 36, 662, 148, 638, 180)",0.1,left,GU,"c(""GU5"", ""GU1"", ""GU6b"", ""GU4"", ""GU6a"", ""GU2/3"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(187, 36, 148, 638, 180, 662)",0.1,left,GU,"c(""GU5"", ""GU1"", ""GU4"", ""GU6a"", ""GU2/3"", ""GU6b"")",WT,mPFF,M,pSyn,0.000136661,0,0.000136661,0
IM340,"c(148, 36, 180, 638, 662, 187)",0.1,left,GU,"c(""GU4"", ""GU1"", ""GU2/3"", ""GU6a"", ""GU6b"", ""GU5"")",WT,mPFF,F,pSyn,0,0,0,0
IM333,589508447,0.1,left,HATA,HATA,WT,mPFF,F,pSyn,0,0,0,0
IM337,589508447,0.1,left,HATA,HATA,WT,mPFF,M,pSyn,0,0,0,0
IM340,589508447,0.1,left,HATA,HATA,WT,mPFF,F,pSyn,0,0,0,0
IM330,611,0.1,left,hbc,hbc,WT,mPFF,M,pSyn,0,0,0,0
IM333,611,0.1,left,hbc,hbc,WT,mPFF,F,pSyn,0,0,0,0
IM337,611,0.1,left,hbc,hbc,WT,mPFF,M,pSyn,0,0,0,0
IM340,611,0.1,left,hbc,hbc,WT,mPFF,F,pSyn,0,0,0,0
IM330,1089,0.1,left,HPF,HPF,WT,mPFF,M,pSyn,0,0,0,0
IM333,1089,0.1,left,HPF,HPF,WT,mPFF,F,pSyn,4.02E-05,0,4.02E-05,0
IM337,1089,0.1,left,HPF,HPF,WT,mPFF,M,pSyn,0,0,0,0
IM340,1089,0.1,left,HPF,HPF,WT,mPFF,F,pSyn,0,0,0,0
IM330,1097,0.1,left,HY,HY,WT,mPFF,M,pSyn,0,0,0,0
IM333,1097,0.1,left,HY,HY,WT,mPFF,F,pSyn,0,0,0,0
IM337,1097,0.1,left,HY,HY,WT,mPFF,M,pSyn,0,0,0,0
IM340,1097,0.1,left,HY,HY,WT,mPFF,F,pSyn,3.22E-05,0,3.22E-05,0
IM330,1105,0.1,left,IA,IA,WT,mPFF,M,pSyn,0,0,0,0
IM333,1105,0.1,left,IA,IA,WT,mPFF,F,pSyn,0,0,0,0
IM337,1105,0.1,left,IA,IA,WT,mPFF,M,pSyn,0,0,0,0
IM340,1105,0.1,left,IA,IA,WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(820, 828)",0.1,left,IC,"c(""ICd"", ""ICe"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,828,0.1,left,IC,ICe,WT,mPFF,F,pSyn,0,0,0,0
IM337,828,0.1,left,IC,ICe,WT,mPFF,M,pSyn,0,0,0,0
IM340,828,0.1,left,IC,ICe,WT,mPFF,F,pSyn,0,0,0,0
IM333,12,0.1,left,IF,IF,WT,mPFF,F,pSyn,0,0,0,0
IM337,12,0.1,left,IF,IF,WT,mPFF,M,pSyn,0,0,0,0
IM340,12,0.1,left,IF,IF,WT,mPFF,F,pSyn,0,0,0,0
IM330,19,0.1,left,IG,IG,WT,mPFF,M,pSyn,0,0,0,0
IM333,19,0.1,left,IG,IG,WT,mPFF,F,pSyn,0,0,0,0
IM337,19,0.1,left,IG,IG,WT,mPFF,M,pSyn,0,0,0,0
IM340,19,0.1,left,IG,IG,WT,mPFF,F,pSyn,0,0,0,0
IM333,27,0.1,left,IGL,IGL,WT,mPFF,F,pSyn,0,0,0,0
IM337,27,0.1,left,IGL,IGL,WT,mPFF,M,pSyn,0,0,0,0
IM340,27,0.1,left,IGL,IGL,WT,mPFF,F,pSyn,0,0,0,0
IM340,35,0.1,left,III,III,WT,mPFF,F,pSyn,0,0,0,0
IM337,848,0.1,left,IIn,IIn,WT,mPFF,M,pSyn,0,0,0,0
IM340,848,0.1,left,IIn,IIn,WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(1054, 827, 556, 707)",0.1,left,ILA,"c(""ILA6a"", ""ILA5"", ""ILA2/3"", ""ILA1"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(1054, 707, 827, 556)",0.1,left,ILA,"c(""ILA6a"", ""ILA1"", ""ILA5"", ""ILA2/3"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(827, 556, 707)",0.1,left,ILA,"c(""ILA5"", ""ILA2/3"", ""ILA1"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(1054, 707, 556, 827)",0.1,left,ILA,"c(""ILA6a"", ""ILA1"", ""ILA2/3"", ""ILA5"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,59,0.1,left,IMD,IMD,WT,mPFF,M,pSyn,0,0,0,0
IM333,59,0.1,left,IMD,IMD,WT,mPFF,F,pSyn,0,0,0,0
IM337,59,0.1,left,IMD,IMD,WT,mPFF,M,pSyn,0,0,0,0
IM340,59,0.1,left,IMD,IMD,WT,mPFF,F,pSyn,0,0,0,0
IM330,900,0.1,left,In,aco,WT,mPFF,M,pSyn,0,0,0,0
IM333,900,0.1,left,In,aco,WT,mPFF,F,pSyn,0,0,0,0
IM337,900,0.1,left,In,aco,WT,mPFF,M,pSyn,0,0,0,0
IM340,900,0.1,left,In,aco,WT,mPFF,F,pSyn,0,0,0,0
IM333,67,0.1,left,INC,INC,WT,mPFF,F,pSyn,0,0,0,0
IM337,67,0.1,left,INC,INC,WT,mPFF,M,pSyn,0,0,0,0
IM340,67,0.1,left,INC,INC,WT,mPFF,F,pSyn,0,0,0,0
IM330,6,0.1,left,int,int,WT,mPFF,M,pSyn,0,0,0,0
IM333,6,0.1,left,int,int,WT,mPFF,F,pSyn,0,0,0,0
IM337,6,0.1,left,int,int,WT,mPFF,M,pSyn,0,0,0,0
IM340,6,0.1,left,int,int,WT,mPFF,F,pSyn,0,0,0,0
IM333,"c(607344858, 607344834, 607344862)",0.1,left,IPN,"c(""IPDL"", ""IPR"", ""IPRL"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(607344834, 607344862)",0.1,left,IPN,"c(""IPR"", ""IPRL"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(607344834, 100, 607344862)",0.1,left,IPN,"c(""IPR"", ""IPN"", ""IPRL"")",WT,mPFF,F,pSyn,0,0,0,0
IM333,115,0.1,left,IV,IV,WT,mPFF,F,pSyn,0,0,0,0
IM330,911,0.1,left,IVn,IVn,WT,mPFF,M,pSyn,0,0,0,0
IM330,131,0.1,left,LA,LA,WT,mPFF,M,pSyn,0,0,0,0
IM333,131,0.1,left,LA,LA,WT,mPFF,F,pSyn,0,0,0,0
IM337,131,0.1,left,LA,LA,WT,mPFF,M,pSyn,0,0,0,0
IM340,131,0.1,left,LA,LA,WT,mPFF,F,pSyn,0,0,0,0
IM330,155,0.1,left,LD,LD,WT,mPFF,M,pSyn,0,0,0,0
IM333,155,0.1,left,LD,LD,WT,mPFF,F,pSyn,0,0,0,0
IM337,155,0.1,left,LD,LD,WT,mPFF,M,pSyn,1.43E-05,0,1.43E-05,0
IM340,155,0.1,left,LD,LD,WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(496345672, 496345664, 496345668)",0.1,left,LGd,"c(""LGd-ip"", ""LGd-sh"", ""LGd-co"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(496345672, 496345664, 496345668)",0.1,left,LGd,"c(""LGd-ip"", ""LGd-sh"", ""LGd-co"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(496345664, 496345672, 496345668)",0.1,left,LGd,"c(""LGd-sh"", ""LGd-ip"", ""LGd-co"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(496345668, 496345664, 496345672)",0.1,left,LGd,"c(""LGd-co"", ""LGd-sh"", ""LGd-ip"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,178,0.1,left,LGv,LGv,WT,mPFF,M,pSyn,0,0,0,0
IM333,178,0.1,left,LGv,LGv,WT,mPFF,F,pSyn,0,0,0,0
IM337,178,0.1,left,LGv,LGv,WT,mPFF,M,pSyn,0,0,0,0
IM340,178,0.1,left,LGv,LGv,WT,mPFF,F,pSyn,0,0,0,0
IM330,186,0.1,left,LH,LH,WT,mPFF,M,pSyn,0,0,0,0
IM333,186,0.1,left,LH,LH,WT,mPFF,F,pSyn,0,0,0,0
IM337,186,0.1,left,LH,LH,WT,mPFF,M,pSyn,0,0,0,0
IM340,186,0.1,left,LH,LH,WT,mPFF,F,pSyn,0,0,0,0
IM330,194,0.1,left,LHA,LHA,WT,mPFF,M,pSyn,0,0,0,0
IM333,194,0.1,left,LHA,LHA,WT,mPFF,F,pSyn,0,0,0,0
IM337,194,0.1,left,LHA,LHA,WT,mPFF,M,pSyn,0,0,0,0
IM340,194,0.1,left,LHA,LHA,WT,mPFF,F,pSyn,0,0,0,0
IM330,658,0.1,left,ll,ll,WT,mPFF,M,pSyn,0,0,0,0
IM333,658,0.1,left,ll,ll,WT,mPFF,F,pSyn,0,0,0,0
IM337,658,0.1,left,ll,ll,WT,mPFF,M,pSyn,0,0,0,0
IM340,658,0.1,left,ll,ll,WT,mPFF,F,pSyn,0,0,0,0
IM337,210,0.1,left,LM,LM,WT,mPFF,M,pSyn,0,0,0,0
IM340,210,0.1,left,LM,LM,WT,mPFF,F,pSyn,0,0,0,0
IM330,665,0.1,left,lotg,lot,WT,mPFF,M,pSyn,0,0,0,0
IM333,665,0.1,left,lotg,lot,WT,mPFF,F,pSyn,0,0,0,0
IM337,665,0.1,left,lotg,lot,WT,mPFF,M,pSyn,0,0,0,0
IM340,665,0.1,left,lotg,lot,WT,mPFF,F,pSyn,0,0,0,0
IM330,218,0.1,left,LP,LP,WT,mPFF,M,pSyn,0,0,0,0
IM333,218,0.1,left,LP,LP,WT,mPFF,F,pSyn,0,0,0,0
IM337,218,0.1,left,LP,LP,WT,mPFF,M,pSyn,0,0,0,0
IM340,218,0.1,left,LP,LP,WT,mPFF,F,pSyn,0,0,0,0
IM340,226,0.1,left,LPO,LPO,WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(266, 258)",0.1,left,LS,"c(""LSv"", ""LSr"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(266, 258)",0.1,left,LS,"c(""LSv"", ""LSr"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(266, 258)",0.1,left,LS,"c(""LSv"", ""LSr"")",WT,mPFF,M,pSyn,2.08E-05,0,2.08E-05,0
IM340,"c(258, 266)",0.1,left,LS,"c(""LSr"", ""LSv"")",WT,mPFF,F,pSyn,0,0,0,0
IM333,66,0.1,left,LT,LT,WT,mPFF,F,pSyn,0,0,0,0
IM337,66,0.1,left,LT,LT,WT,mPFF,M,pSyn,0,0,0,0
IM340,66,0.1,left,LT,LT,WT,mPFF,F,pSyn,0,0,0,0
IM333,549009211,0.1,left,MA3,MA3,WT,mPFF,F,pSyn,0,0,0,0
IM337,549009211,0.1,left,MA3,MA3,WT,mPFF,M,pSyn,0,0,0,0
IM340,549009211,0.1,left,MA3,MA3,WT,mPFF,F,pSyn,0,0,0,0
IM330,313,0.1,left,MB,MB,WT,mPFF,M,pSyn,0,0,0,0
IM333,313,0.1,left,MB,MB,WT,mPFF,F,pSyn,0,0,0,0
IM337,313,0.1,left,MB,MB,WT,mPFF,M,pSyn,0,0,0,0
IM340,313,0.1,left,MB,MB,WT,mPFF,F,pSyn,6.97E-06,0,6.97E-06,0
IM333,381,0.1,left,MBmot,SNr,WT,mPFF,F,pSyn,0,0,0,0
IM337,381,0.1,left,MBmot,SNr,WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(381, 246)",0.1,left,MBmot,"c(""SNr"", ""RR"")",WT,mPFF,F,pSyn,0,0,0,0
IM333,374,0.1,left,MBsta,SNc,WT,mPFF,F,pSyn,0,0,0,0
IM337,374,0.1,left,MBsta,SNc,WT,mPFF,M,pSyn,0,0,0,0
IM340,374,0.1,left,MBsta,SNc,WT,mPFF,F,pSyn,0,0,0,0
IM330,78,0.1,left,mcp,mcp,WT,mPFF,M,pSyn,2.00E-05,0,2.00E-05,0
IM333,78,0.1,left,mcp,mcp,WT,mPFF,F,pSyn,0,0,0,0
IM337,78,0.1,left,mcp,mcp,WT,mPFF,M,pSyn,0,0,0,0
IM340,78,0.1,left,mcp,mcp,WT,mPFF,F,pSyn,0,0,0,0
IM330,362,0.1,left,MD,MD,WT,mPFF,M,pSyn,0,0,0,0
IM333,362,0.1,left,MD,MD,WT,mPFF,F,pSyn,0,0,0,0
IM337,362,0.1,left,MD,MD,WT,mPFF,M,pSyn,0,0,0,0
IM340,362,0.1,left,MD,MD,WT,mPFF,F,pSyn,0,0,0,0
IM330,10671,0.1,left,ME,ME,WT,mPFF,M,pSyn,0,0,0,0
IM333,10671,0.1,left,ME,ME,WT,mPFF,F,pSyn,0,0,0,0
IM337,10671,0.1,left,ME,ME,WT,mPFF,M,pSyn,0,0,0,0
IM340,10671,0.1,left,ME,ME,WT,mPFF,F,pSyn,0,0,0,0
IM330,403,0.1,left,MEA,MEA,WT,mPFF,M,pSyn,0,0,0,0
IM333,403,0.1,left,MEA,MEA,WT,mPFF,F,pSyn,0.000341391,0,0.000341391,0
IM337,403,0.1,left,MEA,MEA,WT,mPFF,M,pSyn,0,0,0,0
IM340,403,0.1,left,MEA,MEA,WT,mPFF,F,pSyn,0,0,0,0
IM330,63,0.1,left,MEZ,PVHd,WT,mPFF,M,pSyn,0,0,0,0
IM333,63,0.1,left,MEZ,PVHd,WT,mPFF,F,pSyn,0,0,0,0
IM337,63,0.1,left,MEZ,PVHd,WT,mPFF,M,pSyn,0,0,0,0
IM340,63,0.1,left,MEZ,PVHd,WT,mPFF,F,pSyn,0,0,0,0
IM340,54,0.1,left,mfb,mfb,WT,mPFF,F,pSyn,0,0,0,0
IM333,"c(1088, 1072, 1079)",0.1,left,MG,"c(""MGm"", ""MGd"", ""MGv"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(1088, 1079, 1072)",0.1,left,MG,"c(""MGm"", ""MGv"", ""MGd"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(1079, 1072, 1088)",0.1,left,MG,"c(""MGv"", ""MGd"", ""MGm"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,483,0.1,left,MH,MH,WT,mPFF,M,pSyn,0,0,0,0
IM333,483,0.1,left,MH,MH,WT,mPFF,F,pSyn,0,0,0,0
IM337,483,0.1,left,MH,MH,WT,mPFF,M,pSyn,0,0,0,0
IM340,483,0.1,left,MH,MH,WT,mPFF,F,pSyn,0,0,0,0
IM330,697,0.1,left,ml,ml,WT,mPFF,M,pSyn,0,0,0,0
IM333,697,0.1,left,ml,ml,WT,mPFF,F,pSyn,0,0,0,0
IM337,697,0.1,left,ml,ml,WT,mPFF,M,pSyn,0,0,0,0
IM340,697,0.1,left,ml,ml,WT,mPFF,F,pSyn,0,0,0,0
IM330,62,0.1,left,mlf,mlf,WT,mPFF,M,pSyn,0,0,0,0
IM333,62,0.1,left,mlf,mlf,WT,mPFF,F,pSyn,0,0,0,0
IM337,62,0.1,left,mlf,mlf,WT,mPFF,M,pSyn,0,0,0,0
IM340,62,0.1,left,mlf,mlf,WT,mPFF,F,pSyn,0,0,0,0
IM333,"c(606826659, 606826647, 606826655, 606826651)",0.1,left,MM,"c(""MMd"", ""MMl"", ""MMp"", ""MMm"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(606826651, 606826659, 606826655, 606826647)",0.1,left,MM,"c(""MMm"", ""MMd"", ""MMp"", ""MMl"")",WT,mPFF,M,pSyn,0.004843993,0,0.004843993,0
IM340,"c(732, 606826651, 606826647, 606826659, 606826655)",0.1,left,MM,"c(""MMme"", ""MMm"", ""MMl"", ""MMd"", ""MMp"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(943, 648, 320, 882, 844)",0.1,left,MOp,"c(""MOp2/3"", ""MOp5"", ""MOp1"", ""MOp6b"", ""MOp6a"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(320, 943, 648, 844, 882)",0.1,left,MOp,"c(""MOp1"", ""MOp2/3"", ""MOp5"", ""MOp6a"", ""MOp6b"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(320, 943, 648, 844, 882)",0.1,left,MOp,"c(""MOp1"", ""MOp2/3"", ""MOp5"", ""MOp6a"", ""MOp6b"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(320, 943, 648, 844, 882)",0.1,left,MOp,"c(""MOp1"", ""MOp2/3"", ""MOp5"", ""MOp6a"", ""MOp6b"")",WT,mPFF,F,pSyn,8.92E-05,0,8.92E-05,0
IM330,"c(767, 656, 1021, 1085, 962)",0.1,left,MOs,"c(""MOs5"", ""MOs1"", ""MOs6a"", ""MOs6b"", ""MOs2/3"")",WT,mPFF,M,pSyn,3.85E-06,0,3.85E-06,0
IM333,"c(1021, 767, 962, 656, 1085)",0.1,left,MOs,"c(""MOs6a"", ""MOs5"", ""MOs2/3"", ""MOs1"", ""MOs6b"")",WT,mPFF,F,pSyn,8.81E-05,0,8.81E-05,0
IM337,"c(656, 962, 767, 1021, 1085)",0.1,left,MOs,"c(""MOs1"", ""MOs2/3"", ""MOs5"", ""MOs6a"", ""MOs6b"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(962, 767, 656, 1021, 1085)",0.1,left,MOs,"c(""MOs2/3"", ""MOs5"", ""MOs1"", ""MOs6a"", ""MOs6b"")",WT,mPFF,F,pSyn,5.76E-05,0,5.76E-05,0
IM330,93,0.1,left,moV,moV,WT,mPFF,M,pSyn,0,0,0,0
IM333,93,0.1,left,moV,moV,WT,mPFF,F,pSyn,0,0,0,0
IM337,93,0.1,left,moV,moV,WT,mPFF,M,pSyn,0,0,0,0
IM340,93,0.1,left,moV,moV,WT,mPFF,F,pSyn,0,0,0,0
IM333,673,0.1,left,mp,mp,WT,mPFF,F,pSyn,0,0,0,0
IM337,673,0.1,left,mp,mp,WT,mPFF,M,pSyn,0,0,0,0
IM340,673,0.1,left,mp,mp,WT,mPFF,F,pSyn,0,0,0,0
IM340,531,0.1,left,MPT,MPT,WT,mPFF,F,pSyn,0,0,0,0
IM330,128,0.1,left,MRN,MRN,WT,mPFF,M,pSyn,0,0,0,0
IM333,128,0.1,left,MRN,MRN,WT,mPFF,F,pSyn,0,0,0,0
IM337,128,0.1,left,MRN,MRN,WT,mPFF,M,pSyn,0,0,0,0
IM340,128,0.1,left,MRN,MRN,WT,mPFF,F,pSyn,0,0,0,0
IM330,564,0.1,left,MS,MS,WT,mPFF,M,pSyn,0,0,0,0
IM333,564,0.1,left,MS,MS,WT,mPFF,F,pSyn,0,0,0,0
IM337,564,0.1,left,MS,MS,WT,mPFF,M,pSyn,0,0,0,0
IM340,564,0.1,left,MS,MS,WT,mPFF,F,pSyn,0,0,0,0
IM333,58,0.1,left,MT,MT,WT,mPFF,F,pSyn,0,0,0,0
IM337,58,0.1,left,MT,MT,WT,mPFF,M,pSyn,0,0,0,0
IM340,58,0.1,left,MT,MT,WT,mPFF,F,pSyn,0,0,0,0
IM330,681,0.1,left,mtg,mtg,WT,mPFF,M,pSyn,0,0,0,0
IM333,681,0.1,left,mtg,mtg,WT,mPFF,F,pSyn,0,0,0,0
IM337,681,0.1,left,mtg,mtg,WT,mPFF,M,pSyn,0,0,0,0
IM340,681,0.1,left,mtg,mtg,WT,mPFF,F,pSyn,0,0,0,0
IM330,690,0.1,left,mtt,mtt,WT,mPFF,M,pSyn,0.052909517,0,0.052909517,0
IM333,690,0.1,left,mtt,mtt,WT,mPFF,F,pSyn,0,0,0,0
IM337,690,0.1,left,mtt,mtt,WT,mPFF,M,pSyn,0,0,0,0
IM340,690,0.1,left,mtt,mtt,WT,mPFF,F,pSyn,0,0,0,0
IM330,354,0.1,left,MY,MY,WT,mPFF,M,pSyn,0,0,0,0
IM333,354,0.1,left,MY,MY,WT,mPFF,F,pSyn,0,0,0,0
IM330,997,0.1,left,None,None,WT,mPFF,M,pSyn,0,0,0,0
IM333,997,0.1,left,None,None,WT,mPFF,F,pSyn,0,0,0,0
IM337,997,0.1,left,None,None,WT,mPFF,M,pSyn,0,0,0,0
IM340,997,0.1,left,None,None,WT,mPFF,F,pSyn,0,0,0,0
IM333,587,0.1,left,ND,ND,WT,mPFF,F,pSyn,0,0,0,0
IM337,587,0.1,left,ND,ND,WT,mPFF,M,pSyn,0,0,0,0
IM340,587,0.1,left,ND,ND,WT,mPFF,F,pSyn,0,0,0,0
IM330,596,0.1,left,NDB,NDB,WT,mPFF,M,pSyn,0,0,0,0
IM333,596,0.1,left,NDB,NDB,WT,mPFF,F,pSyn,0,0,0,0
IM337,596,0.1,left,NDB,NDB,WT,mPFF,M,pSyn,0,0,0,0
IM340,596,0.1,left,NDB,NDB,WT,mPFF,F,pSyn,0,0,0,0
IM330,612,0.1,left,NLL,NLL,WT,mPFF,M,pSyn,0,0,0,0
IM333,612,0.1,left,NLL,NLL,WT,mPFF,F,pSyn,0,0,0,0
IM337,612,0.1,left,NLL,NLL,WT,mPFF,M,pSyn,0,0,0,0
IM340,612,0.1,left,NLL,NLL,WT,mPFF,F,pSyn,0,0,0,0
IM333,628,0.1,left,NOT,NOT,WT,mPFF,F,pSyn,0,0,0,0
IM337,628,0.1,left,NOT,NOT,WT,mPFF,M,pSyn,0,0,0,0
IM340,628,0.1,left,NOT,NOT,WT,mPFF,F,pSyn,0,0,0,0
IM333,634,0.1,left,NPC,NPC,WT,mPFF,F,pSyn,0,0,0,0
IM337,634,0.1,left,NPC,NPC,WT,mPFF,M,pSyn,0,0,0,0
IM340,634,0.1,left,NPC,NPC,WT,mPFF,F,pSyn,0,0,0,0
IM330,102,0.1,left,nst,nst,WT,mPFF,M,pSyn,0,0,0,0
IM333,102,0.1,left,nst,nst,WT,mPFF,F,pSyn,0,0,0,0
IM337,102,0.1,left,nst,nst,WT,mPFF,M,pSyn,0,0,0,0
IM340,102,0.1,left,nst,nst,WT,mPFF,F,pSyn,0,0,0,0
IM330,642,0.1,left,NTB,NTB,WT,mPFF,M,pSyn,0,0,0,0
IM330,698,0.1,left,OLF,OLF,WT,mPFF,M,pSyn,0,0,0,0
IM333,698,0.1,left,OLF,OLF,WT,mPFF,F,pSyn,0,0,0,0
IM337,698,0.1,left,OLF,OLF,WT,mPFF,M,pSyn,0,0,0,0
IM340,698,0.1,left,OLF,OLF,WT,mPFF,F,pSyn,0,0,0,0
IM330,125,0.1,left,opt,opt,WT,mPFF,M,pSyn,0,0,0,0
IM333,125,0.1,left,opt,opt,WT,mPFF,F,pSyn,0,0,0,0
IM337,125,0.1,left,opt,opt,WT,mPFF,M,pSyn,0,0,0,0
IM340,125,0.1,left,opt,opt,WT,mPFF,F,pSyn,0,0,0,0
IM330,484682520,0.1,left,or,or,WT,mPFF,M,pSyn,0,0,0,0
IM333,484682520,0.1,left,or,or,WT,mPFF,F,pSyn,0,0,0,0
IM337,484682520,0.1,left,or,or,WT,mPFF,M,pSyn,0.002002923,0,0.002002923,0
IM340,484682520,0.1,left,or,or,WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(448, 412, 440, 630)",0.1,left,ORBl,"c(""ORBl1"", ""ORBl2/3"", ""ORBl6a"", ""ORBl5"")",WT,mPFF,M,pSyn,4.30E-05,0,4.30E-05,0
IM333,"c(412, 630, 448, 440)",0.1,left,ORBl,"c(""ORBl2/3"", ""ORBl5"", ""ORBl1"", ""ORBl6a"")",WT,mPFF,F,pSyn,3.20E-05,0,3.20E-05,0
IM337,"c(448, 412, 440, 630)",0.1,left,ORBl,"c(""ORBl1"", ""ORBl2/3"", ""ORBl6a"", ""ORBl5"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(440, 630, 412, 448)",0.1,left,ORBl,"c(""ORBl6a"", ""ORBl5"", ""ORBl2/3"", ""ORBl1"")",WT,mPFF,F,pSyn,0.001176087,0,0.001176087,0
IM330,"c(620, 582, 484, 910)",0.1,left,ORBm,"c(""ORBm5"", ""ORBm2/3"", ""ORBm1"", ""ORBm6a"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(620, 910, 484, 582)",0.1,left,ORBm,"c(""ORBm5"", ""ORBm6a"", ""ORBm1"", ""ORBm2/3"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(582, 484, 620, 910)",0.1,left,ORBm,"c(""ORBm2/3"", ""ORBm1"", ""ORBm5"", ""ORBm6a"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(484, 582, 910, 620)",0.1,left,ORBm,"c(""ORBm1"", ""ORBm2/3"", ""ORBm6a"", ""ORBm5"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(969, 288, 608, 1125)",0.1,left,ORBvl,"c(""ORBvl1"", ""ORBvl2/3"", ""ORBvl6a"", ""ORBvl5"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(288, 1125, 608)",0.1,left,ORBvl,"c(""ORBvl2/3"", ""ORBvl5"", ""ORBvl6a"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(1125, 969, 288, 608)",0.1,left,ORBvl,"c(""ORBvl5"", ""ORBvl1"", ""ORBvl2/3"", ""ORBvl6a"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(1125, 608, 288)",0.1,left,ORBvl,"c(""ORBvl5"", ""ORBvl6a"", ""ORBvl2/3"")",WT,mPFF,F,pSyn,0,0,0,0
