mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total Pathology % Area ,Inclusion Pathology % Area,Neurite Pathology % Area,Inclusion Count per mm^2 (log10)
IM 135,"c(862, 1090, 806, 893, 873, 1035)",0.5,right,SSs,"c(""SSs6a"", ""SSs5"", ""SSs2/3"", ""SSs6b"", ""SSs1"", ""SSs4"")",WT,mPFF,F,pSyn,0.00713404,0,0.00713404,0
IM 136,"c(862, 1035, 806, 873, 893, 1090)",0.5,right,SSs,"c(""SSs6a"", ""SSs4"", ""SSs2/3"", ""SSs1"", ""SSs6b"", ""SSs5"")",WT,mPFF,F,pSyn,0.009253832,0,0.009253832,0
IM 137,"c(873, 862, 1090, 1035, 806, 893)",0.5,right,SSs,"c(""SSs1"", ""SSs6a"", ""SSs5"", ""SSs4"", ""SSs2/3"", ""SSs6b"")",WT,mPFF,M,pSyn,0.007848738,0,0.007848738,0
IM 138,"c(1035, 893, 806, 1090, 862, 873)",0.5,right,SSs,"c(""SSs4"", ""SSs6b"", ""SSs2/3"", ""SSs5"", ""SSs6a"", ""SSs1"")",WT,mPFF,M,pSyn,0.015038159,0,0.015038159,0
IM 139,"c(893, 1035, 1090, 873, 862, 806)",0.5,right,SSs,"c(""SSs6b"", ""SSs4"", ""SSs5"", ""SSs1"", ""SSs6a"", ""SSs2/3"")",WT,mPFF,M,pSyn,0.006817178,0,0.006817178,0
IM 140,"c(893, 806, 873, 1035, 862, 1090)",0.5,right,SSs,"c(""SSs6b"", ""SSs2/3"", ""SSs1"", ""SSs4"", ""SSs6a"", ""SSs5"")",WT,mPFF,M,pSyn,0.009272761,0,0.009272761,0
IM 133,301,0.5,right,st,st,WT,mPFF,F,pSyn,0.259655376,0,0.259655376,0
IM 134,301,0.5,right,st,st,WT,mPFF,F,pSyn,0.208833873,0,0.208833873,0
IM 135,301,0.5,right,st,st,WT,mPFF,F,pSyn,0.090697269,0,0.090697269,0
IM 136,301,0.5,right,st,st,WT,mPFF,F,pSyn,0.0549319,0,0.0549319,0
IM 137,301,0.5,right,st,st,WT,mPFF,M,pSyn,0.115698248,0,0.115698248,0
IM 138,301,0.5,right,st,st,WT,mPFF,M,pSyn,0.053374416,0,0.053374416,0
IM 139,301,0.5,right,st,st,WT,mPFF,M,pSyn,0.079643698,0,0.079643698,0
IM 140,301,0.5,right,st,st,WT,mPFF,M,pSyn,0.152837414,0,0.152837414,0
IM 133,484682528,0.5,right,stc,stc,WT,mPFF,F,pSyn,0.005656963,0,0.005656963,0
IM 134,484682528,0.5,right,stc,stc,WT,mPFF,F,pSyn,0.015068714,0,0.015068714,0
IM 135,484682528,0.5,right,stc,stc,WT,mPFF,F,pSyn,0,0,0,0
IM 136,484682528,0.5,right,stc,stc,WT,mPFF,F,pSyn,0,0,0,0
IM 137,484682528,0.5,right,stc,stc,WT,mPFF,M,pSyn,0.008563243,0,0.008563243,0
IM 138,484682528,0.5,right,stc,stc,WT,mPFF,M,pSyn,0.003169726,0,0.003169726,0
IM 139,484682528,0.5,right,stc,stc,WT,mPFF,M,pSyn,0.005245693,0,0.005245693,0
IM 140,484682528,0.5,right,stc,stc,WT,mPFF,M,pSyn,0,0,0,0
IM 133,470,0.5,right,STN,STN,WT,mPFF,F,pSyn,0.00423208,0,0.00423208,0
IM 134,470,0.5,right,STN,STN,WT,mPFF,F,pSyn,0.006704977,0,0.006704977,0
IM 135,470,0.5,right,STN,STN,WT,mPFF,F,pSyn,0,0,0,0
IM 136,470,0.5,right,STN,STN,WT,mPFF,F,pSyn,0.001608307,0,0.001608307,0
IM 137,470,0.5,right,STN,STN,WT,mPFF,M,pSyn,0.006154808,0,0.006154808,0
IM 138,470,0.5,right,STN,STN,WT,mPFF,M,pSyn,0.003864703,0,0.003864703,0
IM 139,470,0.5,right,STN,STN,WT,mPFF,M,pSyn,0.000197752,0,0.000197752,0
IM 140,470,0.5,right,STN,STN,WT,mPFF,M,pSyn,0.003565675,0,0.003565675,0
IM 133,477,0.5,right,STR,STR,WT,mPFF,F,pSyn,0.028757247,0,0.028757247,0
IM 134,477,0.5,right,STR,STR,WT,mPFF,F,pSyn,0.050153076,0,0.050153076,0
IM 135,477,0.5,right,STR,STR,WT,mPFF,F,pSyn,0.016952342,0,0.016952342,0
IM 136,477,0.5,right,STR,STR,WT,mPFF,F,pSyn,0.016921707,0,0.016921707,0
IM 137,477,0.5,right,STR,STR,WT,mPFF,M,pSyn,0.030569057,0,0.030569057,0
IM 138,477,0.5,right,STR,STR,WT,mPFF,M,pSyn,0.039655352,0,0.039655352,0
IM 139,477,0.5,right,STR,STR,WT,mPFF,M,pSyn,0.039635076,0,0.039635076,0
IM 140,477,0.5,right,STR,STR,WT,mPFF,M,pSyn,0.047847319,0,0.047847319,0
IM 133,614454277,0.5,right,Su3,Su3,WT,mPFF,F,pSyn,0,0,0,0
IM 134,614454277,0.5,right,Su3,Su3,WT,mPFF,F,pSyn,0,0,0,0
IM 137,614454277,0.5,right,Su3,Su3,WT,mPFF,M,pSyn,0,0,0,0
IM 138,614454277,0.5,right,Su3,Su3,WT,mPFF,M,pSyn,0,0,0,0
IM 133,502,0.5,right,SUB,SUB,WT,mPFF,F,pSyn,0.001026577,0,0.001026577,0
IM 134,502,0.5,right,SUB,SUB,WT,mPFF,F,pSyn,0.010369107,0.008131053,0.002238054,4.058247217
IM 135,502,0.5,right,SUB,SUB,WT,mPFF,F,pSyn,0.000299363,0,0.000299363,0
IM 136,502,0.5,right,SUB,SUB,WT,mPFF,F,pSyn,0.000386111,0,0.000386111,0
IM 137,502,0.5,right,SUB,SUB,WT,mPFF,M,pSyn,0,0,0,0
IM 138,502,0.5,right,SUB,SUB,WT,mPFF,M,pSyn,0.00086862,0,0.00086862,0
IM 139,502,0.5,right,SUB,SUB,WT,mPFF,M,pSyn,0,0,0,0
IM 140,502,0.5,right,SUB,SUB,WT,mPFF,M,pSyn,0.002595147,0,0.002595147,0
IM 134,321,0.5,right,SubG,SubG,WT,mPFF,F,pSyn,0,0,0,0
IM 133,525,0.5,right,SUM,SUM,WT,mPFF,F,pSyn,0.01259651,0,0.01259651,0
IM 134,525,0.5,right,SUM,SUM,WT,mPFF,F,pSyn,0.00209647,0,0.00209647,0
IM 135,525,0.5,right,SUM,SUM,WT,mPFF,F,pSyn,0.00088073,0,0.00088073,0
IM 136,525,0.5,right,SUM,SUM,WT,mPFF,F,pSyn,0,0,0,0
IM 137,525,0.5,right,SUM,SUM,WT,mPFF,M,pSyn,0.000132664,0,0.000132664,0
IM 138,525,0.5,right,SUM,SUM,WT,mPFF,M,pSyn,0.000390124,0,0.000390124,0
IM 139,525,0.5,right,SUM,SUM,WT,mPFF,M,pSyn,0,0,0,0
IM 140,525,0.5,right,SUM,SUM,WT,mPFF,M,pSyn,0,0,0,0
IM 133,349,0.5,right,sup,sup,WT,mPFF,F,pSyn,0,0,0,0
IM 134,349,0.5,right,sup,sup,WT,mPFF,F,pSyn,0,0,0,0
IM 135,349,0.5,right,sup,sup,WT,mPFF,F,pSyn,0,0,0,0
IM 136,349,0.5,right,sup,sup,WT,mPFF,F,pSyn,0,0,0,0
IM 137,349,0.5,right,sup,sup,WT,mPFF,M,pSyn,0,0,0,0
IM 138,349,0.5,right,sup,sup,WT,mPFF,M,pSyn,0,0,0,0
IM 139,349,0.5,right,sup,sup,WT,mPFF,M,pSyn,0,0,0,0
IM 140,349,0.5,right,sup,sup,WT,mPFF,M,pSyn,0.029575635,0,0.029575635,0
IM 133,229,0.5,right,sV,sV,WT,mPFF,F,pSyn,0,0,0,0
IM 134,229,0.5,right,sV,sV,WT,mPFF,F,pSyn,0,0,0,0
IM 135,229,0.5,right,sV,sV,WT,mPFF,F,pSyn,0,0,0,0
IM 136,229,0.5,right,sV,sV,WT,mPFF,F,pSyn,0,0,0,0
IM 137,229,0.5,right,sV,sV,WT,mPFF,M,pSyn,0,0,0,0
IM 138,229,0.5,right,sV,sV,WT,mPFF,M,pSyn,0,0,0,0
IM 139,229,0.5,right,sV,sV,WT,mPFF,M,pSyn,0,0,0,0
IM 140,229,0.5,right,sV,sV,WT,mPFF,M,pSyn,0,0,0,0
IM 133,"c(234, 97, 1127, 729, 786, 289)",0.5,right,TEa,"c(""TEa4"", ""TEa1"", ""TEa2/3"", ""TEa6a"", ""TEa6b"", ""TEa5"")",WT,mPFF,F,pSyn,0.013455821,0,0.013455821,0
IM 134,"c(234, 97, 729, 289, 786, 1127)",0.5,right,TEa,"c(""TEa4"", ""TEa1"", ""TEa6a"", ""TEa5"", ""TEa6b"", ""TEa2/3"")",WT,mPFF,F,pSyn,0.009372028,0,0.009372028,0
IM 135,"c(1127, 234, 289, 97, 729, 786)",0.5,right,TEa,"c(""TEa2/3"", ""TEa4"", ""TEa5"", ""TEa1"", ""TEa6a"", ""TEa6b"")",WT,mPFF,F,pSyn,0.013811554,0.002014185,0.011797369,1.272358727
IM 136,"c(1127, 786, 729, 97, 234, 289)",0.5,right,TEa,"c(""TEa2/3"", ""TEa6b"", ""TEa6a"", ""TEa1"", ""TEa4"", ""TEa5"")",WT,mPFF,F,pSyn,0.014292114,0,0.014292114,0
IM 137,"c(786, 97, 289, 1127, 234, 729)",0.5,right,TEa,"c(""TEa6b"", ""TEa1"", ""TEa5"", ""TEa2/3"", ""TEa4"", ""TEa6a"")",WT,mPFF,M,pSyn,0.02008006,0,0.02008006,0
IM 138,"c(234, 1127, 289, 97, 786, 729)",0.5,right,TEa,"c(""TEa4"", ""TEa2/3"", ""TEa5"", ""TEa1"", ""TEa6b"", ""TEa6a"")",WT,mPFF,M,pSyn,0.029607579,0,0.029607579,0
IM 139,"c(786, 289, 1127, 729, 97, 234)",0.5,right,TEa,"c(""TEa6b"", ""TEa5"", ""TEa2/3"", ""TEa6a"", ""TEa1"", ""TEa4"")",WT,mPFF,M,pSyn,0.01885275,0,0.01885275,0
IM 140,"c(1127, 97, 786, 729, 289, 234)",0.5,right,TEa,"c(""TEa2/3"", ""TEa1"", ""TEa6b"", ""TEa6a"", ""TEa5"", ""TEa4"")",WT,mPFF,M,pSyn,0.021245679,0,0.021245679,0
IM 133,549,0.5,right,TH,TH,WT,mPFF,F,pSyn,0.001062376,0,0.001062376,0
IM 134,549,0.5,right,TH,TH,WT,mPFF,F,pSyn,0.002708222,0,0.002708222,0
IM 135,549,0.5,right,TH,TH,WT,mPFF,F,pSyn,0.000109608,0,0.000109608,0
IM 136,549,0.5,right,TH,TH,WT,mPFF,F,pSyn,0.001995908,0,0.001995908,0
IM 137,549,0.5,right,TH,TH,WT,mPFF,M,pSyn,0.000389873,0,0.000389873,0
IM 138,549,0.5,right,TH,TH,WT,mPFF,M,pSyn,0.000332309,0,0.000332309,0
IM 139,549,0.5,right,TH,TH,WT,mPFF,M,pSyn,0.002329533,0,0.002329533,0
IM 140,549,0.5,right,TH,TH,WT,mPFF,M,pSyn,0.011307923,0,0.011307923,0
IM 133,1126,0.5,right,TM,TMd,WT,mPFF,F,pSyn,0,0,0,0
IM 134,"c(1, 1126)",0.5,right,TM,"c(""TMv"", ""TMd"")",WT,mPFF,F,pSyn,0,0,0,0
IM 135,1,0.5,right,TM,TMv,WT,mPFF,F,pSyn,0.005508396,0,0.005508396,0
IM 136,1,0.5,right,TM,TMv,WT,mPFF,F,pSyn,0.000828107,0,0.000828107,0
IM 137,"c(1, 1126)",0.5,right,TM,"c(""TMv"", ""TMd"")",WT,mPFF,M,pSyn,0,0,0,0
IM 138,1,0.5,right,TM,TMv,WT,mPFF,M,pSyn,0,0,0,0
IM 139,1,0.5,right,TM,TMv,WT,mPFF,M,pSyn,0.002111847,0,0.002111847,0
IM 133,566,0.5,right,TR,TR,WT,mPFF,F,pSyn,0.09594857,0.077132829,0.018815743,19.63754328
IM 135,566,0.5,right,TR,TR,WT,mPFF,F,pSyn,0.06829424,0.027269424,0.041024816,6.758309287
IM 136,566,0.5,right,TR,TR,WT,mPFF,F,pSyn,0.009298392,0,0.009298392,0
IM 138,566,0.5,right,TR,TR,WT,mPFF,M,pSyn,0.070967404,0,0.070967404,0
IM 139,566,0.5,right,TR,TR,WT,mPFF,M,pSyn,0.009988161,0,0.009988161,0
IM 140,566,0.5,right,TR,TR,WT,mPFF,M,pSyn,0.09705738,0,0.09705738,0
IM 133,574,0.5,right,TRN,TRN,WT,mPFF,F,pSyn,0,0,0,0
IM 134,574,0.5,right,TRN,TRN,WT,mPFF,F,pSyn,0,0,0,0
IM 135,574,0.5,right,TRN,TRN,WT,mPFF,F,pSyn,0,0,0,0
IM 136,574,0.5,right,TRN,TRN,WT,mPFF,F,pSyn,0,0,0,0
IM 137,574,0.5,right,TRN,TRN,WT,mPFF,M,pSyn,0,0,0,0
IM 138,574,0.5,right,TRN,TRN,WT,mPFF,M,pSyn,0,0,0,0
IM 139,574,0.5,right,TRN,TRN,WT,mPFF,M,pSyn,0.00062648,0,0.00062648,0
IM 140,574,0.5,right,TRN,TRN,WT,mPFF,M,pSyn,0.000204073,0,0.000204073,0
IM 133,1043,0.5,right,tspc,tspc,WT,mPFF,F,pSyn,0.000443471,0,0.000443471,0
IM 134,1043,0.5,right,tspc,tspc,WT,mPFF,F,pSyn,0,0,0,0
IM 135,1043,0.5,right,tspc,tspc,WT,mPFF,F,pSyn,0.002965641,0,0.002965641,0
IM 136,1043,0.5,right,tspc,tspc,WT,mPFF,F,pSyn,0,0,0,0
IM 137,1043,0.5,right,tspc,tspc,WT,mPFF,M,pSyn,0.000262844,0,0.000262844,0
IM 138,1043,0.5,right,tspc,tspc,WT,mPFF,M,pSyn,0.001182199,0,0.001182199,0
IM 139,1043,0.5,right,tspc,tspc,WT,mPFF,M,pSyn,0,0,0,0
IM 140,1043,0.5,right,tspc,tspc,WT,mPFF,M,pSyn,0.00228279,0,0.00228279,0
IM 133,"c(597, 605)",0.5,right,TT,"c(""TTd"", ""TTv"")",WT,mPFF,F,pSyn,0.001622453,0,0.001622453,0
IM 134,"c(597, 605)",0.5,right,TT,"c(""TTd"", ""TTv"")",WT,mPFF,F,pSyn,0.002582464,0,0.002582464,0
IM 135,"c(597, 605)",0.5,right,TT,"c(""TTd"", ""TTv"")",WT,mPFF,F,pSyn,0.002698385,0,0.002698385,0
IM 136,"c(605, 597)",0.5,right,TT,"c(""TTv"", ""TTd"")",WT,mPFF,F,pSyn,0.000229925,0,0.000229925,0
IM 137,"c(605, 597)",0.5,right,TT,"c(""TTv"", ""TTd"")",WT,mPFF,M,pSyn,0.001238689,0,0.001238689,0
IM 138,"c(605, 597)",0.5,right,TT,"c(""TTv"", ""TTd"")",WT,mPFF,M,pSyn,0.003479832,0,0.003479832,0
IM 139,"c(597, 605)",0.5,right,TT,"c(""TTd"", ""TTv"")",WT,mPFF,M,pSyn,0.000980061,0,0.000980061,0
IM 140,"c(597, 605)",0.5,right,TT,"c(""TTd"", ""TTv"")",WT,mPFF,M,pSyn,0.002819727,0,0.002819727,0
IM 133,614,0.5,right,TU,TU,WT,mPFF,F,pSyn,0,0,0,0
IM 134,614,0.5,right,TU,TU,WT,mPFF,F,pSyn,0.018707866,0,0.018707866,0
IM 135,614,0.5,right,TU,TU,WT,mPFF,F,pSyn,0.000427466,0,0.000427466,0
IM 136,614,0.5,right,TU,TU,WT,mPFF,F,pSyn,0,0,0,0
IM 137,614,0.5,right,TU,TU,WT,mPFF,M,pSyn,0.000283625,0,0.000283625,0
IM 138,614,0.5,right,TU,TU,WT,mPFF,M,pSyn,0.00050942,0,0.00050942,0
IM 139,614,0.5,right,TU,TU,WT,mPFF,M,pSyn,0.001000052,0,0.001000052,0
IM 140,614,0.5,right,TU,TU,WT,mPFF,M,pSyn,0.000548774,0,0.000548774,0
IM 133,629,0.5,right,VAL,VAL,WT,mPFF,F,pSyn,0.018463404,0,0.018463404,0
IM 134,629,0.5,right,VAL,VAL,WT,mPFF,F,pSyn,0.011848177,0,0.011848177,0
IM 135,629,0.5,right,VAL,VAL,WT,mPFF,F,pSyn,0.000505127,0,0.000505127,0
IM 136,629,0.5,right,VAL,VAL,WT,mPFF,F,pSyn,0.004930972,0,0.004930972,0
IM 137,629,0.5,right,VAL,VAL,WT,mPFF,M,pSyn,0.011953373,0,0.011953373,0
IM 138,629,0.5,right,VAL,VAL,WT,mPFF,M,pSyn,0.003114117,0,0.003114117,0
IM 139,629,0.5,right,VAL,VAL,WT,mPFF,M,pSyn,0.032270021,0,0.032270021,0
IM 140,629,0.5,right,VAL,VAL,WT,mPFF,M,pSyn,0.024204426,0,0.024204426,0
IM 133,"c(312782554, 312782558, 312782562, 312782570, 312782566, 312782550)",0.5,right,VISa,"c(""VISa2/3"", ""VISa4"", ""VISa5"", ""VISa6b"", ""VISa6a"", ""VISa1"")",WT,mPFF,F,pSyn,0.00543581,0,0.00543581,0
IM 134,"c(312782570, 312782566, 312782562, 312782550, 312782558, 312782554)",0.5,right,VISa,"c(""VISa6b"", ""VISa6a"", ""VISa5"", ""VISa1"", ""VISa4"", ""VISa2/3"")",WT,mPFF,F,pSyn,0.002877699,0,0.002877699,0
IM 135,"c(312782550, 312782554, 312782570, 312782558, 312782566, 312782562)",0.5,right,VISa,"c(""VISa1"", ""VISa2/3"", ""VISa6b"", ""VISa4"", ""VISa6a"", ""VISa5"")",WT,mPFF,F,pSyn,0.007218376,0,0.007218376,0
IM 136,"c(312782558, 312782550, 312782554, 312782566, 312782570, 312782562)",0.5,right,VISa,"c(""VISa4"", ""VISa1"", ""VISa2/3"", ""VISa6a"", ""VISa6b"", ""VISa5"")",WT,mPFF,F,pSyn,0.003059108,0,0.003059108,0
IM 137,"c(312782550, 312782562, 312782558, 312782570, 312782566, 312782554)",0.5,right,VISa,"c(""VISa1"", ""VISa5"", ""VISa4"", ""VISa6b"", ""VISa6a"", ""VISa2/3"")",WT,mPFF,M,pSyn,0.015856094,0,0.015856094,0
IM 138,"c(312782562, 312782550, 312782570, 312782554, 312782566, 312782558)",0.5,right,VISa,"c(""VISa5"", ""VISa1"", ""VISa6b"", ""VISa2/3"", ""VISa6a"", ""VISa4"")",WT,mPFF,M,pSyn,0.010756828,0,0.010756828,0
IM 139,"c(312782554, 312782562, 312782550, 312782570, 312782566, 312782558)",0.5,right,VISa,"c(""VISa2/3"", ""VISa5"", ""VISa1"", ""VISa6b"", ""VISa6a"", ""VISa4"")",WT,mPFF,M,pSyn,0.01506819,0,0.01506819,0
IM 140,"c(312782570, 312782550, 312782562, 312782558, 312782554, 312782566)",0.5,right,VISa,"c(""VISa6b"", ""VISa1"", ""VISa5"", ""VISa4"", ""VISa2/3"", ""VISa6a"")",WT,mPFF,M,pSyn,0.006955991,0,0.006955991,0
IM 133,"c(233, 1074, 649, 905, 1114, 601)",0.5,right,VISal,"c(""VISal5"", ""VISal1"", ""VISal6b"", ""VISal2/3"", ""VISal4"", ""VISal6a"")",WT,mPFF,F,pSyn,0.002386286,0,0.002386286,0
IM 134,"c(601, 649, 1074, 905, 233, 1114)",0.5,right,VISal,"c(""VISal6a"", ""VISal6b"", ""VISal1"", ""VISal2/3"", ""VISal5"", ""VISal4"")",WT,mPFF,F,pSyn,0.001357729,0,0.001357729,0
IM 135,"c(905, 1074)",0.5,right,VISal,"c(""VISal2/3"", ""VISal1"")",WT,mPFF,F,pSyn,0,0,0,0
IM 136,"c(1074, 905, 649, 1114, 601, 233)",0.5,right,VISal,"c(""VISal1"", ""VISal2/3"", ""VISal6b"", ""VISal4"", ""VISal6a"", ""VISal5"")",WT,mPFF,F,pSyn,0.004659704,0,0.004659704,0
IM 137,"c(601, 649, 233, 905, 1114, 1074)",0.5,right,VISal,"c(""VISal6a"", ""VISal6b"", ""VISal5"", ""VISal2/3"", ""VISal4"", ""VISal1"")",WT,mPFF,M,pSyn,0.005746974,0,0.005746974,0
IM 138,"c(1114, 649, 601, 905, 233, 1074)",0.5,right,VISal,"c(""VISal4"", ""VISal6b"", ""VISal6a"", ""VISal2/3"", ""VISal5"", ""VISal1"")",WT,mPFF,M,pSyn,0.004053235,0,0.004053235,0
IM 139,"c(233, 649, 905, 1114, 1074, 601)",0.5,right,VISal,"c(""VISal5"", ""VISal6b"", ""VISal2/3"", ""VISal4"", ""VISal1"", ""VISal6a"")",WT,mPFF,M,pSyn,0.003151168,0,0.003151168,0
IM 133,"c(1046, 433, 281, 441, 401, 1066)",0.5,right,VISam,"c(""VISam6a"", ""VISam5"", ""VISam1"", ""VISam6b"", ""VISam4"", ""VISam2/3"")",WT,mPFF,F,pSyn,0.001932966,0,0.001932966,0
IM 134,"c(1066, 281, 441, 401, 433, 1046)",0.5,right,VISam,"c(""VISam2/3"", ""VISam1"", ""VISam6b"", ""VISam4"", ""VISam5"", ""VISam6a"")",WT,mPFF,F,pSyn,0.001287536,0,0.001287536,0
IM 135,"c(1046, 1066, 281, 433, 401, 441)",0.5,right,VISam,"c(""VISam6a"", ""VISam2/3"", ""VISam1"", ""VISam5"", ""VISam4"", ""VISam6b"")",WT,mPFF,F,pSyn,0.010231045,0,0.010231045,0
IM 136,"c(1046, 1066, 433, 401, 441, 281)",0.5,right,VISam,"c(""VISam6a"", ""VISam2/3"", ""VISam5"", ""VISam4"", ""VISam6b"", ""VISam1"")",WT,mPFF,F,pSyn,0.002404604,0,0.002404604,0
IM 137,"c(433, 1046, 441, 1066, 281, 401)",0.5,right,VISam,"c(""VISam5"", ""VISam6a"", ""VISam6b"", ""VISam2/3"", ""VISam1"", ""VISam4"")",WT,mPFF,M,pSyn,0.010163326,0,0.010163326,0
IM 138,"c(1046, 441, 433, 401, 1066, 281)",0.5,right,VISam,"c(""VISam6a"", ""VISam6b"", ""VISam5"", ""VISam4"", ""VISam2/3"", ""VISam1"")",WT,mPFF,M,pSyn,0.010641996,0,0.010641996,0
IM 139,"c(1046, 401, 433, 441, 281, 1066)",0.5,right,VISam,"c(""VISam6a"", ""VISam4"", ""VISam5"", ""VISam6b"", ""VISam1"", ""VISam2/3"")",WT,mPFF,M,pSyn,0.018224482,0,0.018224482,0
IM 140,"c(281, 1066, 433, 441, 401, 1046)",0.5,right,VISam,"c(""VISam1"", ""VISam2/3"", ""VISam5"", ""VISam6b"", ""VISam4"", ""VISam6a"")",WT,mPFF,M,pSyn,0.003923787,0,0.003923787,0
IM 133,"c(1106, 897, 849, 857, 1010, 1058)",0.5,right,VISC,"c(""VISC2/3"", ""VISC1"", ""VISC6b"", ""VISC6a"", ""VISC4"", ""VISC5"")",WT,mPFF,F,pSyn,0.01943576,0,0.01943576,0
IM 134,"c(1106, 897, 1010, 857, 1058, 849)",0.5,right,VISC,"c(""VISC2/3"", ""VISC1"", ""VISC4"", ""VISC6a"", ""VISC5"", ""VISC6b"")",WT,mPFF,F,pSyn,0.005605074,0,0.005605074,0
IM 135,"c(1058, 849, 1010, 1106, 857, 897)",0.5,right,VISC,"c(""VISC5"", ""VISC6b"", ""VISC4"", ""VISC2/3"", ""VISC6a"", ""VISC1"")",WT,mPFF,F,pSyn,0.005198812,0,0.005198812,0
IM 136,"c(1010, 849, 897, 1106, 1058, 857)",0.5,right,VISC,"c(""VISC4"", ""VISC6b"", ""VISC1"", ""VISC2/3"", ""VISC5"", ""VISC6a"")",WT,mPFF,F,pSyn,0.004069486,0,0.004069486,0
IM 137,"c(1010, 849, 857, 1058, 897, 1106)",0.5,right,VISC,"c(""VISC4"", ""VISC6b"", ""VISC6a"", ""VISC5"", ""VISC1"", ""VISC2/3"")",WT,mPFF,M,pSyn,0.005252056,0,0.005252056,0
IM 138,"c(897, 1010, 857, 1058, 1106, 849)",0.5,right,VISC,"c(""VISC1"", ""VISC4"", ""VISC6a"", ""VISC5"", ""VISC2/3"", ""VISC6b"")",WT,mPFF,M,pSyn,0.026445748,0,0.026445748,0
IM 139,"c(897, 1058, 849, 1106, 857, 1010)",0.5,right,VISC,"c(""VISC1"", ""VISC5"", ""VISC6b"", ""VISC2/3"", ""VISC6a"", ""VISC4"")",WT,mPFF,M,pSyn,0.008759506,0,0.008759506,0
IM 140,"c(849, 857, 1106, 1010, 897, 1058)",0.5,right,VISC,"c(""VISC6b"", ""VISC6a"", ""VISC2/3"", ""VISC4"", ""VISC1"", ""VISC5"")",WT,mPFF,M,pSyn,0.009135719,0,0.009135719,0
IM 133,"c(613, 421, 973, 573, 74)",0.5,right,VISl,"c(""VISl5"", ""VISl1"", ""VISl2/3"", ""VISl4"", ""VISl6a"")",WT,mPFF,F,pSyn,0,0,0,0
IM 134,"c(973, 613, 573, 421, 74, 121)",0.5,right,VISl,"c(""VISl2/3"", ""VISl5"", ""VISl4"", ""VISl1"", ""VISl6a"", ""VISl6b"")",WT,mPFF,F,pSyn,0.00422194,0,0.00422194,0
IM 135,"c(973, 121, 421, 613, 573, 74)",0.5,right,VISl,"c(""VISl2/3"", ""VISl6b"", ""VISl1"", ""VISl5"", ""VISl4"", ""VISl6a"")",WT,mPFF,F,pSyn,0.008826339,0,0.008826339,0
IM 136,"c(421, 973, 573, 613)",0.5,right,VISl,"c(""VISl1"", ""VISl2/3"", ""VISl4"", ""VISl5"")",WT,mPFF,F,pSyn,0.003068283,0,0.003068283,0
IM 137,"c(421, 573, 613, 74, 973, 121)",0.5,right,VISl,"c(""VISl1"", ""VISl4"", ""VISl5"", ""VISl6a"", ""VISl2/3"", ""VISl6b"")",WT,mPFF,M,pSyn,0.001222182,0,0.001222182,0
IM 138,"c(421, 573, 613, 973)",0.5,right,VISl,"c(""VISl1"", ""VISl4"", ""VISl5"", ""VISl2/3"")",WT,mPFF,M,pSyn,0.011814031,0,0.011814031,0
IM 139,"c(973, 573, 421)",0.5,right,VISl,"c(""VISl2/3"", ""VISl4"", ""VISl1"")",WT,mPFF,M,pSyn,0,0,0,0
IM 140,"c(613, 421, 973, 573, 121, 74)",0.5,right,VISl,"c(""VISl5"", ""VISl1"", ""VISl2/3"", ""VISl4"", ""VISl6b"", ""VISl6a"")",WT,mPFF,M,pSyn,0.000593228,0,0.000593228,0
IM 133,"c(312782578, 312782582)",0.5,right,VISli,"c(""VISli1"", ""VISli2/3"")",WT,mPFF,F,pSyn,0,0,0,0
IM 135,"c(312782582, 312782594, 312782590, 312782598, 312782578, 312782586)",0.5,right,VISli,"c(""VISli2/3"", ""VISli6a"", ""VISli5"", ""VISli6b"", ""VISli1"", ""VISli4"")",WT,mPFF,F,pSyn,0.016364544,0,0.016364544,0
IM 136,"c(312782582, 312782578)",0.5,right,VISli,"c(""VISli2/3"", ""VISli1"")",WT,mPFF,F,pSyn,0,0,0,0
IM 140,"c(312782598, 312782594, 312782586, 312782590, 312782578, 312782582)",0.5,right,VISli,"c(""VISli6b"", ""VISli6a"", ""VISli4"", ""VISli5"", ""VISli1"", ""VISli2/3"")",WT,mPFF,M,pSyn,0.000940839,0,0.000940839,0
IM 133,"c(778, 305, 593, 721, 33, 821)",0.5,right,VISp,"c(""VISp5"", ""VISp6b"", ""VISp1"", ""VISp4"", ""VISp6a"", ""VISp2/3"")",WT,mPFF,F,pSyn,0.001800795,0,0.001800795,0
IM 134,"c(778, 721, 821, 593, 33, 305)",0.5,right,VISp,"c(""VISp5"", ""VISp4"", ""VISp2/3"", ""VISp1"", ""VISp6a"", ""VISp6b"")",WT,mPFF,F,pSyn,0.001242892,0.000343657,0.000899236,0.481210993
IM 135,"c(821, 721, 305, 33, 593, 778)",0.5,right,VISp,"c(""VISp2/3"", ""VISp4"", ""VISp6b"", ""VISp6a"", ""VISp1"", ""VISp5"")",WT,mPFF,F,pSyn,0.001066576,0,0.001066576,0
IM 136,"c(778, 33, 721, 593, 821, 305)",0.5,right,VISp,"c(""VISp5"", ""VISp6a"", ""VISp4"", ""VISp1"", ""VISp2/3"", ""VISp6b"")",WT,mPFF,F,pSyn,0.000384419,0,0.000384419,0
