mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total Pathology % Area ,Inclusion Pathology % Area,Neurite Pathology % Area,Inclusion Count per mm^2 (log10)
IM 140,"c(831, 328, 996, 1101, 783)",0.5,left,AId,"c(""AId6b"", ""AId2/3"", ""AId1"", ""AId5"", ""AId6a"")",WT,mPFF,M,pSyn,0.00666303,0.002164061,0.004498969,1.196155789
IM 133,"c(355, 163, 120, 314, 344)",0.5,left,AIp,"c(""AIp6b"", ""AIp2/3"", ""AIp1"", ""AIp6a"", ""AIp5"")",WT,mPFF,F,pSyn,0.018238887,0,0.018238887,0
IM 134,"c(163, 120, 355, 314, 344)",0.5,left,AIp,"c(""AIp2/3"", ""AIp1"", ""AIp6b"", ""AIp6a"", ""AIp5"")",WT,mPFF,F,pSyn,0.004641487,0,0.004641487,0
IM 135,"c(344, 120, 163, 355, 314)",0.5,left,AIp,"c(""AIp5"", ""AIp1"", ""AIp2/3"", ""AIp6b"", ""AIp6a"")",WT,mPFF,F,pSyn,0.002517205,0,0.002517205,0
IM 136,"c(355, 314, 163, 120, 344)",0.5,left,AIp,"c(""AIp6b"", ""AIp6a"", ""AIp2/3"", ""AIp1"", ""AIp5"")",WT,mPFF,F,pSyn,0.023725536,0.010691764,0.013033773,2.138759155
IM 137,"c(355, 344, 163, 120, 314)",0.5,left,AIp,"c(""AIp6b"", ""AIp5"", ""AIp2/3"", ""AIp1"", ""AIp6a"")",WT,mPFF,M,pSyn,0.006202995,0,0.006202995,0
IM 138,"c(163, 355, 344, 120, 314)",0.5,left,AIp,"c(""AIp2/3"", ""AIp6b"", ""AIp5"", ""AIp1"", ""AIp6a"")",WT,mPFF,M,pSyn,0.011724381,0,0.011724381,0
IM 139,"c(163, 344, 120, 355, 314)",0.5,left,AIp,"c(""AIp2/3"", ""AIp5"", ""AIp1"", ""AIp6b"", ""AIp6a"")",WT,mPFF,M,pSyn,0.003520253,0,0.003520253,0
IM 140,"c(344, 163, 120, 314, 355)",0.5,left,AIp,"c(""AIp5"", ""AIp2/3"", ""AIp1"", ""AIp6a"", ""AIp6b"")",WT,mPFF,M,pSyn,0.00365799,0,0.00365799,0
IM 133,"c(704, 800, 675, 694)",0.5,left,AIv,"c(""AIv1"", ""AIv5"", ""AIv6a"", ""AIv2/3"")",WT,mPFF,F,pSyn,0.004583209,0,0.004583209,0
IM 134,"c(704, 694, 800, 675)",0.5,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,F,pSyn,0.001673027,0,0.001673027,0
IM 135,"c(800, 704, 694, 675)",0.5,left,AIv,"c(""AIv5"", ""AIv1"", ""AIv2/3"", ""AIv6a"")",WT,mPFF,F,pSyn,0.001668327,0,0.001668327,0
IM 136,"c(694, 704, 800, 675)",0.5,left,AIv,"c(""AIv2/3"", ""AIv1"", ""AIv5"", ""AIv6a"")",WT,mPFF,F,pSyn,0.020030688,0.017413196,0.002617492,2.314851951
IM 137,"c(800, 704, 675, 694)",0.5,left,AIv,"c(""AIv5"", ""AIv1"", ""AIv6a"", ""AIv2/3"")",WT,mPFF,M,pSyn,0.001684731,0,0.001684731,0
IM 138,"c(675, 704, 800, 694)",0.5,left,AIv,"c(""AIv6a"", ""AIv1"", ""AIv5"", ""AIv2/3"")",WT,mPFF,M,pSyn,0.003238169,0,0.003238169,0
IM 139,"c(675, 694, 800, 704)",0.5,left,AIv,"c(""AIv6a"", ""AIv2/3"", ""AIv5"", ""AIv1"")",WT,mPFF,M,pSyn,0.003838242,0,0.003838242,0
