,mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,forRemove,batch,Region Area,Logged Region Area
1,IM 58,"c(935, 211, 1015, 919, 927)",6,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,F,pSyn,"c(935, 211, 1015, 919, 927)",WT10,60069.67309,4.778655269
2,IM 59,"c(935, 211, 1015, 919)",6,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"")",WT,mPFF,F,pSyn,"c(935, 211, 1015, 919)",WT10,87785.41556,4.943422369
3,IM 60,"c(935, 211, 1015, 919, 927)",6,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,F,pSyn,"c(935, 211, 1015, 919, 927)",WT10,73738.96059,4.867697012
4,IM 61,"c(935, 211, 1015, 919, 927)",6,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,M,pSyn,"c(935, 211, 1015, 919, 927)",WT10,79707.1638,4.901497356
5,IM 62,"c(935, 211, 1015, 919, 927)",6,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,M,pSyn,"c(935, 211, 1015, 919, 927)",WT10,63258.5134,4.801118982
6,IM 63,"c(935, 211, 1015, 919)",6,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"")",WT,mPFF,M,pSyn,"c(935, 211, 1015, 919)",WT10,72385.39293,4.859650936
7,IM 64,"c(935, 211, 1015, 919, 927)",6,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,M,pSyn,"c(935, 211, 1015, 919, 927)",WT10,55113.56337,4.741258491
8,IM57,"c(935, 211, 1015, 919)",6,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"")",WT,mPFF,F,pSyn,"c(935, 211, 1015, 919)",WT10,53412.53042,4.727643153
9,IM 58,"c(588, 296, 772, 810, 819)",6,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,F,pSyn,"c(588, 296, 772, 810, 819)",WT10,61143.9739,4.786353661
10,IM 60,"c(588, 296, 772, 810, 819)",6,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,F,pSyn,"c(588, 296, 772, 810, 819)",WT10,63703.44404,4.804162913
11,IM 61,"c(588, 296, 772, 810, 819)",6,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,M,pSyn,"c(588, 296, 772, 810, 819)",WT10,85804.83453,4.933511758
12,IM 62,"c(588, 296, 772, 810, 819)",6,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,M,pSyn,"c(588, 296, 772, 810, 819)",WT10,61748.53939,4.790626689
13,IM 64,"c(588, 296, 772, 810, 819)",6,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,M,pSyn,"c(588, 296, 772, 810, 819)",WT10,66664.9716,4.823897698
14,IM 60,56,6,left,ACB,ACB,WT,mPFF,F,pSyn,56,WT10,525846.9776,5.720859382
15,IM 61,56,6,left,ACB,ACB,WT,mPFF,M,pSyn,56,WT10,1257466.436,6.099496402
16,IM 62,56,6,left,ACB,ACB,WT,mPFF,M,pSyn,56,WT10,366532.9966,5.564113078
17,IM 64,56,6,left,ACB,ACB,WT,mPFF,M,pSyn,56,WT10,415812.4494,5.618897488
18,IM 58,72,6,left,ADP,ADP,WT,mPFF,F,pSyn,72,WT10,109294.8533,5.038599712
19,IM 60,72,6,left,ADP,ADP,WT,mPFF,F,pSyn,72,WT10,86601.45618,4.937525195
20,IM 62,72,6,left,ADP,ADP,WT,mPFF,M,pSyn,72,WT10,114788.9514,5.059900089
21,IM 64,72,6,left,ADP,ADP,WT,mPFF,M,pSyn,72,WT10,56241.5396,4.750057201
22,IM 58,88,6,left,AHN,AHN,WT,mPFF,F,pSyn,88,WT10,51712.38661,4.713594582
23,IM 59,88,6,left,AHN,AHN,WT,mPFF,F,pSyn,88,WT10,149321.1202,5.174121239
24,IM 60,88,6,left,AHN,AHN,WT,mPFF,F,pSyn,88,WT10,115128.5576,5.061183064
25,IM 61,88,6,left,AHN,AHN,WT,mPFF,M,pSyn,88,WT10,81221.24559,4.909669645
26,IM 62,88,6,left,AHN,AHN,WT,mPFF,M,pSyn,88,WT10,127634.1986,5.105967056
27,IM 63,88,6,left,AHN,AHN,WT,mPFF,M,pSyn,88,WT10,131777.8214,5.119842323
28,IM 64,88,6,left,AHN,AHN,WT,mPFF,M,pSyn,88,WT10,78766.10399,4.896339365
29,IM57,88,6,left,AHN,AHN,WT,mPFF,F,pSyn,88,WT10,99681.48283,4.99861449
30,IM 58,"c(996, 328, 1101, 783)",6,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"")",WT,mPFF,F,pSyn,"c(996, 328, 1101, 783)",WT10,198621.7417,5.298026786
31,IM 59,"c(996, 328, 1101, 783)",6,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"")",WT,mPFF,F,pSyn,"c(996, 328, 1101, 783)",WT10,209899.5615,5.322011531
32,IM 60,"c(996, 328, 1101, 783, 831)",6,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,F,pSyn,"c(996, 328, 1101, 783, 831)",WT10,88237.16016,4.945651522
33,IM 61,"c(996, 328, 1101, 783, 831)",6,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,M,pSyn,"c(996, 328, 1101, 783, 831)",WT10,65263.62231,4.814671175
34,IM 62,"c(996, 328, 1101, 783, 831)",6,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,M,pSyn,"c(996, 328, 1101, 783, 831)",WT10,154429.9726,5.188731594
35,IM 63,"c(996, 328, 1101, 783)",6,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"")",WT,mPFF,M,pSyn,"c(996, 328, 1101, 783)",WT10,188306.904,5.274866243
36,IM 64,"c(996, 328, 1101, 783, 831)",6,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,M,pSyn,"c(996, 328, 1101, 783, 831)",WT10,128961.3058,5.110459422
37,IM57,"c(996, 328, 1101, 783)",6,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"")",WT,mPFF,F,pSyn,"c(996, 328, 1101, 783)",WT10,223650.265,5.349569417
38,IM 58,"c(120, 163, 344, 314, 355)",6,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,F,pSyn,"c(120, 163, 344, 314, 355)",WT10,82930.79805,4.918715845
39,IM 59,"c(120, 163, 344, 314, 355)",6,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,F,pSyn,"c(120, 163, 344, 314, 355)",WT10,57650.88731,4.760805996
40,IM 60,"c(120, 163, 344, 314, 355)",6,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,F,pSyn,"c(120, 163, 344, 314, 355)",WT10,66887.51334,4.825345051
41,IM 61,"c(120, 163, 344, 314, 355)",6,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,M,pSyn,"c(120, 163, 344, 314, 355)",WT10,54499.04872,4.736388922
42,IM 62,"c(120, 163, 344, 314, 355)",6,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,M,pSyn,"c(120, 163, 344, 314, 355)",WT10,75631.1063,4.878700453
