,mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,forRemove,batch,Region Area,Logged Region Area
1,IM 133,"c(935, 211, 1015, 919, 927)",0.5,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,F,pSyn,"c(935, 211, 1015, 919, 927)",None,58203.83771,4.764951621
2,IM 134,"c(935, 211, 1015, 919, 927)",0.5,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,F,pSyn,"c(935, 211, 1015, 919, 927)",None,63098.01821,4.800015719
3,IM 135,"c(935, 211, 1015, 919, 927)",0.5,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,F,pSyn,"c(935, 211, 1015, 919, 927)",None,71641.09377,4.855162208
4,IM 136,"c(935, 211, 1015, 919, 927)",0.5,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,F,pSyn,"c(935, 211, 1015, 919, 927)",None,63576.30514,4.803295285
5,IM 137,"c(935, 211, 1015, 919, 927)",0.5,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,M,pSyn,"c(935, 211, 1015, 919, 927)",None,64493.5318,4.809516161
6,IM 138,"c(935, 211, 1015, 919, 927)",0.5,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,M,pSyn,"c(935, 211, 1015, 919, 927)",None,64934.30012,4.812474164
7,IM 139,"c(935, 211, 1015, 919, 927)",0.5,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,M,pSyn,"c(935, 211, 1015, 919, 927)",None,53945.90993,4.731958523
8,IM 140,"c(935, 211, 1015, 919, 927)",0.5,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,M,pSyn,"c(935, 211, 1015, 919, 927)",None,57336.89862,4.758434198
9,IM 133,"c(588, 296, 772, 810, 819)",0.5,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,F,pSyn,"c(588, 296, 772, 810, 819)",None,73220.13839,4.864630545
10,IM 134,"c(588, 296, 772, 810, 819)",0.5,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,F,pSyn,"c(588, 296, 772, 810, 819)",None,82010.35714,4.913868703
11,IM 135,"c(588, 296, 772, 810, 819)",0.5,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,F,pSyn,"c(588, 296, 772, 810, 819)",None,86424.54487,4.936637101
12,IM 136,"c(588, 296, 772, 810, 819)",0.5,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,F,pSyn,"c(588, 296, 772, 810, 819)",None,81014.70041,4.90856383
13,IM 137,"c(588, 296, 772, 810, 819)",0.5,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,M,pSyn,"c(588, 296, 772, 810, 819)",None,68588.03579,4.836248366
14,IM 138,"c(588, 296, 772, 810, 819)",0.5,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,M,pSyn,"c(588, 296, 772, 810, 819)",None,76589.11093,4.884167028
15,IM 139,"c(588, 296, 772, 810, 819)",0.5,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,M,pSyn,"c(588, 296, 772, 810, 819)",None,67853.98055,4.83157533
16,IM 140,"c(588, 296, 772, 810, 819)",0.5,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,M,pSyn,"c(588, 296, 772, 810, 819)",None,65304.97542,4.81494627
17,IM 133,56,0.5,left,ACB,ACB,WT,mPFF,F,pSyn,56,None,999806.143,5.999915801
18,IM 134,56,0.5,left,ACB,ACB,WT,mPFF,F,pSyn,56,None,1098378.645,6.040752081
19,IM 135,56,0.5,left,ACB,ACB,WT,mPFF,F,pSyn,56,None,1108435.554,6.044710448
20,IM 136,56,0.5,left,ACB,ACB,WT,mPFF,F,pSyn,56,None,990664.9348,5.995926791
21,IM 137,56,0.5,left,ACB,ACB,WT,mPFF,M,pSyn,56,None,823665.4243,5.915750836
22,IM 138,56,0.5,left,ACB,ACB,WT,mPFF,M,pSyn,56,None,980612.8023,5.991497559
23,IM 139,56,0.5,left,ACB,ACB,WT,mPFF,M,pSyn,56,None,974711.3973,5.988876044
24,IM 140,56,0.5,left,ACB,ACB,WT,mPFF,M,pSyn,56,None,841801.7828,5.925209841
25,IM 133,"c(996, 328, 1101, 783, 831)",0.5,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,F,pSyn,"c(996, 328, 1101, 783, 831)",None,85367.71467,4.931293655
26,IM 134,"c(996, 328, 1101, 783, 831)",0.5,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,F,pSyn,"c(996, 328, 1101, 783, 831)",None,96553.19509,4.98476665
27,IM 135,"c(996, 328, 1101, 783, 831)",0.5,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,F,pSyn,"c(996, 328, 1101, 783, 831)",None,101898.4786,5.0081677
28,IM 136,"c(996, 328, 1101, 783, 831)",0.5,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,F,pSyn,"c(996, 328, 1101, 783, 831)",None,96517.28396,4.984605092
29,IM 137,"c(996, 328, 1101, 783, 831)",0.5,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,M,pSyn,"c(996, 328, 1101, 783, 831)",None,106570.5244,5.027637103
30,IM 138,"c(996, 328, 1101, 783, 831)",0.5,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,M,pSyn,"c(996, 328, 1101, 783, 831)",None,93906.72392,4.97269669
31,IM 139,"c(996, 328, 1101, 783, 831)",0.5,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,M,pSyn,"c(996, 328, 1101, 783, 831)",None,101886.84,5.008118093
32,IM 140,"c(996, 328, 1101, 783, 831)",0.5,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,M,pSyn,"c(996, 328, 1101, 783, 831)",None,104501.4385,5.019122269
33,IM 133,"c(120, 163, 344, 314, 355)",0.5,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,F,pSyn,"c(120, 163, 344, 314, 355)",None,54034.3849,4.732670212
34,IM 134,"c(120, 163, 344, 314, 355)",0.5,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,F,pSyn,"c(120, 163, 344, 314, 355)",None,86162.92068,4.935320412
35,IM 135,"c(120, 163, 344, 314, 355)",0.5,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,F,pSyn,"c(120, 163, 344, 314, 355)",None,60681.88795,4.783059084
36,IM 136,"c(120, 163, 344, 314, 355)",0.5,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,F,pSyn,"c(120, 163, 344, 314, 355)",None,66794.40383,4.824740078
37,IM 137,"c(120, 163, 344, 314, 355)",0.5,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,M,pSyn,"c(120, 163, 344, 314, 355)",None,82509.74903,4.916505266
38,IM 138,"c(120, 163, 344, 314, 355)",0.5,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,M,pSyn,"c(120, 163, 344, 314, 355)",None,88118.67059,4.945067937
39,IM 139,"c(120, 163, 344, 314, 355)",0.5,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,M,pSyn,"c(120, 163, 344, 314, 355)",None,73419.2449,4.865809914
40,IM 140,"c(120, 163, 344, 314, 355)",0.5,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,M,pSyn,"c(120, 163, 344, 314, 355)",None,59498.72122,4.774507632
41,IM 133,"c(704, 694, 800, 675)",0.5,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,F,pSyn,"c(704, 694, 800, 675)",None,46003.63933,4.66279219
42,IM 134,"c(704, 694, 800, 675)",0.5,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,F,pSyn,"c(704, 694, 800, 675)",None,52468.31735,4.719897137
43,IM 135,"c(704, 694, 800, 675)",0.5,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,F,pSyn,"c(704, 694, 800, 675)",None,55291.54531,4.742658728
44,IM 136,"c(704, 694, 800, 675)",0.5,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,F,pSyn,"c(704, 694, 800, 675)",None,53999.13388,4.732386794
45,IM 137,"c(704, 694, 800, 675)",0.5,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,M,pSyn,"c(704, 694, 800, 675)",None,58537.96499,4.767437621
46,IM 138,"c(704, 694, 800, 675)",0.5,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,M,pSyn,"c(704, 694, 800, 675)",None,47783.95598,4.679282102
47,IM 139,"c(704, 694, 800, 675)",0.5,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,M,pSyn,"c(704, 694, 800, 675)",None,48287.44855,4.683834259
48,IM 140,"c(704, 694, 800, 675)",0.5,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,M,pSyn,"c(704, 694, 800, 675)",None,57700.43679,4.761179101
49,IM 133,466,0.5,left,alv,alv,WT,mPFF,F,pSyn,466,None,103737.3899,5.015935317
50,IM 134,466,0.5,left,alv,alv,WT,mPFF,F,pSyn,466,None,108242.7493,5.034398814
51,IM 135,466,0.5,left,alv,alv,WT,mPFF,F,pSyn,466,None,142550.0017,5.153967227
52,IM 136,466,0.5,left,alv,alv,WT,mPFF,F,pSyn,466,None,167995.383,5.225297346
53,IM 137,466,0.5,left,alv,alv,WT,mPFF,M,pSyn,466,None,134590.286,5.129013716
54,IM 138,466,0.5,left,alv,alv,WT,mPFF,M,pSyn,466,None,131555.4907,5.119108979
55,IM 139,466,0.5,left,alv,alv,WT,mPFF,M,pSyn,466,None,137040.4128,5.136848658
56,IM 140,466,0.5,left,alv,alv,WT,mPFF,M,pSyn,466,None,126430.075,5.101850396
57,IM 133,884,0.5,left,amc,amc,WT,mPFF,F,pSyn,884,None,36087.05385,4.557351428
58,IM 134,884,0.5,left,amc,amc,WT,mPFF,F,pSyn,884,None,37941.12325,4.579110184
59,IM 135,884,0.5,left,amc,amc,WT,mPFF,F,pSyn,884,None,29954.79832,4.4764664
60,IM 136,884,0.5,left,amc,amc,WT,mPFF,F,pSyn,884,None,36060.41916,4.557030771
61,IM 137,884,0.5,left,amc,amc,WT,mPFF,M,pSyn,884,None,38151.07314,4.581506759
62,IM 138,884,0.5,left,amc,amc,WT,mPFF,M,pSyn,884,None,31155.58535,4.493535915
63,IM 139,884,0.5,left,amc,amc,WT,mPFF,M,pSyn,884,None,39953.32771,4.601552958
64,IM 140,884,0.5,left,amc,amc,WT,mPFF,M,pSyn,884,None,35482.28674,4.550011601
65,IM 133,159,0.5,left,AON,AON,WT,mPFF,F,pSyn,159,None,1114535.534,6.047093919
66,IM 134,159,0.5,left,AON,AON,WT,mPFF,F,pSyn,159,None,1145630.326,6.059044501
67,IM 135,159,0.5,left,AON,AON,WT,mPFF,F,pSyn,159,None,1059305.215,6.02502111
68,IM 136,159,0.5,left,AON,AON,WT,mPFF,F,pSyn,159,None,869547.5463,5.939293334
69,IM 137,159,0.5,left,AON,AON,WT,mPFF,M,pSyn,159,None,967026.2685,5.985438272
70,IM 138,159,0.5,left,AON,AON,WT,mPFF,M,pSyn,159,None,967339.3154,5.985578839
71,IM 139,159,0.5,left,AON,AON,WT,mPFF,M,pSyn,159,None,887313.6096,5.948077143
72,IM 140,159,0.5,left,AON,AON,WT,mPFF,M,pSyn,159,None,1085831.498,6.035762436
73,IM 133,215,0.5,left,APN,APN,WT,mPFF,F,pSyn,215,None,363553.6186,5.560568472
74,IM 134,215,0.5,left,APN,APN,WT,mPFF,F,pSyn,215,None,475060.4187,5.676748847
