,mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,forRemove,batch,Region Area,Logged Region Area
1,IM330,"c(935, 211, 1015, 919, 927)",0.1,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,M,pSyn,"c(935, 211, 1015, 919, 927)",None,73430.57912,4.865876953
2,IM333,"c(935, 211, 1015, 919, 927)",0.1,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,F,pSyn,"c(935, 211, 1015, 919, 927)",None,78137.40294,4.892858973
3,IM337,"c(935, 211, 1015, 919, 927)",0.1,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,M,pSyn,"c(935, 211, 1015, 919, 927)",None,65108.57658,4.813638201
4,IM340,"c(935, 211, 1015, 919, 927)",0.1,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,F,pSyn,"c(935, 211, 1015, 919, 927)",None,78811.51218,4.896589661
5,IM330,"c(588, 296, 772, 810, 819)",0.1,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,M,pSyn,"c(588, 296, 772, 810, 819)",None,83885.72695,4.923688072
6,IM333,"c(588, 296, 772, 810, 819)",0.1,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,F,pSyn,"c(588, 296, 772, 810, 819)",None,85334.8353,4.931126355
7,IM337,"c(588, 296, 772, 810, 819)",0.1,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,M,pSyn,"c(588, 296, 772, 810, 819)",None,76418.63762,4.883199291
8,IM340,"c(588, 296, 772, 810, 819)",0.1,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,F,pSyn,"c(588, 296, 772, 810, 819)",None,86198.01332,4.935497256
9,IM330,56,0.1,left,ACB,ACB,WT,mPFF,M,pSyn,56,None,1252861.889,6.097903199
10,IM333,56,0.1,left,ACB,ACB,WT,mPFF,F,pSyn,56,None,1266887.586,6.102738081
11,IM337,56,0.1,left,ACB,ACB,WT,mPFF,M,pSyn,56,None,990367.1382,5.995796221
12,IM340,56,0.1,left,ACB,ACB,WT,mPFF,F,pSyn,56,None,911352.7107,5.95968649
13,IM330,88,0.1,left,AHN,AHN,WT,mPFF,M,pSyn,88,None,102954.3861,5.012644853
14,IM333,88,0.1,left,AHN,AHN,WT,mPFF,F,pSyn,88,None,69519.90068,4.842109143
15,IM340,88,0.1,left,AHN,AHN,WT,mPFF,F,pSyn,88,None,39003.53849,4.591104009
16,IM330,"c(996, 328, 1101, 783, 831)",0.1,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,M,pSyn,"c(996, 328, 1101, 783, 831)",None,116635.0105,5.066828933
17,IM333,"c(996, 328, 1101, 783, 831)",0.1,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,F,pSyn,"c(996, 328, 1101, 783, 831)",None,101409.4874,5.006078588
18,IM337,"c(996, 328, 1101, 783, 831)",0.1,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,M,pSyn,"c(996, 328, 1101, 783, 831)",None,96781.19135,4.985790964
19,IM340,"c(996, 328, 1101, 783, 831)",0.1,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,F,pSyn,"c(996, 328, 1101, 783, 831)",None,119164.8841,5.076148295
