,mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,forRemove,batch,Region Area,Logged Region Area
1,IM 332,"c(935, 211, 1015, 919, 927)",0.3,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,M,pSyn,"c(935, 211, 1015, 919, 927)",None,62338.57113,4.794756844
2,IM 335,"c(935, 211, 1015, 919, 927)",0.3,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,F,pSyn,"c(935, 211, 1015, 919, 927)",None,76275.56756,4.882385448
3,IM 339,"c(935, 211, 1015, 919, 927)",0.3,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,M,pSyn,"c(935, 211, 1015, 919, 927)",None,70495.32198,4.848160299
4,IM 342,"c(935, 211, 1015, 919, 927)",0.3,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,F,pSyn,"c(935, 211, 1015, 919, 927)",None,71564.53404,4.854697848
5,IM 332,"c(588, 296, 772, 810, 819)",0.3,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,M,pSyn,"c(588, 296, 772, 810, 819)",None,77836.85675,4.89118529
6,IM 335,"c(588, 296, 772, 810, 819)",0.3,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,F,pSyn,"c(588, 296, 772, 810, 819)",None,85955.97838,4.934276088
7,IM 339,"c(588, 296, 772, 810, 819)",0.3,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,M,pSyn,"c(588, 296, 772, 810, 819)",None,78498.19471,4.894859669
8,IM 342,"c(588, 296, 772, 810, 819)",0.3,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,F,pSyn,"c(588, 296, 772, 810, 819)",None,78135.21599,4.892846817
9,IM 332,56,0.3,left,ACB,ACB,WT,mPFF,M,pSyn,56,None,1025158.996,6.010791227
10,IM 335,56,0.3,left,ACB,ACB,WT,mPFF,F,pSyn,56,None,844638.6689,5.92667096
11,IM 339,56,0.3,left,ACB,ACB,WT,mPFF,M,pSyn,56,None,1093864.163,6.038963394
12,IM 342,56,0.3,left,ACB,ACB,WT,mPFF,F,pSyn,56,None,1062292.786,6.026244232
13,IM 335,88,0.3,left,AHN,AHN,WT,mPFF,F,pSyn,88,None,70700.0142,4.849419501
14,IM 339,88,0.3,left,AHN,AHN,WT,mPFF,M,pSyn,88,None,49313.32673,4.692964302
15,IM 342,88,0.3,left,AHN,AHN,WT,mPFF,F,pSyn,88,None,108700.253,5.036230555
16,IM 332,"c(996, 328, 1101, 783, 831)",0.3,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,M,pSyn,"c(996, 328, 1101, 783, 831)",None,115247.3743,5.06163104
17,IM 335,"c(996, 328, 1101, 783, 831)",0.3,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,F,pSyn,"c(996, 328, 1101, 783, 831)",None,110079.0326,5.041704604
18,IM 339,"c(996, 328, 1101, 783, 831)",0.3,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,M,pSyn,"c(996, 328, 1101, 783, 831)",None,113116.4062,5.053525599
19,IM 342,"c(996, 328, 1101, 783, 831)",0.3,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,F,pSyn,"c(996, 328, 1101, 783, 831)",None,107636.3207,5.031958844
20,IM 332,"c(120, 163, 344, 314, 355)",0.3,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,M,pSyn,"c(120, 163, 344, 314, 355)",None,57453.55497,4.759316906
21,IM 335,"c(120, 163, 344, 314, 355)",0.3,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,F,pSyn,"c(120, 163, 344, 314, 355)",None,65262.13332,4.814661266
22,IM 339,"c(120, 163, 344, 314, 355)",0.3,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,M,pSyn,"c(120, 163, 344, 314, 355)",None,65566.02016,4.816678823
23,IM 342,"c(120, 163, 344, 314, 355)",0.3,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,F,pSyn,"c(120, 163, 344, 314, 355)",None,60628.28704,4.782675298
24,IM 332,"c(704, 694, 800, 675)",0.3,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,M,pSyn,"c(704, 694, 800, 675)",None,54200.02013,4.733999448
25,IM 335,"c(704, 694, 800, 675)",0.3,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,F,pSyn,"c(704, 694, 800, 675)",None,48042.88108,4.681629044
26,IM 339,"c(704, 694, 800, 675)",0.3,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,M,pSyn,"c(704, 694, 800, 675)",None,63456.01104,4.802472768
27,IM 342,"c(704, 694, 800, 675)",0.3,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,F,pSyn,"c(704, 694, 800, 675)",None,60800.66244,4.783908311
28,IM 332,466,0.3,left,alv,alv,WT,mPFF,M,pSyn,466,None,103584.3612,5.015294192
29,IM 335,466,0.3,left,alv,alv,WT,mPFF,F,pSyn,466,None,112205.8054,5.050015327
30,IM 339,466,0.3,left,alv,alv,WT,mPFF,M,pSyn,466,None,135454.4919,5.131793412
31,IM 342,466,0.3,left,alv,alv,WT,mPFF,F,pSyn,466,None,129582.8493,5.112547525
32,IM 332,884,0.3,left,amc,amc,WT,mPFF,M,pSyn,884,None,26139.47089,4.417296793
33,IM 335,884,0.3,left,amc,amc,WT,mPFF,F,pSyn,884,None,28632.30987,4.456856386
34,IM 339,884,0.3,left,amc,amc,WT,mPFF,M,pSyn,884,None,26008.2164,4.41511057
35,IM 342,884,0.3,left,amc,amc,WT,mPFF,F,pSyn,884,None,28572.76059,4.455952202
36,IM 332,159,0.3,left,AON,AON,WT,mPFF,M,pSyn,159,None,1311218.318,6.117675008
37,IM 335,159,0.3,left,AON,AON,WT,mPFF,F,pSyn,159,None,1429174.413,6.155085232
38,IM 339,159,0.3,left,AON,AON,WT,mPFF,M,pSyn,159,None,893167.1364,5.950932735
39,IM 342,159,0.3,left,AON,AON,WT,mPFF,F,pSyn,159,None,907141.9304,5.957675242
40,IM 332,215,0.3,left,APN,APN,WT,mPFF,M,pSyn,215,None,241502.4424,5.382921527
41,IM 335,215,0.3,left,APN,APN,WT,mPFF,F,pSyn,215,None,457818.3975,5.660693241
42,IM 339,215,0.3,left,APN,APN,WT,mPFF,M,pSyn,215,None,295920.3942,5.471174897
43,IM 342,215,0.3,left,APN,APN,WT,mPFF,F,pSyn,215,None,339037.7972,5.530248118
44,IM 332,484682508,0.3,left,APr,APr,WT,mPFF,M,pSyn,484682508,None,205489.2111,5.312789025
45,IM 335,484682508,0.3,left,APr,APr,WT,mPFF,F,pSyn,484682508,None,303569.3735,5.482257954
46,IM 339,484682508,0.3,left,APr,APr,WT,mPFF,M,pSyn,484682508,None,92482.98219,4.966061826
47,IM 342,484682508,0.3,left,APr,APr,WT,mPFF,F,pSyn,484682508,None,99199.71513,4.996510425
48,IM 332,484682524,0.3,left,ar,ar,WT,mPFF,M,pSyn,484682524,None,51341.63649,4.710469708
49,IM 335,484682524,0.3,left,ar,ar,WT,mPFF,F,pSyn,484682524,None,49453.6267,4.694198146
50,IM 339,484682524,0.3,left,ar,ar,WT,mPFF,M,pSyn,484682524,None,39148.19486,4.592711741
51,IM 342,484682524,0.3,left,ar,ar,WT,mPFF,F,pSyn,484682524,None,42375.37325,4.627113537
52,IM 332,223,0.3,left,ARH,ARH,WT,mPFF,M,pSyn,223,None,89944.16268,4.953972983
53,IM 335,223,0.3,left,ARH,ARH,WT,mPFF,F,pSyn,223,None,77773.73907,4.890832979
54,IM 339,223,0.3,left,ARH,ARH,WT,mPFF,M,pSyn,223,None,77120.74895,4.887171239
55,IM 342,223,0.3,left,ARH,ARH,WT,mPFF,F,pSyn,223,None,63200.94784,4.800723592
56,IM 332,231,0.3,left,AT,AT,WT,mPFF,M,pSyn,231,None,42452.53174,4.627903595
57,IM 335,231,0.3,left,AT,AT,WT,mPFF,F,pSyn,231,None,44847.39512,4.651737223
58,IM 339,231,0.3,left,AT,AT,WT,mPFF,M,pSyn,231,None,26107.20998,4.416760462
59,IM 342,231,0.3,left,AT,AT,WT,mPFF,F,pSyn,231,None,41605.1001,4.619146571
60,IM 332,"c(527, 600, 678, 252, 156, 243)",0.3,left,AUDd,"c(""AUDd1"", ""AUDd2/3"", ""AUDd4"", ""AUDd5"", ""AUDd6a"", ""AUDd6b"")",WT,mPFF,M,pSyn,"c(527, 600, 678, 252, 156, 243)",None,42026.98134,4.623528197
61,IM 335,"c(527, 600, 678, 252, 156, 243)",0.3,left,AUDd,"c(""AUDd1"", ""AUDd2/3"", ""AUDd4"", ""AUDd5"", ""AUDd6a"", ""AUDd6b"")",WT,mPFF,F,pSyn,"c(527, 600, 678, 252, 156, 243)",None,51879.94939,4.714999544
62,IM 339,"c(527, 600, 678, 252, 156, 243)",0.3,left,AUDd,"c(""AUDd1"", ""AUDd2/3"", ""AUDd4"", ""AUDd5"", ""AUDd6a"", ""AUDd6b"")",WT,mPFF,M,pSyn,"c(527, 600, 678, 252, 156, 243)",None,48912.97252,4.689424056
63,IM 342,"c(527, 600, 678, 252, 156, 243)",0.3,left,AUDd,"c(""AUDd1"", ""AUDd2/3"", ""AUDd4"", ""AUDd5"", ""AUDd6a"", ""AUDd6b"")",WT,mPFF,F,pSyn,"c(527, 600, 678, 252, 156, 243)",None,47905.74596,4.680387607
64,IM 332,"c(735, 251, 816, 847, 954, 1005)",0.3,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,M,pSyn,"c(735, 251, 816, 847, 954, 1005)",None,54093.0806,4.733141715
65,IM 335,"c(735, 251, 816, 847, 954, 1005)",0.3,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,F,pSyn,"c(735, 251, 816, 847, 954, 1005)",None,73608.10868,4.866925659
66,IM 339,"c(735, 251, 816, 847, 954, 1005)",0.3,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,M,pSyn,"c(735, 251, 816, 847, 954, 1005)",None,65793.15826,4.818180734
67,IM 342,"c(735, 251, 816, 847, 954, 1005)",0.3,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,F,pSyn,"c(735, 251, 816, 847, 954, 1005)",None,89155.71046,4.950149165
68,IM 332,"c(696, 643, 759, 791, 249, 456)",0.3,left,AUDpo,"c(""AUDpo1"", ""AUDpo2/3"", ""AUDpo4"", ""AUDpo5"", ""AUDpo6a"", ""AUDpo6b"")",WT,mPFF,M,pSyn,"c(696, 643, 759, 791, 249, 456)",None,45744.71125,4.660340891
69,IM 335,"c(696, 643, 759, 791, 249, 456)",0.3,left,AUDpo,"c(""AUDpo1"", ""AUDpo2/3"", ""AUDpo4"", ""AUDpo5"", ""AUDpo6a"", ""AUDpo6b"")",WT,mPFF,F,pSyn,"c(696, 643, 759, 791, 249, 456)",None,44219.36329,4.645612485
70,IM 339,"c(696, 643, 759, 791, 249, 456)",0.3,left,AUDpo,"c(""AUDpo1"", ""AUDpo2/3"", ""AUDpo4"", ""AUDpo5"", ""AUDpo6a"", ""AUDpo6b"")",WT,mPFF,M,pSyn,"c(696, 643, 759, 791, 249, 456)",None,43328.59589,4.636774616
71,IM 342,"c(696, 643, 759, 791, 249, 456)",0.3,left,AUDpo,"c(""AUDpo1"", ""AUDpo2/3"", ""AUDpo4"", ""AUDpo5"", ""AUDpo6a"", ""AUDpo6b"")",WT,mPFF,F,pSyn,"c(696, 643, 759, 791, 249, 456)",None,44869.96622,4.651955743
72,IM 332,"c(959, 755, 990, 1023, 520, 598)",0.3,left,AUDv,"c(""AUDv1"", ""AUDv2/3"", ""AUDv4"", ""AUDv5"", ""AUDv6a"", ""AUDv6b"")",WT,mPFF,M,pSyn,"c(959, 755, 990, 1023, 520, 598)",None,42325.1468,4.626598473
73,IM 335,"c(959, 755, 990, 1023, 520, 598)",0.3,left,AUDv,"c(""AUDv1"", ""AUDv2/3"", ""AUDv4"", ""AUDv5"", ""AUDv6a"", ""AUDv6b"")",WT,mPFF,F,pSyn,"c(959, 755, 990, 1023, 520, 598)",None,45734.03907,4.660239559
74,IM 339,"c(959, 755, 990, 1023, 520, 598)",0.3,left,AUDv,"c(""AUDv1"", ""AUDv2/3"", ""AUDv4"", ""AUDv5"", ""AUDv6a"", ""AUDv6b"")",WT,mPFF,M,pSyn,"c(959, 755, 990, 1023, 520, 598)",None,49200.87596,4.691972835
