,mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,forRemove,batch,Region Area,Logged Region Area
75,IM 342,"c(959, 755, 990, 1023, 520, 598)",0.3,left,AUDv,"c(""AUDv1"", ""AUDv2/3"", ""AUDv4"", ""AUDv5"", ""AUDv6a"", ""AUDv6b"")",WT,mPFF,F,pSyn,"c(959, 755, 990, 1023, 520, 598)",None,40508.17247,4.60754265
76,IM 342,272,0.3,left,AVPV,AVPV,WT,mPFF,F,pSyn,272,None,12515.02671,4.097431781
77,IM 342,292,0.3,left,BA,BA,WT,mPFF,F,pSyn,292,None,7927.342358,3.899127615
78,IM 332,482,0.3,left,bic,bic,WT,mPFF,M,pSyn,482,None,65858.34109,4.818610787
79,IM 335,482,0.3,left,bic,bic,WT,mPFF,F,pSyn,482,None,64746.2212,4.811214427
80,IM 339,482,0.3,left,bic,bic,WT,mPFF,M,pSyn,482,None,70863.25177,4.850421077
81,IM 342,482,0.3,left,bic,bic,WT,mPFF,F,pSyn,482,None,84541.06376,4.927067708
82,IM 332,"c(303, 311, 451)",0.3,left,BLA,"c(""BLAa"", ""BLAp"", ""BLAv"")",WT,mPFF,M,pSyn,"c(303, 311, 451)",None,101004.727,5.004341699
83,IM 335,"c(303, 451, 311)",0.3,left,BLA,"c(""BLAa"", ""BLAv"", ""BLAp"")",WT,mPFF,F,pSyn,"c(303, 451, 311)",None,119659.5485,5.07794736
84,IM 339,"c(303, 311, 451)",0.3,left,BLA,"c(""BLAa"", ""BLAp"", ""BLAv"")",WT,mPFF,M,pSyn,"c(303, 311, 451)",None,100779.0946,5.003370452
85,IM 342,"c(303, 451, 311)",0.3,left,BLA,"c(""BLAa"", ""BLAv"", ""BLAp"")",WT,mPFF,F,pSyn,"c(303, 451, 311)",None,117124.8161,5.068648922
86,IM 332,"c(327, 334)",0.3,left,BMA,"c(""BMAa"", ""BMAp"")",WT,mPFF,M,pSyn,"c(327, 334)",None,171005.996,5.233011338
87,IM 335,"c(327, 334)",0.3,left,BMA,"c(""BMAa"", ""BMAp"")",WT,mPFF,F,pSyn,"c(327, 334)",None,169986.5219,5.230414488
88,IM 339,"c(327, 334)",0.3,left,BMA,"c(""BMAa"", ""BMAp"")",WT,mPFF,M,pSyn,"c(327, 334)",None,158960.9387,5.201290419
89,IM 342,"c(327, 334)",0.3,left,BMA,"c(""BMAa"", ""BMAp"")",WT,mPFF,F,pSyn,"c(327, 334)",None,203231.1865,5.307990353
90,IM 332,916,0.3,left,bsc,bsc,WT,mPFF,M,pSyn,916,None,32548.17378,4.512526626
91,IM 335,916,0.3,left,bsc,bsc,WT,mPFF,F,pSyn,916,None,41592.6142,4.619016218
92,IM 339,916,0.3,left,bsc,bsc,WT,mPFF,M,pSyn,916,None,32738.83615,4.515063237
93,IM 342,916,0.3,left,bsc,bsc,WT,mPFF,F,pSyn,916,None,45555.1445,4.658537429
94,IM 332,382,0.3,left,CA1,CA1,WT,mPFF,M,pSyn,382,None,1235826.033,6.091957339
95,IM 335,382,0.3,left,CA1,CA1,WT,mPFF,F,pSyn,382,None,1062799.15,6.026451199
96,IM 339,382,0.3,left,CA1,CA1,WT,mPFF,M,pSyn,382,None,1247176.047,6.095927761
97,IM 342,382,0.3,left,CA1,CA1,WT,mPFF,F,pSyn,382,None,1307700.303,6.116508224
98,IM 332,423,0.3,left,CA2,CA2,WT,mPFF,M,pSyn,423,None,42308.65713,4.626429241
99,IM 335,423,0.3,left,CA2,CA2,WT,mPFF,F,pSyn,423,None,64503.04624,4.809580225
100,IM 339,423,0.3,left,CA2,CA2,WT,mPFF,M,pSyn,423,None,49217.37776,4.692118471
101,IM 342,423,0.3,left,CA2,CA2,WT,mPFF,F,pSyn,423,None,63436.56537,4.802339661
102,IM 332,463,0.3,left,CA3,CA3,WT,mPFF,M,pSyn,463,None,627842.6513,5.797850815
103,IM 335,463,0.3,left,CA3,CA3,WT,mPFF,F,pSyn,463,None,724559.2718,5.860073918
104,IM 339,463,0.3,left,CA3,CA3,WT,mPFF,M,pSyn,463,None,699828.4597,5.8449916
105,IM 342,463,0.3,left,CA3,CA3,WT,mPFF,F,pSyn,463,None,773749.3315,5.888600287
106,IM 332,512,0.3,left,CB,CB,WT,mPFF,M,pSyn,512,None,31528.32137,4.498700849
107,IM 335,512,0.3,left,CB,CB,WT,mPFF,F,pSyn,512,None,19118.14994,4.281445864
108,IM 339,512,0.3,left,CB,CB,WT,mPFF,M,pSyn,512,None,33431.99048,4.524162235
109,IM 342,512,0.3,left,CB,CB,WT,mPFF,F,pSyn,512,None,27040.54543,4.432015448
110,IM 332,"c(964, 484682516, 971, 986)",0.3,left,cc,"c(""ee"", ""ccb"", ""fp"", ""ccs"")",WT,mPFF,M,pSyn,"c(964, 484682516, 971, 986)",None,152989.2888,5.184661026
111,IM 335,"c(484682516, 964, 986, 971)",0.3,left,cc,"c(""ccb"", ""ee"", ""ccs"", ""fp"")",WT,mPFF,F,pSyn,"c(484682516, 964, 986, 971)",None,191424.3364,5.28199715
112,IM 339,"c(484682516, 964, 971, 986)",0.3,left,cc,"c(""ccb"", ""ee"", ""fp"", ""ccs"")",WT,mPFF,M,pSyn,"c(484682516, 964, 971, 986)",None,151166.8644,5.179456605
113,IM 342,"c(484682516, 964, 971, 986)",0.3,left,cc,"c(""ccb"", ""ee"", ""fp"", ""ccs"")",WT,mPFF,F,pSyn,"c(484682516, 964, 971, 986)",None,159788.3196,5.20354503
114,IM 332,1108,0.3,left,ccg,ccg,WT,mPFF,M,pSyn,1108,None,575716.3961,5.760208598
115,IM 335,1108,0.3,left,ccg,ccg,WT,mPFF,F,pSyn,1108,None,471249.1031,5.673250537
116,IM 339,1108,0.3,left,ccg,ccg,WT,mPFF,M,pSyn,1108,None,573775.85,5.758742265
117,IM 342,1108,0.3,left,ccg,ccg,WT,mPFF,F,pSyn,1108,None,488046.0164,5.688460772
118,IM 332,"c(544, 551, 559)",0.3,left,CEA,"c(""CEAc"", ""CEAl"", ""CEAm"")",WT,mPFF,M,pSyn,"c(544, 551, 559)",None,71127.77667,4.852039234
119,IM 335,"c(544, 551, 559)",0.3,left,CEA,"c(""CEAc"", ""CEAl"", ""CEAm"")",WT,mPFF,F,pSyn,"c(544, 551, 559)",None,64152.05963,4.807210604
120,IM 339,"c(544, 551, 559)",0.3,left,CEA,"c(""CEAc"", ""CEAl"", ""CEAm"")",WT,mPFF,M,pSyn,"c(544, 551, 559)",None,112392.4209,5.050737026
121,IM 342,"c(544, 551, 559)",0.3,left,CEA,"c(""CEAc"", ""CEAl"", ""CEAm"")",WT,mPFF,F,pSyn,"c(544, 551, 559)",None,106098.3335,5.025708562
122,IM 332,940,0.3,left,cing,cing,WT,mPFF,M,pSyn,940,None,74469.87034,4.871980598
123,IM 335,940,0.3,left,cing,cing,WT,mPFF,F,pSyn,940,None,73266.79413,4.864907189
124,IM 339,940,0.3,left,cing,cing,WT,mPFF,M,pSyn,940,None,73561.19506,4.866648776
125,IM 342,940,0.3,left,cing,cing,WT,mPFF,F,pSyn,940,None,80081.64187,4.903532969
126,IM 332,575,0.3,left,CL,CL,WT,mPFF,M,pSyn,575,None,117880.6837,5.071442646
127,IM 335,575,0.3,left,CL,CL,WT,mPFF,F,pSyn,575,None,116451.8342,5.066146333
128,IM 339,575,0.3,left,CL,CL,WT,mPFF,M,pSyn,575,None,127767.3295,5.106419818
129,IM 342,575,0.3,left,CL,CL,WT,mPFF,F,pSyn,575,None,121531.336,5.084688272
130,IM 332,583,0.3,left,CLA,CLA,WT,mPFF,M,pSyn,583,None,67934.53473,4.832090605
131,IM 335,583,0.3,left,CLA,CLA,WT,mPFF,F,pSyn,583,None,62951.13582,4.79900357
132,IM 339,583,0.3,left,CLA,CLA,WT,mPFF,M,pSyn,583,None,69781.78137,4.843742052
133,IM 342,583,0.3,left,CLA,CLA,WT,mPFF,F,pSyn,583,None,56593.54647,4.75276691
134,IM 332,591,0.3,left,CLI,CLI,WT,mPFF,M,pSyn,591,None,32742.74866,4.515115135
135,IM 339,591,0.3,left,CLI,CLI,WT,mPFF,M,pSyn,591,None,10668.02077,4.028083853
136,IM 332,599,0.3,left,CM,CM,WT,mPFF,M,pSyn,599,None,56582.81048,4.752684515
137,IM 335,599,0.3,left,CM,CM,WT,mPFF,F,pSyn,599,None,71219.62027,4.852599654
138,IM 339,599,0.3,left,CM,CM,WT,mPFF,M,pSyn,599,None,82257.30757,4.91517449
139,IM 342,599,0.3,left,CM,CM,WT,mPFF,F,pSyn,599,None,74390.28998,4.871516252
140,IM 332,639,0.3,left,COA,COAa,WT,mPFF,M,pSyn,639,None,108086.4481,5.033771245
141,IM 335,639,0.3,left,COA,COAa,WT,mPFF,F,pSyn,639,None,186133.0084,5.269823397
142,IM 339,639,0.3,left,COA,COAa,WT,mPFF,M,pSyn,639,None,182752.9022,5.261864283
143,IM 342,639,0.3,left,COA,COAa,WT,mPFF,F,pSyn,639,None,210611.5169,5.323482116
144,IM 332,"c(655, 663)",0.3,left,COAp,"c(""COApl"", ""COApm"")",WT,mPFF,M,pSyn,"c(655, 663)",None,202912.046,5.30730783
145,IM 335,"c(655, 663)",0.3,left,COAp,"c(""COApl"", ""COApm"")",WT,mPFF,F,pSyn,"c(655, 663)",None,219965.443,5.342354458
146,IM 339,"c(655, 663)",0.3,left,COAp,"c(""COApl"", ""COApm"")",WT,mPFF,M,pSyn,"c(655, 663)",None,239146.3751,5.378663802
147,IM 342,"c(655, 663)",0.3,left,COAp,"c(""COApl"", ""COApm"")",WT,mPFF,F,pSyn,"c(655, 663)",None,243160.627,5.385893255
148,IM 332,672,0.3,left,CP,CP,WT,mPFF,M,pSyn,672,None,927167.2398,5.967158078
149,IM 335,672,0.3,left,CP,CP,WT,mPFF,F,pSyn,672,None,1488629.304,6.172786564
150,IM 339,672,0.3,left,CP,CP,WT,mPFF,M,pSyn,672,None,1407913.993,6.148576125
151,IM 342,672,0.3,left,CP,CP,WT,mPFF,F,pSyn,672,None,1535392.435,6.186219396
152,IM 332,924,0.3,left,cpd,cpd,WT,mPFF,M,pSyn,924,None,203331.8087,5.308205324
153,IM 335,924,0.3,left,cpd,cpd,WT,mPFF,F,pSyn,924,None,205256.2345,5.312296357
154,IM 339,924,0.3,left,cpd,cpd,WT,mPFF,M,pSyn,924,None,203089.0128,5.307686429
155,IM 342,924,0.3,left,cpd,cpd,WT,mPFF,F,pSyn,924,None,212213.7081,5.326773434
156,IM 332,679,0.3,left,CS,CS,WT,mPFF,M,pSyn,679,None,256142.9638,5.40848243
157,IM 335,679,0.3,left,CS,CS,WT,mPFF,F,pSyn,679,None,298346.5441,5.474721012
158,IM 339,679,0.3,left,CS,CS,WT,mPFF,M,pSyn,679,None,312141.0434,5.494350878
159,IM 342,679,0.3,left,CS,CS,WT,mPFF,F,pSyn,679,None,323631.8075,5.510051199
160,IM 332,336,0.3,left,csc,csc,WT,mPFF,M,pSyn,336,None,61888.56799,4.791610434
161,IM 335,336,0.3,left,csc,csc,WT,mPFF,F,pSyn,336,None,83506.569,4.92172064
162,IM 339,336,0.3,left,csc,csc,WT,mPFF,M,pSyn,336,None,48065.42902,4.681832823
163,IM 332,784,0.3,left,cst,cst,WT,mPFF,M,pSyn,784,None,40769.97803,4.610340478
164,IM 335,784,0.3,left,cst,cst,WT,mPFF,F,pSyn,784,None,42895.33234,4.632410037
165,IM 339,784,0.3,left,cst,cst,WT,mPFF,M,pSyn,784,None,30711.79363,4.487305181
166,IM 342,784,0.3,left,cst,cst,WT,mPFF,F,pSyn,784,None,39172.73369,4.59298388
167,IM 332,703,0.3,left,CTXsp,CTXsp,WT,mPFF,M,pSyn,703,None,18586.78721,4.269204327
168,IM 335,703,0.3,left,CTXsp,CTXsp,WT,mPFF,F,pSyn,703,None,20528.60545,4.312359448
169,IM 339,703,0.3,left,CTXsp,CTXsp,WT,mPFF,M,pSyn,703,None,20869.77534,4.319517774
170,IM 342,703,0.3,left,CTXsp,CTXsp,WT,mPFF,F,pSyn,703,None,19033.17895,4.279511331
171,IM 332,"c(10703, 10704, 632)",0.3,left,DG,"c(""DG-mo"", ""DG-po"", ""DG-sg"")",WT,mPFF,M,pSyn,"c(10703, 10704, 632)",None,215213.3048,5.332869116
172,IM 335,"c(10703, 10704, 632)",0.3,left,DG,"c(""DG-mo"", ""DG-po"", ""DG-sg"")",WT,mPFF,F,pSyn,"c(10703, 10704, 632)",None,194111.3483,5.288050926
173,IM 339,"c(10703, 10704, 632)",0.3,left,DG,"c(""DG-mo"", ""DG-po"", ""DG-sg"")",WT,mPFF,M,pSyn,"c(10703, 10704, 632)",None,224801.8799,5.351799939
174,IM 342,"c(10703, 10704, 632)",0.3,left,DG,"c(""DG-mo"", ""DG-po"", ""DG-sg"")",WT,mPFF,F,pSyn,"c(10703, 10704, 632)",None,214541.6795,5.331511676
175,IM 332,443,0.3,left,dhc,dhc,WT,mPFF,M,pSyn,443,None,88417.51238,4.946538292
176,IM 335,443,0.3,left,dhc,dhc,WT,mPFF,F,pSyn,443,None,83936.6376,4.923951568
177,IM 339,443,0.3,left,dhc,dhc,WT,mPFF,M,pSyn,443,None,73580.29513,4.866761526
178,IM 342,443,0.3,left,dhc,dhc,WT,mPFF,F,pSyn,443,None,83446.90804,4.921410249
179,IM 332,830,0.3,left,DMH,DMH,WT,mPFF,M,pSyn,830,None,133411.0477,5.125191795
180,IM 335,830,0.3,left,DMH,DMH,WT,mPFF,F,pSyn,830,None,81964.11773,4.913623768
181,IM 339,830,0.3,left,DMH,DMH,WT,mPFF,M,pSyn,830,None,55515.89002,4.744417307
182,IM 342,830,0.3,left,DMH,DMH,WT,mPFF,F,pSyn,830,None,40694.32882,4.60953389
183,IM 339,814,0.3,left,DP,DP,WT,mPFF,M,pSyn,814,None,113301.257,5.054234728
