,mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,forRemove,batch,Region Area,Logged Region Area
26,IM 338,"c(704, 694, 800, 675)",0.2,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,M,pSyn,"c(704, 694, 800, 675)",None,60182.83619,4.779472651
27,IM 341,"c(704, 694, 800, 675)",0.2,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,F,pSyn,"c(704, 694, 800, 675)",None,59509.03624,4.774582917
28,IM 331,466,0.2,left,alv,alv,WT,mPFF,M,pSyn,466,None,137437.3791,5.138104865
29,IM 334,466,0.2,left,alv,alv,WT,mPFF,F,pSyn,466,None,126608.037,5.102461275
30,IM 338,466,0.2,left,alv,alv,WT,mPFF,M,pSyn,466,None,135386.4076,5.131575065
31,IM 341,466,0.2,left,alv,alv,WT,mPFF,F,pSyn,466,None,100916.1552,5.003960696
32,IM 331,884,0.2,left,amc,amc,WT,mPFF,M,pSyn,884,None,32663.13411,4.514057854
33,IM 334,884,0.2,left,amc,amc,WT,mPFF,F,pSyn,884,None,31181.41168,4.493895773
34,IM 338,884,0.2,left,amc,amc,WT,mPFF,M,pSyn,884,None,33178.05116,4.520850873
35,IM 341,884,0.2,left,amc,amc,WT,mPFF,F,pSyn,884,None,32180.70277,4.507595524
36,IM 331,159,0.2,left,AON,AON,WT,mPFF,M,pSyn,159,None,1132402.915,6.054000979
37,IM 334,159,0.2,left,AON,AON,WT,mPFF,F,pSyn,159,None,1026693.338,6.011440744
38,IM 338,159,0.2,left,AON,AON,WT,mPFF,M,pSyn,159,None,984223.1847,5.993093591
39,IM 341,159,0.2,left,AON,AON,WT,mPFF,F,pSyn,159,None,941311.5879,5.973733405
40,IM 331,215,0.2,left,APN,APN,WT,mPFF,M,pSyn,215,None,672391.9655,5.827622515
41,IM 334,215,0.2,left,APN,APN,WT,mPFF,F,pSyn,215,None,330494.1439,5.519163769
42,IM 338,215,0.2,left,APN,APN,WT,mPFF,M,pSyn,215,None,381593.3995,5.581600854
43,IM 331,484682508,0.2,left,APr,APr,WT,mPFF,M,pSyn,484682508,None,73390.11469,4.865637566
44,IM 334,484682508,0.2,left,APr,APr,WT,mPFF,F,pSyn,484682508,None,112844.1289,5.052478968
45,IM 338,484682508,0.2,left,APr,APr,WT,mPFF,M,pSyn,484682508,None,109467.5781,5.03928551
46,IM 341,484682508,0.2,left,APr,APr,WT,mPFF,F,pSyn,484682508,None,206101.6898,5.314081553
47,IM 331,484682524,0.2,left,ar,ar,WT,mPFF,M,pSyn,484682524,None,72370.69483,4.859562742
