,mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,forRemove,batch,Region Area,Logged Region Area
14,IM 101,"c(588, 296, 772, 810, 819)",3,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,None,F,pSyn,"c(588, 296, 772, 810, 819)",WT6,56408.57906,4.75134516
15,IM 102,"c(588, 296, 772, 810, 819)",3,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,None,F,pSyn,"c(588, 296, 772, 810, 819)",WT6,95755.20598,4.981162395
16,IM 103,"c(588, 296, 772, 810, 819)",3,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,None,F,pSyn,"c(588, 296, 772, 810, 819)",WT6,77527.79801,4.889457449
17,IM 104,"c(588, 296, 772, 810)",3,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"")",WT,None,F,pSyn,"c(588, 296, 772, 810)",WT6,76316.76681,4.882619963
18,IM 66,"c(588, 296, 772, 810, 819)",3,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,F,pSyn,"c(588, 296, 772, 810, 819)",WT5,58606.59555,4.767946494
19,IM 67,"c(588, 296, 772, 810, 819)",3,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,F,pSyn,"c(588, 296, 772, 810, 819)",WT5,60771.59871,4.783700661
20,IM 69,"c(588, 296, 772, 810, 819)",3,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,M,pSyn,"c(588, 296, 772, 810, 819)",WT5,54722.84916,4.738168701
21,IM 71,"c(588, 296, 772, 810, 819)",3,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,M,pSyn,"c(588, 296, 772, 810, 819)",WT5,61376.93223,4.788005178
22,IM 72,"c(588, 296, 772, 810, 819)",3,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,M,pSyn,"c(588, 296, 772, 810, 819)",WT5,58333.55792,4.765918466
23,IM 98,"c(588, 296, 772, 810, 819)",3,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,None,M,pSyn,"c(588, 296, 772, 810, 819)",WT6,83845.97425,4.923482215
24,IM 99,"c(588, 296, 772, 810, 819)",3,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,None,M,pSyn,"c(588, 296, 772, 810, 819)",WT6,96216.92764,4.983251485
25,IM 100,56,3,left,ACB,ACB,WT,None,M,pSyn,56,WT6,992253.3305,5.996622565
26,IM 101,56,3,left,ACB,ACB,WT,None,F,pSyn,56,WT6,677445.9916,5.830874677
27,IM 102,56,3,left,ACB,ACB,WT,None,F,pSyn,56,WT6,1070806.509,6.029711003
28,IM 103,56,3,left,ACB,ACB,WT,None,F,pSyn,56,WT6,1126837.064,6.051861123
29,IM 104,56,3,left,ACB,ACB,WT,None,F,pSyn,56,WT6,1102900.372,6.042536283
30,IM 66,56,3,left,ACB,ACB,WT,mPFF,F,pSyn,56,WT5,591783.6722,5.772162978
31,IM 69,56,3,left,ACB,ACB,WT,mPFF,M,pSyn,56,WT5,325031.688,5.511925703
32,IM 71,56,3,left,ACB,ACB,WT,mPFF,M,pSyn,56,WT5,490456.7602,5.690600725
33,IM 98,56,3,left,ACB,ACB,WT,None,M,pSyn,56,WT6,1205722.174,6.081247248
34,IM 99,56,3,left,ACB,ACB,WT,None,M,pSyn,56,WT6,1255108.955,6.098681428
35,IM 67,72,3,left,ADP,ADP,WT,mPFF,F,pSyn,72,WT5,112539.9976,5.051306902
36,IM 69,72,3,left,ADP,ADP,WT,mPFF,M,pSyn,72,WT5,116423.7798,5.066041695
37,IM 71,72,3,left,ADP,ADP,WT,mPFF,M,pSyn,72,WT5,52278.14124,4.718320138
38,IM 72,72,3,left,ADP,ADP,WT,mPFF,M,pSyn,72,WT5,119841.7312,5.078608074
39,IM 101,88,3,left,AHN,AHN,WT,None,F,pSyn,88,WT6,95673.25293,4.98079054
40,IM 104,88,3,left,AHN,AHN,WT,None,F,pSyn,88,WT6,76447.30057,4.883362155
41,IM 66,88,3,left,AHN,AHN,WT,mPFF,F,pSyn,88,WT5,101305.2876,5.005632114
42,IM 67,88,3,left,AHN,AHN,WT,mPFF,F,pSyn,88,WT5,95392.68706,4.979515082
43,IM 69,88,3,left,AHN,AHN,WT,mPFF,M,pSyn,88,WT5,117882.7334,5.071450197
44,IM 71,88,3,left,AHN,AHN,WT,mPFF,M,pSyn,88,WT5,36595.68718,4.563429907
45,IM 72,88,3,left,AHN,AHN,WT,mPFF,M,pSyn,88,WT5,140902.3598,5.148918267
46,IM 100,"c(996, 328, 1101, 783, 831)",3,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,None,M,pSyn,"c(996, 328, 1101, 783, 831)",WT6,137399.3646,5.137984724
47,IM 101,"c(996, 328, 1101, 783, 831)",3,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,None,F,pSyn,"c(996, 328, 1101, 783, 831)",WT6,93332.18653,4.97003144
48,IM 102,"c(996, 328, 1101, 783, 831)",3,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,None,F,pSyn,"c(996, 328, 1101, 783, 831)",WT6,124276.8437,5.094390215
49,IM 103,"c(996, 328, 1101, 783, 831)",3,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,None,F,pSyn,"c(996, 328, 1101, 783, 831)",WT6,140125.6578,5.146517664
50,IM 104,"c(996, 328, 1101, 783, 831)",3,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,None,F,pSyn,"c(996, 328, 1101, 783, 831)",WT6,130798.4492,5.116602595
51,IM 66,"c(996, 328, 1101, 783, 831)",3,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,F,pSyn,"c(996, 328, 1101, 783, 831)",WT5,125689.9678,5.099300615
52,IM 67,"c(996, 328, 1101, 783)",3,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"")",WT,mPFF,F,pSyn,"c(996, 328, 1101, 783)",WT5,173373.0493,5.238981588
53,IM 69,"c(996, 328, 1101, 783, 831)",3,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,M,pSyn,"c(996, 328, 1101, 783, 831)",WT5,153059.6862,5.184860819
54,IM 71,"c(996, 328, 1101, 783, 831)",3,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,M,pSyn,"c(996, 328, 1101, 783, 831)",WT5,120399.7092,5.080625438
55,IM 72,"c(996, 328, 1101, 783, 831)",3,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,M,pSyn,"c(996, 328, 1101, 783, 831)",WT5,96453.88398,4.98431972
56,IM 98,"c(996, 328, 1101, 783, 831)",3,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,None,M,pSyn,"c(996, 328, 1101, 783, 831)",WT6,121481.8756,5.084511488
57,IM 99,"c(996, 328, 1101, 783, 831)",3,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,None,M,pSyn,"c(996, 328, 1101, 783, 831)",WT6,117864.8491,5.071384305
58,IM 100,"c(120, 163, 344, 314, 355)",3,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,None,M,pSyn,"c(120, 163, 344, 314, 355)",WT6,67613.44148,4.830033042
59,IM 101,"c(120, 163, 344, 314, 355)",3,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,None,F,pSyn,"c(120, 163, 344, 314, 355)",WT6,80854.07673,4.907701922
60,IM 102,"c(120, 163, 344, 314, 355)",3,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,None,F,pSyn,"c(120, 163, 344, 314, 355)",WT6,55644.73962,4.745424115
61,IM 103,"c(120, 163, 344, 314, 355)",3,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,None,F,pSyn,"c(120, 163, 344, 314, 355)",WT6,61962.6256,4.792129812
62,IM 104,"c(120, 163, 344, 314, 355)",3,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,None,F,pSyn,"c(120, 163, 344, 314, 355)",WT6,79789.25907,4.901944432
63,IM 66,"c(120, 163, 344, 314, 355)",3,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,F,pSyn,"c(120, 163, 344, 314, 355)",WT5,69771.70613,4.843679343
64,IM 67,"c(120, 163, 344, 314, 355)",3,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,F,pSyn,"c(120, 163, 344, 314, 355)",WT5,58997.26169,4.770831855
65,IM 69,"c(120, 163, 344, 314, 355)",3,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,M,pSyn,"c(120, 163, 344, 314, 355)",WT5,54684.60328,4.737865066
66,IM 71,"c(120, 163, 344, 314, 355)",3,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,M,pSyn,"c(120, 163, 344, 314, 355)",WT5,73804.01777,4.868080005
67,IM 72,"c(120, 163, 344, 314, 355)",3,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,M,pSyn,"c(120, 163, 344, 314, 355)",WT5,78106.58442,4.892687647
68,IM 98,"c(120, 163, 344, 314, 355)",3,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,None,M,pSyn,"c(120, 163, 344, 314, 355)",WT6,63966.75372,4.805954311
69,IM 99,"c(120, 163, 344, 314, 355)",3,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,None,M,pSyn,"c(120, 163, 344, 314, 355)",WT6,60683.55458,4.783071012
70,IM 100,"c(704, 694, 800, 675, 699)",3,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"", ""AIv6b"")",WT,None,M,pSyn,"c(704, 694, 800, 675, 699)",WT6,78087.54696,4.89258178
71,IM 101,"c(704, 694, 800, 675)",3,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,None,F,pSyn,"c(704, 694, 800, 675)",WT6,47168.29934,4.673650218
72,IM 102,"c(704, 694, 800, 675)",3,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,None,F,pSyn,"c(704, 694, 800, 675)",WT6,62789.76997,4.797888892
73,IM 103,"c(704, 694, 800, 675)",3,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,None,F,pSyn,"c(704, 694, 800, 675)",WT6,76733.86701,4.884987085
74,IM 104,"c(704, 694, 800, 675)",3,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,None,F,pSyn,"c(704, 694, 800, 675)",WT6,75019.69714,4.875175307
75,IM 66,"c(704, 694, 800, 675)",3,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,F,pSyn,"c(704, 694, 800, 675)",WT5,61886.89315,4.791598681
76,IM 67,"c(704, 694, 800, 675)",3,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,F,pSyn,"c(704, 694, 800, 675)",WT5,59357.85988,4.773478234
77,IM 69,"c(704, 694, 800, 675)",3,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,M,pSyn,"c(704, 694, 800, 675)",WT5,75564.06086,4.878315289
78,IM 71,"c(704, 694, 800, 675)",3,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,M,pSyn,"c(704, 694, 800, 675)",WT5,38380.42125,4.584109737
79,IM 72,"c(704, 694, 800)",3,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"")",WT,mPFF,M,pSyn,"c(704, 694, 800)",WT5,26676.55487,4.426129742
80,IM 98,"c(704, 694, 800, 675)",3,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,None,M,pSyn,"c(704, 694, 800, 675)",WT6,60662.67881,4.782921585
81,IM 99,"c(704, 694, 800, 675)",3,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,None,M,pSyn,"c(704, 694, 800, 675)",WT6,66045.63655,4.81984413
82,IM 100,466,3,left,alv,alv,WT,None,M,pSyn,466,WT6,132861.01,5.12339755
83,IM 101,466,3,left,alv,alv,WT,None,F,pSyn,466,WT6,139135.5446,5.143438092
84,IM 102,466,3,left,alv,alv,WT,None,F,pSyn,466,WT6,111004.8407,5.045341918
85,IM 103,466,3,left,alv,alv,WT,None,F,pSyn,466,WT6,135376.6831,5.131543869
86,IM 104,466,3,left,alv,alv,WT,None,F,pSyn,466,WT6,131693.1327,5.119563129
87,IM 66,466,3,left,alv,alv,WT,mPFF,F,pSyn,466,WT5,145026.1571,5.161446339
88,IM 67,466,3,left,alv,alv,WT,mPFF,F,pSyn,466,WT5,145999.7807,5.164352203
89,IM 69,466,3,left,alv,alv,WT,mPFF,M,pSyn,466,WT5,143804.109,5.157771295
90,IM 71,466,3,left,alv,alv,WT,mPFF,M,pSyn,466,WT5,159183.2111,5.201897261
91,IM 72,466,3,left,alv,alv,WT,mPFF,M,pSyn,466,WT5,155042.7955,5.19045159
92,IM 98,466,3,left,alv,alv,WT,None,M,pSyn,466,WT6,103076.296,5.013158804
93,IM 99,466,3,left,alv,alv,WT,None,M,pSyn,466,WT6,145267.2546,5.162167729
94,IM 100,884,3,left,amc,amc,WT,None,M,pSyn,884,WT6,26874.00612,4.429332412
95,IM 101,884,3,left,amc,amc,WT,None,F,pSyn,884,WT6,33370.18797,4.523358653
96,IM 102,884,3,left,amc,amc,WT,None,F,pSyn,884,WT6,35949.62173,4.555694325
97,IM 103,884,3,left,amc,amc,WT,None,F,pSyn,884,WT6,31194.85825,4.494083017
98,IM 104,884,3,left,amc,amc,WT,None,F,pSyn,884,WT6,33126.36187,4.520173742
99,IM 66,884,3,left,amc,amc,WT,mPFF,F,pSyn,884,WT5,36628.84485,4.563823223
100,IM 67,884,3,left,amc,amc,WT,mPFF,F,pSyn,884,WT5,40171.48373,4.603917873
101,IM 69,884,3,left,amc,amc,WT,mPFF,M,pSyn,884,WT5,35022.15986,4.544342926
102,IM 71,884,3,left,amc,amc,WT,mPFF,M,pSyn,884,WT5,36444.31925,4.561629842
103,IM 72,884,3,left,amc,amc,WT,mPFF,M,pSyn,884,WT5,34030.249,4.531865127
104,IM 98,884,3,left,amc,amc,WT,None,M,pSyn,884,WT6,31501.67921,4.498333705
105,IM 99,884,3,left,amc,amc,WT,None,M,pSyn,884,WT6,30452.9184,4.483628919
106,IM 100,159,3,left,AON,AON,WT,None,M,pSyn,159,WT6,715414.4545,5.854557711
107,IM 101,159,3,left,AON,AON,WT,None,F,pSyn,159,WT6,1356503.421,6.132420893
108,IM 102,159,3,left,AON,AON,WT,None,F,pSyn,159,WT6,822154.0173,5.914953183
109,IM 103,159,3,left,AON,AON,WT,None,F,pSyn,159,WT6,907261.5124,5.957732488
110,IM 104,159,3,left,AON,AON,WT,None,F,pSyn,159,WT6,893794.1915,5.951237528
111,IM 66,159,3,left,AON,AON,WT,mPFF,F,pSyn,159,WT5,876716.4144,5.942859138
112,IM 67,159,3,left,AON,AON,WT,mPFF,F,pSyn,159,WT5,1193716.077,6.076901043
113,IM 69,159,3,left,AON,AON,WT,mPFF,M,pSyn,159,WT5,735005.9942,5.866290881
114,IM 71,159,3,left,AON,AON,WT,mPFF,M,pSyn,159,WT5,1556957.102,6.192276647
115,IM 72,159,3,left,AON,AON,WT,mPFF,M,pSyn,159,WT5,1494175.468,6.174401602
116,IM 98,159,3,left,AON,AON,WT,None,M,pSyn,159,WT6,959857.7353,5.982206869
117,IM 99,159,3,left,AON,AON,WT,None,M,pSyn,159,WT6,993437.0509,5.997140353
118,IM 100,215,3,left,APN,APN,WT,None,M,pSyn,215,WT6,412469.8362,5.615392194
119,IM 101,215,3,left,APN,APN,WT,None,F,pSyn,215,WT6,507575.2967,5.705500477
120,IM 102,215,3,left,APN,APN,WT,None,F,pSyn,215,WT6,489992.8564,5.690189748
121,IM 103,215,3,left,APN,APN,WT,None,F,pSyn,215,WT6,259292.5543,5.413790046
122,IM 104,215,3,left,APN,APN,WT,None,F,pSyn,215,WT6,336334.1269,5.526770936
123,IM 66,215,3,left,APN,APN,WT,mPFF,F,pSyn,215,WT5,281835.4863,5.449995675
124,IM 67,215,3,left,APN,APN,WT,mPFF,F,pSyn,215,WT5,535186.5491,5.72850519
125,IM 69,215,3,left,APN,APN,WT,mPFF,M,pSyn,215,WT5,538583.4336,5.731252991
126,IM 71,215,3,left,APN,APN,WT,mPFF,M,pSyn,215,WT5,227273.6891,5.356549162
127,IM 72,215,3,left,APN,APN,WT,mPFF,M,pSyn,215,WT5,286483.8962,5.457100214
128,IM 98,215,3,left,APN,APN,WT,None,M,pSyn,215,WT6,554822.5573,5.74415411
129,IM 99,215,3,left,APN,APN,WT,None,M,pSyn,215,WT6,530120.6939,5.724374758
130,IM 100,484682508,3,left,APr,APr,WT,None,M,pSyn,484682508,WT6,104968.0438,5.021057104
131,IM 101,484682508,3,left,APr,APr,WT,None,F,pSyn,484682508,WT6,151073.3598,5.179187888
132,IM 102,484682508,3,left,APr,APr,WT,None,F,pSyn,484682508,WT6,74651.20058,4.873036797
133,IM 103,484682508,3,left,APr,APr,WT,None,F,pSyn,484682508,WT6,286166.8361,5.456619302
134,IM 104,484682508,3,left,APr,APr,WT,None,F,pSyn,484682508,WT6,62420.04687,4.795324091
135,IM 66,484682508,3,left,APr,APr,WT,mPFF,F,pSyn,484682508,WT5,326667.3665,5.514105751
136,IM 67,484682508,3,left,APr,APr,WT,mPFF,F,pSyn,484682508,WT5,409249.2291,5.61198787
137,IM 69,484682508,3,left,APr,APr,WT,mPFF,M,pSyn,484682508,WT5,364553.7352,5.561761552
138,IM 71,484682508,3,left,APr,APr,WT,mPFF,M,pSyn,484682508,WT5,304461.2055,5.483531963
139,IM 72,484682508,3,left,APr,APr,WT,mPFF,M,pSyn,484682508,WT5,89018.23272,4.949478968
140,IM 98,484682508,3,left,APr,APr,WT,None,M,pSyn,484682508,WT6,97616.04159,4.989521193
141,IM 99,484682508,3,left,APr,APr,WT,None,M,pSyn,484682508,WT6,157497.3891,5.197273359
142,IM 100,484682524,3,left,ar,ar,WT,None,M,pSyn,484682524,WT6,13318.11437,4.12444274
143,IM 101,484682524,3,left,ar,ar,WT,None,F,pSyn,484682524,WT6,47397.5532,4.675755923
144,IM 102,484682524,3,left,ar,ar,WT,None,F,pSyn,484682524,WT6,88793.60253,4.948381677
145,IM 103,484682524,3,left,ar,ar,WT,None,F,pSyn,484682524,WT6,48173.17399,4.682805262
146,IM 104,484682524,3,left,ar,ar,WT,None,F,pSyn,484682524,WT6,58995.40639,4.770818197
147,IM 66,484682524,3,left,ar,ar,WT,mPFF,F,pSyn,484682524,WT5,50864.76737,4.706417063
148,IM 67,484682524,3,left,ar,ar,WT,mPFF,F,pSyn,484682524,WT5,52933.94849,4.723734291
149,IM 69,484682524,3,left,ar,ar,WT,mPFF,M,pSyn,484682524,WT5,92280.08327,4.965107978
150,IM 71,484682524,3,left,ar,ar,WT,mPFF,M,pSyn,484682524,WT5,62813.67123,4.798054177
151,IM 72,484682524,3,left,ar,ar,WT,mPFF,M,pSyn,484682524,WT5,56596.85997,4.752792337
152,IM 98,484682524,3,left,ar,ar,WT,None,M,pSyn,484682524,WT6,54524.161,4.736588992
153,IM 99,484682524,3,left,ar,ar,WT,None,M,pSyn,484682524,WT6,43489.92137,4.638388623
154,IM 100,223,3,left,ARH,ARH,WT,None,M,pSyn,223,WT6,76337.75651,4.882739392
155,IM 101,223,3,left,ARH,ARH,WT,None,F,pSyn,223,WT6,93133.10472,4.969104081
156,IM 102,223,3,left,ARH,ARH,WT,None,F,pSyn,223,WT6,88556.36522,4.947219783
157,IM 103,223,3,left,ARH,ARH,WT,None,F,pSyn,223,WT6,87745.73155,4.943225999
158,IM 104,223,3,left,ARH,ARH,WT,None,F,pSyn,223,WT6,89094.98854,4.949853276
159,IM 66,223,3,left,ARH,ARH,WT,mPFF,F,pSyn,223,WT5,91025.80052,4.959164507
160,IM 67,223,3,left,ARH,ARH,WT,mPFF,F,pSyn,223,WT5,92240.72999,4.964922731
161,IM 69,223,3,left,ARH,ARH,WT,mPFF,M,pSyn,223,WT5,83076.12278,4.91947622
162,IM 71,223,3,left,ARH,ARH,WT,mPFF,M,pSyn,223,WT5,92627.37811,4.966739371
163,IM 72,223,3,left,ARH,ARH,WT,mPFF,M,pSyn,223,WT5,75668.94001,4.87891765
164,IM 98,223,3,left,ARH,ARH,WT,None,M,pSyn,223,WT6,121568.8066,5.084822153
165,IM 99,223,3,left,ARH,ARH,WT,None,M,pSyn,223,WT6,92190.72292,4.964687221
166,IM 100,231,3,left,AT,AT,WT,None,M,pSyn,231,WT6,49444.40672,4.69411717
167,IM 101,231,3,left,AT,AT,WT,None,F,pSyn,231,WT6,51373.64972,4.71074042
168,IM 102,231,3,left,AT,AT,WT,None,F,pSyn,231,WT6,14678.60686,4.166684839
169,IM 103,231,3,left,AT,AT,WT,None,F,pSyn,231,WT6,8225.67305,3.915171444
170,IM 104,231,3,left,AT,AT,WT,None,F,pSyn,231,WT6,8917.149553,3.950226051
171,IM 66,231,3,left,AT,AT,WT,mPFF,F,pSyn,231,WT5,60574.08121,4.782286836
172,IM 67,231,3,left,AT,AT,WT,mPFF,F,pSyn,231,WT5,25395.93385,4.404764187
173,IM 69,231,3,left,AT,AT,WT,mPFF,M,pSyn,231,WT5,55494.12831,4.744247034
174,IM 71,231,3,left,AT,AT,WT,mPFF,M,pSyn,231,WT5,22368.57837,4.349638384
175,IM 72,231,3,left,AT,AT,WT,mPFF,M,pSyn,231,WT5,11177.1772,4.048332137
176,IM 98,231,3,left,AT,AT,WT,None,M,pSyn,231,WT6,34554.35101,4.538502741
177,IM 99,231,3,left,AT,AT,WT,None,M,pSyn,231,WT6,67811.37588,4.831302556
178,IM 101,"c(527, 600, 678, 252, 156, 243)",3,left,AUDd,"c(""AUDd1"", ""AUDd2/3"", ""AUDd4"", ""AUDd5"", ""AUDd6a"", ""AUDd6b"")",WT,None,F,pSyn,"c(527, 600, 678, 252, 156, 243)",WT6,65551.87164,4.816585096
179,IM 102,"c(527, 600, 678, 252, 156, 243)",3,left,AUDd,"c(""AUDd1"", ""AUDd2/3"", ""AUDd4"", ""AUDd5"", ""AUDd6a"", ""AUDd6b"")",WT,None,F,pSyn,"c(527, 600, 678, 252, 156, 243)",WT6,75095.12944,4.87561177
