,mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,forRemove,batch,Region Area,Logged Region Area
1,IM 100,"c(935, 211, 1015, 919, 927)",3,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,None,M,pSyn,"c(935, 211, 1015, 919, 927)",WT6,72561.82484,4.860708196
2,IM 101,"c(935, 211, 1015, 919, 927)",3,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,None,F,pSyn,"c(935, 211, 1015, 919, 927)",WT6,53522.54052,4.72853672
3,IM 102,"c(935, 211, 1015, 919, 927)",3,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,None,F,pSyn,"c(935, 211, 1015, 919, 927)",WT6,82890.41682,4.918504324
4,IM 103,"c(935, 211, 1015, 919, 927)",3,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,None,F,pSyn,"c(935, 211, 1015, 919, 927)",WT6,65343.36252,4.815201479
5,IM 104,"c(935, 211, 1015, 919, 927)",3,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,None,F,pSyn,"c(935, 211, 1015, 919, 927)",WT6,79562.28024,4.900707221
6,IM 66,"c(935, 211, 1015, 919, 927)",3,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,F,pSyn,"c(935, 211, 1015, 919, 927)",WT5,53724.25611,4.730170411
7,IM 67,"c(935, 211, 1015, 919, 927)",3,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,F,pSyn,"c(935, 211, 1015, 919, 927)",WT5,55783.16657,4.746503164
8,IM 69,"c(935, 211, 1015, 919, 927)",3,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,M,pSyn,"c(935, 211, 1015, 919, 927)",WT5,50809.19018,4.705942273
9,IM 71,"c(935, 211, 1015, 919, 927)",3,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,M,pSyn,"c(935, 211, 1015, 919, 927)",WT5,57261.92021,4.757865908
10,IM 72,"c(935, 211, 1015, 919, 927)",3,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,M,pSyn,"c(935, 211, 1015, 919, 927)",WT5,50023.4067,4.699173265
11,IM 98,"c(935, 211, 1015, 919, 927)",3,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,None,M,pSyn,"c(935, 211, 1015, 919, 927)",WT6,78047.65275,4.892359846
12,IM 99,"c(935, 211, 1015, 919, 927)",3,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,None,M,pSyn,"c(935, 211, 1015, 919, 927)",WT6,78931.42847,4.897249963
13,IM 100,"c(588, 296, 772, 810)",3,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"")",WT,None,M,pSyn,"c(588, 296, 772, 810)",WT6,116656.3243,5.066908288
